,Date,Low,High,Close,Open
1134,2019-01-10,1.26,1.275,1.26,1.26
1133,2019-01-10,1.26,1.27,1.265,1.27
1132,2019-01-10,1.26,1.27,1.27,1.27
1131,2019-01-10,1.26,1.27,1.27,1.27
1130,2019-01-10,1.2602,1.29,1.27,1.265
1129,2019-01-10,1.2477,1.28,1.27,1.25
1128,2019-01-10,1.24,1.25,1.25,1.2499
1127,2019-01-10,1.24,1.26,1.24,1.25
1126,2019-01-10,1.245,1.25,1.25,1.245
1125,2019-01-10,1.24,1.25,1.245,1.245
1124,2019-01-10,1.2319,1.24,1.24,1.24
1123,2019-01-10,1.23,1.24,1.24,1.23
1122,2019-01-10,1.23,1.235,1.23,1.235
1121,2019-01-10,1.23,1.24,1.23,1.235
1120,2019-01-10,1.235,1.2368,1.235,1.2368
1119,2019-01-10,1.23,1.235,1.235,1.235
1118,2019-01-10,1.235,1.2479,1.2386,1.24
1117,2019-01-10,1.245,1.25,1.25,1.245
1116,2019-01-10,1.25,1.25,1.25,1.25
1115,2019-01-10,1.242,1.2486,1.242,1.2486
1114,2019-01-10,1.25,1.25,1.25,1.25
1113,2019-01-10,1.245,1.245,1.245,1.245
1112,2019-01-10,1.23,1.25,1.24,1.23
1111,2019-01-10,1.23,1.2356,1.2356,1.23
1110,2019-01-10,1.23,1.235,1.235,1.23
1109,2019-01-10,1.22,1.235,1.23,1.22
1108,2019-01-10,1.22,1.23,1.225,1.22
1107,2019-01-10,1.22,1.22,1.22,1.22
1106,2019-01-10,1.2236,1.23,1.225,1.2236
1105,2019-01-10,1.22,1.22,1.22,1.22
1104,2019-01-10,1.22,1.23,1.23,1.23
1103,2019-01-10,1.22,1.23,1.22,1.23
1102,2019-01-10,1.23,1.2382,1.23,1.235
1101,2019-01-10,1.23,1.24,1.23,1.24
1100,2019-01-10,1.23,1.23,1.23,1.23
1099,2019-01-10,1.235,1.24,1.24,1.235
1098,2019-01-10,1.23,1.24,1.2391,1.235
1097,2019-01-10,1.235,1.235,1.235,1.235
1096,2019-01-10,1.23,1.24,1.24,1.24
1095,2019-01-10,1.235,1.24,1.24,1.24
1094,2019-01-10,1.235,1.24,1.24,1.235
1093,2019-01-10,1.235,1.24,1.235,1.235
1092,2019-01-10,1.24,1.24,1.24,1.24
1091,2019-01-10,1.23,1.235,1.23,1.235
1090,2019-01-10,1.225,1.235,1.235,1.225
1089,2019-01-10,1.22,1.23,1.225,1.23
1088,2019-01-10,1.225,1.23,1.225,1.23
1087,2019-01-10,1.225,1.23,1.225,1.23
1086,2019-01-10,1.225,1.23,1.23,1.225
1085,2019-01-10,1.22,1.225,1.22,1.22
1084,2019-01-10,1.222,1.23,1.222,1.23
1083,2019-01-10,1.23,1.23,1.23,1.23
1082,2019-01-10,1.225,1.23,1.23,1.23
1081,2019-01-10,1.225,1.2261,1.225,1.2261
1080,2019-01-10,1.225,1.23,1.23,1.225
1079,2019-01-10,1.22,1.22,1.22,1.22
1078,2019-01-10,1.22,1.23,1.2299,1.23
1077,2019-01-10,1.225,1.23,1.225,1.225
1076,2019-01-10,1.22,1.2294,1.22,1.2294
1075,2019-01-10,1.22,1.2299,1.2299,1.22
1074,2019-01-10,1.215,1.22,1.22,1.215
1073,2019-01-10,1.21,1.215,1.21,1.215
1072,2019-01-10,1.21,1.2139,1.21,1.2139
1071,2019-01-10,1.21,1.2166,1.2164,1.21
1070,2019-01-10,1.21,1.22,1.21,1.215
1069,2019-01-10,1.22,1.22,1.22,1.22
1068,2019-01-10,1.215,1.22,1.2185,1.215
1067,2019-01-10,1.21,1.215,1.215,1.21
1066,2019-01-10,1.21,1.22,1.21,1.22
1065,2019-01-10,1.215,1.215,1.215,1.215
1064,2019-01-10,1.2101,1.215,1.215,1.2101
1063,2019-01-10,1.205,1.22,1.21,1.21
1062,2019-01-10,1.2,1.21,1.21,1.2
1061,2019-01-10,1.2,1.21,1.2,1.21
1060,2019-01-10,1.21,1.2114,1.21,1.2114
1059,2019-01-10,1.21,1.22,1.21,1.22
1058,2019-01-10,1.2203,1.2215,1.2203,1.2215
1057,2019-01-10,1.22,1.23,1.22,1.22
1056,2019-01-09,1.22,1.23,1.22,1.225
1055,2019-01-09,1.22,1.23,1.2209,1.23
1054,2019-01-09,1.2205,1.23,1.23,1.23
1053,2019-01-09,1.22,1.225,1.225,1.22
1052,2019-01-09,1.225,1.225,1.225,1.225
1051,2019-01-09,1.22,1.225,1.225,1.225
1050,2019-01-09,1.225,1.23,1.225,1.225
1049,2019-01-09,1.225,1.225,1.225,1.225
1048,2019-01-09,1.225,1.2275,1.225,1.225
1047,2019-01-09,1.22,1.225,1.225,1.22
1046,2019-01-09,1.22,1.225,1.225,1.22
1045,2019-01-09,1.22,1.225,1.22,1.225
1044,2019-01-09,1.22,1.23,1.225,1.23
1043,2019-01-09,1.22,1.23,1.225,1.23
1042,2019-01-09,1.22,1.23,1.23,1.22
