,Date,Low,High,Close,Open
1134,2019-01-10,17.09,17.125,17.12,17.125
1133,2019-01-10,17.12,17.14,17.125,17.135
1132,2019-01-10,17.13,17.15,17.13,17.145
1131,2019-01-10,17.13,17.17,17.145,17.145
1130,2019-01-10,17.11,17.15,17.15,17.125
1129,2019-01-10,17.085,17.13,17.13,17.11
1128,2019-01-10,17.09,17.13,17.12,17.09
1127,2019-01-10,17.09,17.115,17.09,17.11
1126,2019-01-10,17.05,17.11,17.11,17.07
1125,2019-01-10,17.05,17.07,17.07,17.05
1124,2019-01-10,17.06,17.1,17.06,17.1
1123,2019-01-10,17.059,17.11,17.105,17.059
1122,2019-01-10,17.03,17.06,17.05,17.04
1121,2019-01-10,17.005,17.04,17.04,17.02
1120,2019-01-10,17.02,17.07,17.02,17.07
1119,2019-01-10,17.07,17.1,17.07,17.07
1118,2019-01-10,17.05,17.075,17.06,17.06
1117,2019-01-10,17.05,17.075,17.07,17.06
1116,2019-01-10,17.06,17.08,17.06,17.08
1115,2019-01-10,17.05,17.09,17.07,17.07
1114,2019-01-10,17.02,17.07,17.07,17.02
1113,2019-01-10,16.98,17.035,17.01,16.98
1112,2019-01-10,16.9,16.98,16.98,16.905
1111,2019-01-10,16.89,16.905,16.9,16.89
1110,2019-01-10,16.85,16.89,16.88,16.86
1109,2019-01-10,16.86,16.895,16.86,16.895
1108,2019-01-10,16.87,16.89,16.88,16.87
1107,2019-01-10,16.86,16.9,16.87,16.9
1106,2019-01-10,16.9,16.94,16.91,16.93
1105,2019-01-10,16.92,16.95,16.94,16.95
1104,2019-01-10,16.94,16.965,16.96,16.94
1103,2019-01-10,16.92,16.93,16.93,16.93
1102,2019-01-10,16.94,16.96,16.95,16.94
1101,2019-01-10,16.94,16.97,16.95,16.95
1100,2019-01-10,16.95,16.99,16.95,16.99
1099,2019-01-10,16.98,17.0,16.99,17.0
1098,2019-01-10,16.995,17.0152,17.0,17.01
1097,2019-01-10,17.0,17.05,17.025,17.01
1096,2019-01-10,16.9888,17.03,17.01,16.99
1095,2019-01-10,16.95,16.99,16.99,16.97
1094,2019-01-10,16.96,16.99,16.98,16.965
1093,2019-01-10,16.95,16.98,16.98,16.95
1092,2019-01-10,16.93,16.95,16.95,16.94
1091,2019-01-10,16.9,16.95,16.945,16.9
1090,2019-01-10,16.91,16.94,16.91,16.92
1089,2019-01-10,16.89,16.92,16.91,16.91
1088,2019-01-10,16.9,16.945,16.91,16.91
1087,2019-01-10,16.91,16.975,16.915,16.965
1086,2019-01-10,16.95,16.97,16.97,16.96
1085,2019-01-10,16.94,16.98,16.96,16.945
1084,2019-01-10,16.93,16.95,16.945,16.93
1083,2019-01-10,16.92,16.97,16.92,16.96
1082,2019-01-10,16.96,16.98,16.96,16.98
1081,2019-01-10,16.9,16.96,16.96,16.92
1080,2019-01-10,16.92,16.98,16.92,16.975
1079,2019-01-10,16.97,17.01,16.975,16.98
1078,2019-01-10,16.99,17.04,16.99,17.04
1077,2019-01-10,17.03,17.07,17.06,17.05
1076,2019-01-10,17.03,17.055,17.05,17.04
1075,2019-01-10,17.0,17.04,17.02,17.03
1074,2019-01-10,17.03,17.05,17.03,17.04
1073,2019-01-10,17.01,17.06,17.05,17.01
1072,2019-01-10,16.975,17.01,17.01,16.98
1071,2019-01-10,16.98,17.025,17.0,17.025
1070,2019-01-10,17.0,17.07,17.02,17.07
1069,2019-01-10,17.01,17.05,17.05,17.04
1068,2019-01-10,17.03,17.06,17.04,17.05
1067,2019-01-10,17.01,17.06,17.06,17.03
1066,2019-01-10,17.0,17.15,17.03,17.15
1065,2019-01-10,17.15,17.2,17.16,17.195
1064,2019-01-10,17.15,17.2,17.2,17.1625
1063,2019-01-10,17.095,17.17,17.17,17.095
1062,2019-01-10,17.0,17.09,17.09,17.015
1061,2019-01-10,16.98,17.065,17.015,17.01
1060,2019-01-10,16.88,17.03,17.03,16.88
1059,2019-01-10,16.83,16.95,16.89,16.83
1058,2019-01-10,16.79,16.85,16.82,16.85
1057,2019-01-10,16.84,16.92,16.84,16.88
1056,2019-01-09,17.07,17.11,17.09,17.07
1055,2019-01-09,17.03,17.08,17.07,17.03
1054,2019-01-09,17.03,17.04,17.035,17.04
1053,2019-01-09,17.04,17.08,17.05,17.07
1052,2019-01-09,17.05,17.08,17.06,17.08
1051,2019-01-09,17.07,17.09,17.08,17.0848
1050,2019-01-09,17.08,17.095,17.09,17.08
1049,2019-01-09,17.085,17.09,17.09,17.085
1048,2019-01-09,17.0638,17.085,17.085,17.075
1047,2019-01-09,17.065,17.09,17.075,17.065
1046,2019-01-09,17.06,17.085,17.07,17.08
1045,2019-01-09,17.07,17.1,17.08,17.08
1044,2019-01-09,17.05,17.09,17.09,17.055
1043,2019-01-09,17.05,17.06,17.055,17.05
1042,2019-01-09,17.04,17.075,17.05,17.07
1041,2019-01-09,17.05,17.07,17.07,17.055
1040,2019-01-09,17.03,17.07,17.05,17.03
1039,2019-01-09,16.975,17.04,17.04,16.98
1038,2019-01-09,16.96,16.99,16.975,16.96
1037,2019-01-09,16.96,16.98,16.97,16.96
1036,2019-01-09,16.96,17.04,16.96,17.03
1035,2019-01-09,17.03,17.05,17.03,17.05
1034,2019-01-09,17.03,17.05,17.05,17.045
1033,2019-01-09,17.035,17.0638,17.05,17.04
1032,2019-01-09,17.02,17.04,17.03,17.025
1031,2019-01-09,17.02,17.045,17.03,17.02
1030,2019-01-09,17.015,17.055,17.015,17.055
1029,2019-01-09,17.03,17.06,17.06,17.04
1028,2019-01-09,17.04,17.05,17.05,17.04
1027,2019-01-09,17.03,17.04,17.035,17.04
1026,2019-01-09,17.02,17.04,17.03,17.02
1025,2019-01-09,17.02,17.06,17.03,17.045
1024,2019-01-09,17.0399,17.06,17.045,17.0586
1023,2019-01-09,17.04,17.06,17.06,17.05
1022,2019-01-09,17.03,17.05,17.05,17.04
1021,2019-01-09,17.01,17.06,17.03,17.06
1020,2019-01-09,17.02,17.06,17.05,17.02
1019,2019-01-09,17.01,17.04,17.025,17.025
1018,2019-01-09,16.99,17.03,17.02,16.99
1017,2019-01-09,16.96,17.0,16.99,16.99
1016,2019-01-09,16.98,17.02,17.0,17.0
1015,2019-01-09,16.98,17.0151,17.01,17.01
1014,2019-01-09,17.0,17.095,17.0,17.085
1013,2019-01-09,17.06,17.09,17.085,17.06
1012,2019-01-09,17.03,17.06,17.06,17.03
1011,2019-01-09,16.99,17.03,17.02,16.995
1010,2019-01-09,16.97,16.995,16.98,16.98
1009,2019-01-09,16.96,17.0,16.98,16.96
1008,2019-01-09,16.95,17.0,16.9571,17.0
1007,2019-01-09,16.97,17.02,17.005,16.98
1006,2019-01-09,16.96,17.0,16.99,16.96
1005,2019-01-09,16.94,16.98,16.965,16.94
1004,2019-01-09,16.929,16.97,16.929,16.96
1003,2019-01-09,16.915,16.96,16.95,16.96
1002,2019-01-09,16.93,16.97,16.97,16.94
1001,2019-01-09,16.92,16.97,16.96,16.9575
1000,2019-01-09,16.88,16.94,16.94,16.89
999,2019-01-09,16.82,16.9,16.89,16.82
998,2019-01-09,16.81,16.855,16.82,16.83
997,2019-01-09,16.795,16.85,16.835,16.8
996,2019-01-09,16.79,16.82,16.8,16.8
995,2019-01-09,16.79,16.82,16.81,16.8
994,2019-01-09,16.75,16.8,16.795,16.79
993,2019-01-09,16.78,16.865,16.78,16.81
992,2019-01-09,16.77,16.84,16.81,16.785
991,2019-01-09,16.78,16.89,16.785,16.89
990,2019-01-09,16.89,16.955,16.89,16.93
989,2019-01-09,16.87,16.93,16.93,16.87
988,2019-01-09,16.83,16.88,16.86,16.83
987,2019-01-09,16.84,16.89,16.8427,16.89
986,2019-01-09,16.84,16.91,16.9069,16.91
985,2019-01-09,16.89,17.0,16.91,17.0
984,2019-01-09,16.97,17.02,16.985,17.02
983,2019-01-09,17.01,17.05,17.03,17.01
982,2019-01-09,16.96,17.01,16.995,16.99
981,2019-01-09,16.94,17.0,16.95,16.98
980,2019-01-09,16.93,17.01,16.985,16.97
979,2019-01-09,16.83,16.95,16.95,16.865
978,2019-01-08,16.65,16.71,16.7,16.65
977,2019-01-08,16.62,16.66,16.66,16.63
976,2019-01-08,16.61,16.65,16.635,16.61
975,2019-01-08,16.6,16.62,16.61,16.62
974,2019-01-08,16.585,16.625,16.615,16.59
973,2019-01-08,16.53,16.585,16.58,16.53
972,2019-01-08,16.51,16.55,16.525,16.55
971,2019-01-08,16.545,16.565,16.55,16.56
970,2019-01-08,16.54,16.575,16.57,16.54
969,2019-01-08,16.51,16.54,16.54,16.54
968,2019-01-08,16.505,16.55,16.5367,16.525
967,2019-01-08,16.525,16.57,16.525,16.57
966,2019-01-08,16.56,16.605,16.565,16.605
965,2019-01-08,16.57,16.65,16.6,16.64
964,2019-01-08,16.62,16.67,16.65,16.64
963,2019-01-08,16.64,16.66,16.64,16.66
962,2019-01-08,16.635,16.67,16.66,16.64
961,2019-01-08,16.62,16.66,16.645,16.625
960,2019-01-08,16.615,16.64,16.625,16.62
959,2019-01-08,16.585,16.625,16.62,16.615
958,2019-01-08,16.6009,16.63,16.61,16.61
957,2019-01-08,16.57,16.61,16.61,16.58
956,2019-01-08,16.565,16.62,16.575,16.61
955,2019-01-08,16.58,16.625,16.605,16.6
954,2019-01-08,16.58,16.6284,16.6,16.6284
953,2019-01-08,16.56,16.64,16.625,16.57
952,2019-01-08,16.52,16.57,16.56,16.54
951,2019-01-08,16.54,16.58,16.545,16.55
950,2019-01-08,16.52,16.57,16.56,16.53
949,2019-01-08,16.475,16.54,16.54,16.485
948,2019-01-08,16.47,16.49,16.485,16.475
947,2019-01-08,16.46,16.485,16.48,16.46
946,2019-01-08,16.45,16.485,16.46,16.465
945,2019-01-08,16.46,16.47,16.465,16.47
944,2019-01-08,16.48,16.49,16.48,16.48
943,2019-01-08,16.44,16.49,16.48,16.465
942,2019-01-08,16.45,16.47,16.46,16.47
941,2019-01-08,16.46,16.49,16.47,16.46
940,2019-01-08,16.47,16.51,16.47,16.51
939,2019-01-08,16.505,16.525,16.505,16.515
938,2019-01-08,16.515,16.55,16.515,16.54
937,2019-01-08,16.54,16.57,16.54,16.565
936,2019-01-08,16.55,16.595,16.565,16.56
935,2019-01-08,16.56,16.59,16.565,16.59
934,2019-01-08,16.54,16.6,16.595,16.58
933,2019-01-08,16.54,16.59,16.59,16.55
932,2019-01-08,16.5,16.55,16.54,16.51
931,2019-01-08,16.5,16.53,16.52,16.51
930,2019-01-08,16.48,16.53,16.5,16.48
929,2019-01-08,16.48,16.535,16.48,16.535
928,2019-01-08,16.525,16.56,16.535,16.53
927,2019-01-08,16.5,16.535,16.515,16.5
926,2019-01-08,16.5,16.52,16.515,16.5
925,2019-01-08,16.5,16.53,16.505,16.52
924,2019-01-08,16.535,16.585,16.55,16.58
923,2019-01-08,16.52,16.56,16.56,16.555
922,2019-01-08,16.52,16.56,16.55,16.52
921,2019-01-08,16.515,16.545,16.53,16.54
920,2019-01-08,16.5,16.555,16.55,16.53
919,2019-01-08,16.48,16.52,16.52,16.48
918,2019-01-08,16.45,16.49,16.48,16.465
917,2019-01-08,16.46,16.51,16.46,16.48
916,2019-01-08,16.47,16.52,16.495,16.52
915,2019-01-08,16.5,16.56,16.53,16.555
914,2019-01-08,16.48,16.54,16.53,16.495
913,2019-01-08,16.47,16.52,16.49,16.48
912,2019-01-08,16.46,16.485,16.47,16.47
911,2019-01-08,16.43,16.5,16.47,16.48
910,2019-01-08,16.485,16.6,16.485,16.59
909,2019-01-08,16.58,16.645,16.58,16.64
908,2019-01-08,16.585,16.64,16.63,16.6
907,2019-01-08,16.48,16.5733,16.5733,16.49
906,2019-01-08,16.485,16.56,16.49,16.54
905,2019-01-08,16.52,16.66,16.52,16.65
904,2019-01-08,16.59,16.64,16.64,16.6
903,2019-01-08,16.5834,16.67,16.619,16.67
902,2019-01-08,16.66,16.74,16.7,16.71
901,2019-01-08,16.69,16.86,16.69,16.86
900,2019-01-07,16.59,16.64,16.61,16.61
899,2019-01-07,16.6,16.63,16.605,16.6
898,2019-01-07,16.58,16.61,16.595,16.58
897,2019-01-07,16.56,16.59,16.57,16.585
896,2019-01-07,16.57,16.605,16.585,16.605
895,2019-01-07,16.59,16.61,16.6,16.605
894,2019-01-07,16.6,16.63,16.6,16.62
893,2019-01-07,16.61,16.63,16.615,16.63
892,2019-01-07,16.59,16.625,16.625,16.62
891,2019-01-07,16.59,16.62,16.6,16.61
890,2019-01-07,16.605,16.625,16.615,16.62
889,2019-01-07,16.59,16.62,16.61,16.59
888,2019-01-07,16.58,16.61,16.58,16.61
887,2019-01-07,16.61,16.65,16.62,16.64
886,2019-01-07,16.62,16.645,16.64,16.64
885,2019-01-07,16.63,16.66,16.64,16.635
884,2019-01-07,16.61,16.64,16.63,16.63
883,2019-01-07,16.6,16.64,16.64,16.6
882,2019-01-07,16.61,16.65,16.61,16.65
881,2019-01-07,16.65,16.675,16.67,16.65
880,2019-01-07,16.61,16.64,16.64,16.61
879,2019-01-07,16.59,16.61,16.61,16.61
878,2019-01-07,16.6,16.624,16.6,16.62
877,2019-01-07,16.62,16.65,16.62,16.62
876,2019-01-07,16.6,16.63,16.62,16.62
875,2019-01-07,16.6,16.63,16.61,16.63
874,2019-01-07,16.63,16.68,16.63,16.68
873,2019-01-07,16.6637,16.68,16.67,16.68
872,2019-01-07,16.665,16.695,16.68,16.665
871,2019-01-07,16.65,16.68,16.67,16.66
870,2019-01-07,16.64,16.67,16.65,16.65
869,2019-01-07,16.65,16.7,16.65,16.7
868,2019-01-07,16.65,16.7,16.69,16.67
867,2019-01-07,16.66,16.69,16.67,16.66
866,2019-01-07,16.63,16.66,16.66,16.645
865,2019-01-07,16.64,16.665,16.64,16.64
864,2019-01-07,16.63,16.69,16.64,16.67
863,2019-01-07,16.63,16.68,16.67,16.665
862,2019-01-07,16.62,16.68,16.65,16.62
861,2019-01-07,16.61,16.675,16.61,16.67
860,2019-01-07,16.62,16.67,16.67,16.625
859,2019-01-07,16.57,16.63,16.63,16.57
858,2019-01-07,16.55,16.58,16.565,16.55
857,2019-01-07,16.51,16.56,16.555,16.515
856,2019-01-07,16.51,16.55,16.51,16.53
855,2019-01-07,16.485,16.535,16.53,16.485
854,2019-01-07,16.485,16.555,16.485,16.55
853,2019-01-07,16.53,16.56,16.54,16.545
852,2019-01-07,16.5,16.54,16.54,16.535
851,2019-01-07,16.51,16.54,16.54,16.52
850,2019-01-07,16.46,16.52,16.52,16.46
849,2019-01-07,16.44,16.47,16.46,16.44
848,2019-01-07,16.415,16.445,16.44,16.415
847,2019-01-07,16.38,16.41,16.41,16.41
846,2019-01-07,16.39,16.46,16.4,16.46
845,2019-01-07,16.42,16.45,16.44,16.44
844,2019-01-07,16.43,16.455,16.435,16.43
843,2019-01-07,16.42,16.455,16.42,16.44
842,2019-01-07,16.41,16.445,16.425,16.42
841,2019-01-07,16.41,16.44,16.43,16.41
840,2019-01-07,16.38,16.43,16.415,16.405
839,2019-01-07,16.37,16.43,16.405,16.38
838,2019-01-07,16.34,16.39,16.385,16.36
837,2019-01-07,16.36,16.43,16.385,16.36
836,2019-01-07,16.35,16.42,16.37,16.41
835,2019-01-07,16.35,16.41,16.4,16.35
834,2019-01-07,16.35,16.38,16.35,16.36
