,Date,Low,High,Close,Open
1134,2019-01-10,103.47,103.75,103.59,103.63
1133,2019-01-10,103.52,103.63,103.625,103.53
1132,2019-01-10,103.45,103.59,103.525,103.54
1131,2019-01-10,103.355,103.57,103.5387,103.365
1130,2019-01-10,103.29,103.41,103.37,103.38
1129,2019-01-10,103.2,103.48,103.385,103.32
1128,2019-01-10,103.29,103.38,103.31,103.3324
1127,2019-01-10,103.18,103.36,103.33,103.27
1126,2019-01-10,103.26,103.45,103.26,103.435
1125,2019-01-10,103.2,103.45,103.44,103.273
1124,2019-01-10,103.275,103.38,103.29,103.33
1123,2019-01-10,103.145,103.38,103.31,103.16
1122,2019-01-10,102.94,103.18,103.16,102.99
1121,2019-01-10,102.94,103.045,102.98,102.98
1120,2019-01-10,102.98,103.17,102.99,103.17
1119,2019-01-10,102.97,103.1767,103.15,102.98
1118,2019-01-10,102.9,103.03,102.99,103.01
1117,2019-01-10,103.005,103.08,103.025,103.01
1116,2019-01-10,103.01,103.21,103.01,103.21
1115,2019-01-10,103.1536,103.36,103.2,103.22
1114,2019-01-10,103.07,103.22,103.22,103.07
1113,2019-01-10,103.03,103.15,103.06,103.13
1112,2019-01-10,102.94,103.18,103.13,102.94
1111,2019-01-10,102.85,103.0,102.93,102.85
1110,2019-01-10,102.71,102.87,102.87,102.71
1109,2019-01-10,102.67,102.8,102.72,102.7
1108,2019-01-10,102.5475,102.71,102.675,102.5475
1107,2019-01-10,102.3811,102.595,102.55,102.585
1106,2019-01-10,102.58,102.8,102.6,102.7955
1105,2019-01-10,102.7258,102.89,102.82,102.85
1104,2019-01-10,102.815,102.98,102.8451,102.85
1103,2019-01-10,102.63,102.8799,102.85,102.71
1102,2019-01-10,102.6279,102.79,102.71,102.79
1101,2019-01-10,102.78,102.91,102.78,102.79
1100,2019-01-10,102.78,103.165,102.8064,103.12
1099,2019-01-10,103.1,103.26,103.11,103.25
1098,2019-01-10,103.23,103.35,103.25,103.34
1097,2019-01-10,103.23,103.46,103.33,103.28
1096,2019-01-10,103.02,103.36,103.275,103.02
