,Date,Low,High,Close,Open
1134,2019-01-10,324.4435,324.98,324.69,324.89
1133,2019-01-10,324.78,325.2,324.955,324.88
1132,2019-01-10,324.58,325.0,324.8605,324.83
1131,2019-01-10,324.18,324.9,324.875,324.76
1130,2019-01-10,324.01,324.79,324.785,324.32
1129,2019-01-10,323.23,324.47,324.4399,323.69
1128,2019-01-10,323.28,323.8999,323.7997,323.5
1127,2019-01-10,323.1201,323.67,323.525,323.35
1126,2019-01-10,322.94,323.58,323.21,322.9525
1125,2019-01-10,322.16,323.0,322.8905,322.78
1124,2019-01-10,322.68,323.15,322.829,322.7609
1123,2019-01-10,322.2535,323.149,322.92,322.28
1122,2019-01-10,321.69,322.6836,322.34,322.0
1121,2019-01-10,322.04,322.64,322.1301,322.64
1120,2019-01-10,322.3501,323.06,322.5,322.88
1119,2019-01-10,321.8725,323.1199,323.0,321.8725
1118,2019-01-10,321.7802,322.54,321.9672,322.32
1117,2019-01-10,321.71,322.7395,322.36,322.39
1116,2019-01-10,322.18,323.013,322.18,323.0
1115,2019-01-10,322.6366,323.51,322.9,323.0
1114,2019-01-10,322.2301,323.0499,322.7896,322.56
1113,2019-01-10,322.37,323.11,322.4643,322.93
1112,2019-01-10,322.57,323.07,322.98,322.6
1111,2019-01-10,321.87,322.96,322.39,321.87
1110,2019-01-10,321.05,322.0,321.69,321.05
1109,2019-01-10,320.7,321.75,321.0,321.0116
1108,2019-01-10,320.0707,321.09,321.0296,320.0707
1107,2019-01-10,319.4,320.71,320.0,320.68
1106,2019-01-10,320.53,321.9987,320.6305,321.9987
1105,2019-01-10,321.43,322.49,322.099,322.2
1104,2019-01-10,320.94,322.17,321.83,320.94
1103,2019-01-10,320.36,321.2,321.02,320.6824
1102,2019-01-10,320.01,321.0,320.91,320.52
1101,2019-01-10,320.5,321.21,320.65,320.5388
1100,2019-01-10,320.605,322.6915,320.605,322.6915
1099,2019-01-10,322.07,323.06,322.29,322.9
1098,2019-01-10,322.73,323.4,322.95,323.24
1097,2019-01-10,323.2701,324.1299,323.2701,323.66
1096,2019-01-10,322.64,323.925,323.87,322.9108
1095,2019-01-10,322.25,323.02,323.02,322.8728
1094,2019-01-10,322.5487,323.25,322.875,322.7601
1093,2019-01-10,322.436,323.3,323.0,322.4521
1092,2019-01-10,321.8,322.5433,322.4,322.2961
1091,2019-01-10,321.5587,322.3,322.28,321.9325
1090,2019-01-10,321.77,322.25,321.97,322.13
1089,2019-01-10,321.7828,322.5,322.0,322.1
1088,2019-01-10,322.12,322.77,322.2,322.5977
1087,2019-01-10,322.5,323.518,322.6,323.1
1086,2019-01-10,322.34,323.57,323.25,323.485
1085,2019-01-10,322.75,323.945,323.48,323.08
1084,2019-01-10,322.81,323.4699,323.07,323.4278
1083,2019-01-10,323.38,324.31,323.58,324.3
1082,2019-01-10,324.27,325.25,324.38,324.96
1081,2019-01-10,323.4891,324.8971,324.8971,323.76
1080,2019-01-10,322.6201,323.8372,323.65,323.115
1079,2019-01-10,322.67,323.8089,323.09,323.145
1078,2019-01-10,323.02,324.42,323.28,323.824
1077,2019-01-10,323.71,324.525,323.71,324.154
1076,2019-01-10,324.0,325.1246,324.4,324.83
1075,2019-01-10,323.3899,324.77,324.77,324.32
1074,2019-01-10,322.9,324.44,324.0934,323.4
1073,2019-01-10,322.29,323.62,323.47,322.29
1072,2019-01-10,321.41,322.495,322.42,321.41
1071,2019-01-10,321.66,322.74,321.66,322.29
1070,2019-01-10,320.85,322.62,322.42,321.0362
1069,2019-01-10,320.19,321.6,320.81,320.25
1068,2019-01-10,318.79,320.1886,320.05,319.375
1067,2019-01-10,317.7,319.4763,319.32,317.89
1066,2019-01-10,316.4,317.9,317.8002,317.13
1065,2019-01-10,316.9,318.35,317.29,317.86
1064,2019-01-10,317.2,318.08,317.83,317.2
1063,2019-01-10,317.24,318.59,317.3211,317.66
1062,2019-01-10,315.51,317.698,317.6,316.06
1061,2019-01-10,315.51,317.415,316.2709,315.55
1060,2019-01-10,315.37,316.76,315.6363,315.9475
1059,2019-01-10,315.34,317.19,315.99,316.1299
1058,2019-01-10,313.42,316.95,316.16,313.5245
1057,2019-01-10,312.5,315.02,313.64,314.75
1056,2019-01-09,319.75,320.48,320.0,319.75
1055,2019-01-09,319.52,320.365,319.78,320.26
1054,2019-01-09,319.77,320.58,320.295,320.58
1053,2019-01-09,320.16,320.89,320.62,320.85
1052,2019-01-09,320.9,322.1063,320.9,322.1063
1051,2019-01-09,321.475,322.27,322.23,321.9
1050,2019-01-09,321.77,322.76,321.77,322.5967
1049,2019-01-09,321.9979,322.68,322.63,321.9979
1048,2019-01-09,321.72,322.72,321.9901,322.6
1047,2019-01-09,322.445,323.335,322.685,322.445
1046,2019-01-09,322.1242,322.9362,322.5207,322.4
1045,2019-01-09,321.7501,322.74,322.35,321.85
1044,2019-01-09,321.51,322.22,321.7713,322.04
1043,2019-01-09,321.7,322.36,321.97,322.2
1042,2019-01-09,320.04,322.25,322.2207,320.1076
1041,2019-01-09,318.75,320.5,320.215,319.0
1040,2019-01-09,318.74,319.32,319.16,318.8
1039,2019-01-09,317.91,319.35,318.8362,318.5
1038,2019-01-09,318.15,318.9957,318.16,318.35
1037,2019-01-09,317.8732,319.09,318.5,318.47
1036,2019-01-09,318.29,320.5,318.5,320.39
1035,2019-01-09,319.77,320.66,320.22,320.66
1034,2019-01-09,319.57,320.9,320.898,319.6
1033,2019-01-09,318.51,320.01,319.585,319.09
1032,2019-01-09,318.7,319.38,319.09,319.2054
1031,2019-01-09,318.68,319.36,319.195,319.16
1030,2019-01-09,319.21,320.195,319.21,320.195
1029,2019-01-09,319.81,320.76,320.1733,319.81
1028,2019-01-09,319.3392,320.125,319.82,319.37
1027,2019-01-09,319.0,319.96,319.2037,319.79
1026,2019-01-09,319.7,320.06,319.85,320.0
1025,2019-01-09,319.3,320.1,319.86,319.38
1024,2019-01-09,318.76,319.51,319.35,319.06
1023,2019-01-09,318.752,319.17,319.02,319.1233
1022,2019-01-09,318.6871,319.23,319.17,319.14
1021,2019-01-09,318.55,319.16,319.16,319.01
1020,2019-01-09,318.96,319.63,319.07,319.56
1019,2019-01-09,319.11,319.69,319.63,319.37
1018,2019-01-09,319.11,320.19,319.1332,319.76
1017,2019-01-09,319.44,320.33,319.72,320.295
1016,2019-01-09,320.0,320.6,320.31,320.14
1015,2019-01-09,319.2,320.1,320.0,319.42
1014,2019-01-09,319.1705,319.96,319.32,319.505
1013,2019-01-09,319.35,320.05,319.44,320.05
1012,2019-01-09,319.7993,320.26,320.0871,320.05
1011,2019-01-09,319.02,320.18,320.09,319.135
1010,2019-01-09,318.6,319.833,319.1821,319.78
1009,2019-01-09,319.48,320.29,319.84,320.01
1008,2019-01-09,319.7631,320.5,320.01,320.4
1007,2019-01-09,319.6691,320.7456,320.51,319.9
1006,2019-01-09,318.72,319.88,319.84,319.09
1005,2019-01-09,319.015,319.5933,319.24,319.45
1004,2019-01-09,318.69,319.73,319.3648,319.63
1003,2019-01-09,319.11,320.07,319.4075,320.07
1002,2019-01-09,319.47,320.2,320.0356,319.75
1001,2019-01-09,319.52,320.5,319.92,319.84
1000,2019-01-09,319.26,320.2,320.03,319.5339
999,2019-01-09,318.955,320.0,319.7411,319.23
998,2019-01-09,318.67,319.29,319.01,319.01
997,2019-01-09,317.6,319.49,318.8423,317.76
996,2019-01-09,317.2501,318.04,317.9723,317.42
995,2019-01-09,317.0,318.23,317.7474,317.255
994,2019-01-09,316.39,317.41,317.2,316.965
993,2019-01-09,316.7893,318.76,316.86,318.6
992,2019-01-09,317.7,319.44,318.6407,317.94
991,2019-01-09,317.6001,319.99,317.6001,319.77
990,2019-01-09,319.0,320.99,319.729,320.99
989,2019-01-09,318.14,321.28,320.86,318.25
988,2019-01-09,316.08,318.17,317.98,316.08
987,2019-01-09,315.773,317.045,316.1,316.69
986,2019-01-09,315.57,317.65,316.51,317.43
985,2019-01-09,315.92,318.0,317.36,317.55
984,2019-01-09,316.6745,318.33,317.59,318.17
983,2019-01-09,315.2,318.0,318.0,315.2
982,2019-01-09,313.5,315.93,314.975,315.695
981,2019-01-09,315.26,317.6722,315.7061,317.47
980,2019-01-09,314.55,318.0116,317.04,315.27
979,2019-01-09,315.13,318.69,315.705,317.99
978,2019-01-08,319.86,320.5602,320.3659,320.1
977,2019-01-08,319.57,320.12,320.04,319.65
976,2019-01-08,319.43,320.07,319.695,319.81
975,2019-01-08,319.24,320.33,319.745,320.32
974,2019-01-08,319.42,320.32,320.32,319.42
973,2019-01-08,319.16,319.7,319.395,319.7
972,2019-01-08,319.09,319.7,319.7,319.09
971,2019-01-08,318.61,319.2,319.1225,319.2
970,2019-01-08,318.63,319.5,319.2,318.995
969,2019-01-08,318.45,319.1,319.1,318.73
968,2019-01-08,317.801,318.73,318.6371,318.4999
967,2019-01-08,317.9736,318.876,318.3252,318.46
966,2019-01-08,318.26,319.49,318.5,319.49
965,2019-01-08,319.14,319.87,319.58,319.8
964,2019-01-08,319.16,320.0473,319.8973,319.4316
963,2019-01-08,319.25,319.94,319.3611,319.37
962,2019-01-08,318.93,319.61,319.41,319.3
961,2019-01-08,318.6449,319.65,319.41,318.82
960,2019-01-08,318.4,319.25,318.81,319.03
959,2019-01-08,318.9748,320.0508,319.0,320.0
958,2019-01-08,319.3519,320.07,319.96,319.9
957,2019-01-08,319.17,319.99,319.78,319.17
956,2019-01-08,318.72,319.38,319.06,319.1423
955,2019-01-08,318.9658,319.759,318.9658,319.14
954,2019-01-08,319.03,319.7778,319.03,319.65
953,2019-01-08,318.5624,319.65,319.49,318.6656
952,2019-01-08,317.88,318.6055,318.5452,318.6055
951,2019-01-08,317.951,318.82,318.77,318.275
950,2019-01-08,318.15,318.68,318.39,318.59
949,2019-01-08,317.55,318.74,318.6549,317.8833
948,2019-01-08,317.82,318.3285,317.82,317.98
947,2019-01-08,317.32,318.36,317.8501,317.32
946,2019-01-08,316.86,317.69,317.32,317.69
945,2019-01-08,316.28,317.76,317.5,316.28
944,2019-01-08,316.07,316.69,316.07,316.59
