,Date,Low,High,Close,Open
1134,2019-01-10,145.08,145.43,145.17,145.39
1133,2019-01-10,145.29,145.58,145.37,145.43
1132,2019-01-10,145.14,145.47,145.438,145.185
1131,2019-01-10,145.095,145.35,145.17,145.14
1130,2019-01-10,145.04,145.269,145.1438,145.12
1129,2019-01-10,144.82,145.235,145.13,145.04
1128,2019-01-10,144.92,145.215,145.05,144.9612
1127,2019-01-10,144.7925,145.05,144.98,144.7925
1126,2019-01-10,144.74,144.88,144.7793,144.865
1125,2019-01-10,144.4,144.88,144.8583,144.4677
1124,2019-01-10,144.46,144.75,144.59,144.61
1123,2019-01-10,144.23,144.7,144.61,144.25
1122,2019-01-10,143.93,144.31,144.31,143.93
1121,2019-01-10,143.77,144.275,144.0517,144.17
1120,2019-01-10,144.04,144.38,144.1416,144.3771
1119,2019-01-10,144.0286,144.45,144.36,144.06
1118,2019-01-10,143.95,144.21,144.06,143.95
1117,2019-01-10,143.905,144.29,144.14,144.24
1116,2019-01-10,144.23,144.56,144.2594,144.56
1115,2019-01-10,144.26,144.82,144.48,144.42
1114,2019-01-10,143.95,144.39,144.31,144.1046
1113,2019-01-10,144.03,144.4207,144.05,144.22
1112,2019-01-10,143.61,144.165,144.165,143.61
1111,2019-01-10,143.3,143.67,143.57,143.3
1110,2019-01-10,142.95,143.2555,143.18,142.95
1109,2019-01-10,142.89,143.36,142.93,143.18
1108,2019-01-10,142.84,143.21,143.08,142.84
1107,2019-01-10,142.8377,143.29,142.85,143.29
1106,2019-01-10,143.23,143.89,143.33,143.76
1105,2019-01-10,143.5105,144.24,143.77,144.22
1104,2019-01-10,143.68,144.22,144.17,143.68
1103,2019-01-10,143.48,143.8347,143.6765,143.82
1102,2019-01-10,143.61,144.06,143.84,144.06
1101,2019-01-10,143.98,144.21,144.12,144.14
1100,2019-01-10,144.17,145.02,144.19,145.005
1099,2019-01-10,144.91,145.25,144.93,145.14
1098,2019-01-10,144.827,145.1541,145.1075,145.02
1097,2019-01-10,144.93,145.44,145.06,145.1302
1096,2019-01-10,144.68,145.1745,145.025,144.82
1095,2019-01-10,144.5,144.95,144.81,144.95
1094,2019-01-10,144.6979,145.075,145.02,144.7512
1093,2019-01-10,144.67,145.05,144.7672,144.72
1092,2019-01-10,144.39,144.8016,144.72,144.46
1091,2019-01-10,144.2883,144.52,144.52,144.4
1090,2019-01-10,144.3173,144.52,144.4372,144.3173
1089,2019-01-10,144.11,144.48,144.2916,144.3141
1088,2019-01-10,144.18,144.45,144.31,144.2
1087,2019-01-10,144.16,144.59,144.189,144.2
1086,2019-01-10,143.83,144.32,144.25,144.2
1085,2019-01-10,143.76,144.24,144.16,144.0114
1084,2019-01-10,143.73,144.1,144.04,143.92
1083,2019-01-10,143.77,144.18,143.9242,143.8793
1082,2019-01-10,143.84,144.19,143.84,143.87
1081,2019-01-10,143.4,143.94,143.82,143.73
1080,2019-01-10,143.39,143.8,143.7273,143.5301
1079,2019-01-10,143.6,143.97,143.6,143.81
1078,2019-01-10,143.75,144.4154,143.75,144.4154
1077,2019-01-10,144.36,144.8384,144.55,144.7194
1076,2019-01-10,144.28,144.97,144.7223,144.31
1075,2019-01-10,143.71,144.23,144.2225,143.85
1074,2019-01-10,143.4304,144.05,143.85,143.66
1073,2019-01-10,142.8895,143.8,143.8,142.8895
1072,2019-01-10,142.55,142.9,142.9,142.6062
