,Date,Low,High,Close,Open
568,2019-01-10,0.365,0.37,0.365,0.3651
567,2019-01-10,0.3699,0.37,0.3699,0.37
566,2019-01-10,0.37,0.3724,0.37,0.37
565,2019-01-10,0.3626,0.3795,0.3698,0.365
564,2019-01-10,0.3601,0.3601,0.3601,0.3601
563,2019-01-10,0.36,0.365,0.36,0.3646
562,2019-01-10,0.3603,0.365,0.365,0.3645
561,2019-01-10,0.36,0.3604,0.3604,0.36
560,2019-01-10,0.3601,0.365,0.3601,0.365
559,2019-01-10,0.357,0.371,0.365,0.357
558,2019-01-10,0.355,0.3599,0.355,0.3599
557,2019-01-10,0.355,0.355,0.355,0.355
556,2019-01-10,0.3421,0.3421,0.3421,0.3421
555,2019-01-10,0.3576,0.3576,0.3576,0.3576
554,2019-01-10,0.3417,0.3417,0.3417,0.3417
553,2019-01-10,0.35,0.35,0.35,0.35
552,2019-01-10,0.3525,0.36,0.36,0.3525
551,2019-01-10,0.35,0.35,0.35,0.35
550,2019-01-10,0.35,0.35,0.35,0.35
549,2019-01-10,0.3525,0.3525,0.3525,0.3525
548,2019-01-10,0.35,0.35,0.35,0.35
547,2019-01-10,0.355,0.355,0.355,0.355
546,2019-01-10,0.3525,0.3549,0.3525,0.3549
545,2019-01-10,0.3525,0.355,0.355,0.3525
544,2019-01-10,0.35,0.3549,0.35,0.3549
543,2019-01-10,0.35,0.35,0.35,0.35
542,2019-01-10,0.3516,0.3516,0.3516,0.3516
541,2019-01-10,0.35,0.36,0.3599,0.35
540,2019-01-10,0.35,0.35,0.35,0.35
539,2019-01-09,0.35,0.35,0.35,0.35
538,2019-01-09,0.3442,0.3442,0.3442,0.3442
537,2019-01-09,0.3538,0.3538,0.3538,0.3538
536,2019-01-09,0.355,0.355,0.355,0.355
535,2019-01-09,0.35,0.35,0.35,0.35
534,2019-01-09,0.3501,0.3501,0.3501,0.3501
533,2019-01-09,0.3518,0.3518,0.3518,0.3518
532,2019-01-09,0.355,0.36,0.355,0.36
531,2019-01-09,0.35,0.35,0.35,0.35
530,2019-01-09,0.35,0.35,0.35,0.35
529,2019-01-09,0.3553,0.3553,0.3553,0.3553
528,2019-01-09,0.35,0.35,0.35,0.35
527,2019-01-09,0.3551,0.3551,0.3551,0.3551
526,2019-01-09,0.35,0.35,0.35,0.35
525,2019-01-09,0.3614,0.3614,0.3614,0.3614
524,2019-01-09,0.363,0.363,0.363,0.363
523,2019-01-09,0.354,0.36,0.36,0.354
522,2019-01-09,0.35,0.354,0.354,0.35
521,2019-01-09,0.3419,0.352,0.352,0.3419
520,2019-01-09,0.3501,0.3501,0.3501,0.3501
519,2019-01-09,0.3463,0.3463,0.3463,0.3463
518,2019-01-09,0.344,0.344,0.344,0.344
517,2019-01-09,0.3417,0.3417,0.3417,0.3417
516,2019-01-09,0.345,0.345,0.345,0.345
515,2019-01-09,0.3401,0.3401,0.3401,0.3401
514,2019-01-09,0.348,0.348,0.348,0.348
513,2019-01-09,0.35,0.35,0.35,0.35
512,2019-01-09,0.35,0.35,0.35,0.35
511,2019-01-09,0.3401,0.3401,0.3401,0.3401
510,2019-01-08,0.35,0.35,0.35,0.35
509,2019-01-08,0.35,0.35,0.35,0.35
508,2019-01-08,0.351,0.351,0.351,0.351
507,2019-01-08,0.3505,0.351,0.3508,0.351
506,2019-01-08,0.3499,0.35,0.35,0.3499
505,2019-01-08,0.34,0.3454,0.34,0.3401
504,2019-01-08,0.3508,0.3508,0.3508,0.3508
503,2019-01-08,0.3401,0.3401,0.3401,0.3401
502,2019-01-08,0.3401,0.3505,0.3401,0.3502
501,2019-01-08,0.3509,0.3509,0.3509,0.3509
500,2019-01-08,0.351,0.351,0.351,0.351
499,2019-01-08,0.3502,0.3506,0.3502,0.3506
498,2019-01-08,0.3506,0.351,0.3506,0.351
497,2019-01-08,0.3501,0.3501,0.3501,0.3501
496,2019-01-08,0.3501,0.3512,0.3512,0.3501
495,2019-01-08,0.3501,0.3501,0.3501,0.3501
494,2019-01-08,0.3525,0.3525,0.3525,0.3525
493,2019-01-08,0.3504,0.3504,0.3504,0.3504
492,2019-01-08,0.3503,0.3503,0.3503,0.3503
491,2019-01-08,0.3527,0.3527,0.3527,0.3527
490,2019-01-08,0.35,0.35,0.35,0.35
489,2019-01-08,0.355,0.357,0.357,0.355
