,Date,Low,High,Close,Open
1134,2019-01-10,1.43,1.45,1.45,1.435
1133,2019-01-10,1.43,1.44,1.44,1.44
1132,2019-01-10,1.43,1.44,1.435,1.435
1131,2019-01-10,1.43,1.44,1.435,1.435
1130,2019-01-10,1.43,1.44,1.435,1.435
1129,2019-01-10,1.4301,1.439,1.435,1.435
1128,2019-01-10,1.43,1.435,1.435,1.435
1127,2019-01-10,1.43,1.44,1.435,1.44
1126,2019-01-10,1.43,1.435,1.435,1.43
1125,2019-01-10,1.43,1.435,1.435,1.43
1124,2019-01-10,1.435,1.44,1.44,1.435
1123,2019-01-10,1.4301,1.435,1.435,1.4301
1122,2019-01-10,1.43,1.4355,1.435,1.435
1121,2019-01-10,1.435,1.435,1.435,1.435
1120,2019-01-10,1.43,1.4395,1.4395,1.435
1119,2019-01-10,1.435,1.44,1.435,1.435
1118,2019-01-10,1.4335,1.435,1.435,1.4335
1117,2019-01-10,1.4331,1.44,1.435,1.435
1116,2019-01-10,1.435,1.435,1.435,1.435
1115,2019-01-10,1.435,1.4394,1.435,1.4394
1114,2019-01-10,1.4301,1.4394,1.4394,1.4394
1113,2019-01-10,1.435,1.4368,1.4368,1.435
1112,2019-01-10,1.43,1.435,1.43,1.435
1111,2019-01-10,1.4301,1.4384,1.4384,1.4354
1110,2019-01-10,1.4325,1.4354,1.435,1.4325
1109,2019-01-10,1.43,1.435,1.435,1.43
1108,2019-01-10,1.43,1.435,1.43,1.435
1107,2019-01-10,1.4311,1.435,1.435,1.435
1106,2019-01-10,1.43,1.4374,1.4301,1.43
1105,2019-01-10,1.43,1.435,1.4301,1.4301
1104,2019-01-10,1.4301,1.435,1.435,1.4301
1103,2019-01-10,1.43,1.435,1.435,1.435
1102,2019-01-10,1.4307,1.435,1.435,1.4307
1101,2019-01-10,1.435,1.4393,1.435,1.435
1100,2019-01-10,1.43,1.4365,1.43,1.4307
1099,2019-01-10,1.43,1.435,1.43,1.435
1098,2019-01-10,1.4301,1.4375,1.4301,1.431
1097,2019-01-10,1.435,1.435,1.435,1.435
1096,2019-01-10,1.435,1.4392,1.435,1.4392
1095,2019-01-10,1.435,1.4372,1.435,1.4372
1094,2019-01-10,1.43,1.44,1.435,1.43
1093,2019-01-10,1.4349,1.435,1.435,1.435
1092,2019-01-10,1.43,1.435,1.435,1.43
1091,2019-01-10,1.43,1.435,1.435,1.43
1090,2019-01-10,1.435,1.4393,1.4393,1.435
1089,2019-01-10,1.435,1.44,1.44,1.44
1088,2019-01-10,1.43,1.435,1.43,1.4301
1087,2019-01-10,1.435,1.44,1.435,1.435
1086,2019-01-10,1.4327,1.4399,1.4327,1.435
1085,2019-01-10,1.435,1.4377,1.4375,1.435
1084,2019-01-10,1.43,1.435,1.435,1.43
1083,2019-01-10,1.435,1.4388,1.435,1.4388
1082,2019-01-10,1.435,1.435,1.435,1.435
1081,2019-01-10,1.4305,1.435,1.435,1.435
1080,2019-01-10,1.43,1.4399,1.435,1.435
1079,2019-01-10,1.435,1.44,1.44,1.4368
1078,2019-01-10,1.435,1.435,1.435,1.435
1077,2019-01-10,1.435,1.4384,1.435,1.4357
1076,2019-01-10,1.435,1.44,1.435,1.44
1075,2019-01-10,1.435,1.44,1.435,1.435
1074,2019-01-10,1.435,1.4368,1.435,1.435
1073,2019-01-10,1.435,1.435,1.435,1.435
1072,2019-01-10,1.43,1.435,1.435,1.4321
1071,2019-01-10,1.43,1.435,1.435,1.435
1070,2019-01-10,1.43,1.435,1.4307,1.435
1069,2019-01-10,1.43,1.435,1.435,1.435
1068,2019-01-10,1.435,1.44,1.44,1.44
1067,2019-01-10,1.4305,1.44,1.44,1.4305
1066,2019-01-10,1.4309,1.4399,1.4399,1.435
1065,2019-01-10,1.435,1.4399,1.435,1.4399
1064,2019-01-10,1.43,1.435,1.435,1.43
1063,2019-01-10,1.435,1.44,1.435,1.435
1062,2019-01-10,1.4301,1.4383,1.4383,1.4376
1061,2019-01-10,1.431,1.44,1.431,1.435
1060,2019-01-10,1.435,1.44,1.44,1.435
1059,2019-01-10,1.4307,1.44,1.4307,1.4362
1058,2019-01-10,1.4261,1.44,1.4302,1.4301
1057,2019-01-10,1.45,1.471,1.45,1.471
1056,2019-01-09,1.505,1.51,1.51,1.51
1055,2019-01-09,1.5,1.51,1.51,1.5
1054,2019-01-09,1.5,1.51,1.5001,1.505
1053,2019-01-09,1.5099,1.51,1.51,1.51
1052,2019-01-09,1.5,1.51,1.51,1.51
1051,2019-01-09,1.5,1.51,1.51,1.51
1050,2019-01-09,1.505,1.51,1.51,1.51
1049,2019-01-09,1.505,1.51,1.51,1.505
1048,2019-01-09,1.5,1.5067,1.505,1.5026
1047,2019-01-09,1.5,1.505,1.5,1.505
1046,2019-01-09,1.5,1.51,1.51,1.505
1045,2019-01-09,1.505,1.505,1.505,1.505
1044,2019-01-09,1.5,1.5075,1.5075,1.5
1043,2019-01-09,1.5,1.505,1.5,1.505
1042,2019-01-09,1.5004,1.505,1.505,1.505
1041,2019-01-09,1.5,1.505,1.505,1.505
1040,2019-01-09,1.5,1.51,1.505,1.505
1039,2019-01-09,1.5,1.51,1.5,1.505
1038,2019-01-09,1.5001,1.5075,1.505,1.505
1037,2019-01-09,1.5,1.505,1.505,1.5
1036,2019-01-09,1.5,1.505,1.5,1.505
1035,2019-01-09,1.505,1.515,1.505,1.515
1034,2019-01-09,1.51,1.515,1.51,1.515
1033,2019-01-09,1.505,1.52,1.5115,1.505
1032,2019-01-09,1.5005,1.505,1.505,1.505
1031,2019-01-09,1.505,1.5062,1.505,1.5062
1030,2019-01-09,1.5041,1.51,1.505,1.5041
1029,2019-01-09,1.505,1.5063,1.505,1.505
1028,2019-01-09,1.5,1.5099,1.5099,1.5
1027,2019-01-09,1.5,1.505,1.505,1.5
1026,2019-01-09,1.5,1.51,1.5035,1.505
