,Date,Low,High,Close,Open
1134,2019-01-10,56.75,56.83,56.81,56.79
1133,2019-01-10,56.76,56.79,56.79,56.77
1132,2019-01-10,56.76,56.9,56.77,56.85
1131,2019-01-10,56.78,56.85,56.82,56.8
1130,2019-01-10,56.78,56.83,56.8,56.8
1129,2019-01-10,56.7767,56.835,56.795,56.82
1128,2019-01-10,56.77,56.8299,56.815,56.8
1127,2019-01-10,56.765,56.81,56.81,56.775
1126,2019-01-10,56.73,56.8,56.78,56.8
1125,2019-01-10,56.77,56.85,56.79,56.82
1124,2019-01-10,56.81,56.91,56.82,56.91
1123,2019-01-10,56.88,56.9436,56.92,56.92
1122,2019-01-10,56.835,56.92,56.92,56.85
1121,2019-01-10,56.84,56.9,56.88,56.9
1120,2019-01-10,56.87,56.97,56.87,56.97
1119,2019-01-10,56.8942,56.9662,56.95,56.9
1118,2019-01-10,56.86,56.92,56.9,56.88
1117,2019-01-10,56.85,56.9,56.88,56.9
1116,2019-01-10,56.88,56.94,56.9,56.91
1115,2019-01-10,56.89,56.95,56.91,56.92
1114,2019-01-10,56.74,56.93,56.9,56.74
1113,2019-01-10,56.73,56.795,56.73,56.74
1112,2019-01-10,56.6,56.76,56.74,56.6
1111,2019-01-10,56.475,56.575,56.575,56.48
1110,2019-01-10,56.45,56.52,56.47,56.45
1109,2019-01-10,56.4355,56.52,56.4355,56.45
1108,2019-01-10,56.39,56.45,56.44,56.39
1107,2019-01-10,56.37,56.54,56.4,56.54
1106,2019-01-10,56.5,56.63,56.54,56.615
1105,2019-01-10,56.55,56.64,56.63,56.63
1104,2019-01-10,56.57,56.64,56.64,56.57
1103,2019-01-10,56.58,56.67,56.58,56.67
1102,2019-01-10,56.63,56.7,56.67,56.7
1101,2019-01-10,56.69,56.75,56.74,56.69
1100,2019-01-10,56.68,56.87,56.7,56.87
1099,2019-01-10,56.86,56.97,56.86,56.97
1098,2019-01-10,56.9172,56.96,56.95,56.95
1097,2019-01-10,56.91,56.99,56.96,56.91
1096,2019-01-10,56.85,56.97,56.95,56.86
1095,2019-01-10,56.83,56.9,56.85,56.9
1094,2019-01-10,56.8,56.9,56.9,56.8
1093,2019-01-10,56.81,56.86,56.81,56.86
1092,2019-01-10,56.76,56.86,56.85,56.77
1091,2019-01-10,56.73,56.78,56.77,56.74
1090,2019-01-10,56.75,56.791,56.77,56.77
1089,2019-01-10,56.72,56.81,56.74,56.77
1088,2019-01-10,56.73,56.82,56.77,56.73
1087,2019-01-10,56.74,56.9,56.76,56.83
1086,2019-01-10,56.76,56.86,56.85,56.81
1085,2019-01-10,56.68,56.78,56.78,56.77
1084,2019-01-10,56.68,56.78,56.77,56.74
1083,2019-01-10,56.72,56.79,56.72,56.79
1082,2019-01-10,56.71,56.78,56.75,56.73
1081,2019-01-10,56.53,56.73,56.72,56.53
1080,2019-01-10,56.54,56.59,56.55,56.54
1079,2019-01-10,56.5107,56.62,56.57,56.537
1078,2019-01-10,56.52,56.635,56.56,56.635
1077,2019-01-10,56.56,56.67,56.64,56.67
1076,2019-01-10,56.66,56.71,56.68,56.67
1075,2019-01-10,56.59,56.67,56.66,56.61
1074,2019-01-10,56.44,56.59,56.59,56.45
1073,2019-01-10,56.45,56.54,56.48,56.45
1072,2019-01-10,56.42,56.48,56.47,56.42
1071,2019-01-10,56.43,56.505,56.43,56.46
1070,2019-01-10,56.415,56.55,56.44,56.55
1069,2019-01-10,56.42,56.54,56.54,56.425
1068,2019-01-10,56.225,56.4358,56.42,56.26
1067,2019-01-10,56.18,56.27,56.25,56.18
1066,2019-01-10,56.1,56.22,56.18,56.19
1065,2019-01-10,56.15,56.24,56.16,56.18
1064,2019-01-10,56.12,56.21,56.18,56.12
