,Date,Low,High,Close,Open
1134,2019-01-10,64.15,64.24,64.18,64.23
1133,2019-01-10,64.2,64.255,64.22,64.24
1132,2019-01-10,64.22,64.37,64.23,64.3
1131,2019-01-10,64.25,64.3,64.3,64.28
1130,2019-01-10,64.24,64.295,64.275,64.28
1129,2019-01-10,64.26,64.33,64.28,64.3
1128,2019-01-10,64.28,64.34,64.3,64.31
1127,2019-01-10,64.24,64.32,64.3101,64.25
1126,2019-01-10,64.24,64.27,64.25,64.265
1125,2019-01-10,64.215,64.3,64.26,64.25
1124,2019-01-10,64.22,64.29,64.255,64.22
1123,2019-01-10,64.185,64.24,64.22,64.19
1122,2019-01-10,64.1,64.2,64.2,64.12
1121,2019-01-10,64.13,64.17,64.13,64.16
1120,2019-01-10,64.16,64.25,64.16,64.25
1119,2019-01-10,64.23,64.27,64.25,64.255
1118,2019-01-10,64.24,64.3,64.25,64.25
1117,2019-01-10,64.24,64.3,64.26,64.27
1116,2019-01-10,64.22,64.28,64.28,64.25
1115,2019-01-10,64.21,64.27,64.245,64.25
1114,2019-01-10,64.22,64.26,64.22,64.24
1113,2019-01-10,64.22,64.3,64.22,64.29
1112,2019-01-10,64.17,64.27,64.27,64.19
1111,2019-01-10,64.165,64.25,64.19,64.2
1110,2019-01-10,64.17,64.22,64.19,64.17
1109,2019-01-10,64.17,64.23,64.17,64.21
1108,2019-01-10,64.14,64.2,64.19,64.15
1107,2019-01-10,64.14,64.24,64.1545,64.24
1106,2019-01-10,64.21,64.28,64.24,64.28
1105,2019-01-10,64.26,64.36,64.29,64.35
1104,2019-01-10,64.21,64.33,64.33,64.21
1103,2019-01-10,64.13,64.21,64.21,64.14
1102,2019-01-10,64.13,64.22,64.15,64.22
1101,2019-01-10,64.2,64.29,64.24,64.2
1100,2019-01-10,64.2,64.31,64.2,64.3
1099,2019-01-10,64.28,64.36,64.3,64.33
1098,2019-01-10,64.24,64.34,64.33,64.26
1097,2019-01-10,64.19,64.33,64.26,64.27
1096,2019-01-10,64.21,64.36,64.28,64.23
1095,2019-01-10,64.2,64.28,64.23,64.25
1094,2019-01-10,64.2,64.27,64.24,64.2228
