,Date,Low,High,Close,Open
1134,2019-01-10,6.06,6.08,6.065,6.07
1133,2019-01-10,6.05,6.07,6.065,6.055
1132,2019-01-10,6.05,6.06,6.055,6.055
1131,2019-01-10,6.04,6.06,6.05,6.045
1130,2019-01-10,6.04,6.06,6.045,6.06
1129,2019-01-10,6.05,6.065,6.06,6.06
1128,2019-01-10,6.05,6.06,6.06,6.055
1127,2019-01-10,6.04,6.06,6.06,6.045
1126,2019-01-10,6.04,6.05,6.045,6.045
1125,2019-01-10,6.04,6.055,6.05,6.055
1124,2019-01-10,6.05,6.06,6.05,6.05
1123,2019-01-10,6.04,6.055,6.0501,6.04
1122,2019-01-10,6.025,6.05,6.05,6.025
1121,2019-01-10,6.025,6.03,6.025,6.03
1120,2019-01-10,6.025,6.04,6.025,6.04
1119,2019-01-10,6.025,6.04,6.0337,6.025
1118,2019-01-10,6.02,6.035,6.025,6.03
1117,2019-01-10,6.03,6.035,6.03,6.035
1116,2019-01-10,6.03,6.035,6.03,6.03
1115,2019-01-10,6.03,6.05,6.03,6.045
1114,2019-01-10,6.045,6.05,6.045,6.05
1113,2019-01-10,6.045,6.06,6.05,6.055
1112,2019-01-10,6.045,6.06,6.055,6.045
1111,2019-01-10,6.04,6.05,6.045,6.04
1110,2019-01-10,6.03,6.04,6.04,6.03
1109,2019-01-10,6.03,6.035,6.035,6.0335
1108,2019-01-10,6.025,6.035,6.03,6.0251
1107,2019-01-10,6.01,6.03,6.03,6.02
1106,2019-01-10,6.02,6.035,6.02,6.03
1105,2019-01-10,6.03,6.04,6.0301,6.04
1104,2019-01-10,6.02,6.035,6.035,6.02
1103,2019-01-10,6.02,6.03,6.02,6.03
1102,2019-01-10,6.03,6.04,6.035,6.04
1101,2019-01-10,6.04,6.045,6.04,6.04
1100,2019-01-10,6.03,6.05,6.04,6.05
1099,2019-01-10,6.04,6.055,6.045,6.05
1098,2019-01-10,6.05,6.065,6.055,6.065
1097,2019-01-10,6.06,6.07,6.065,6.07
1096,2019-01-10,6.05,6.075,6.07,6.06
1095,2019-01-10,6.06,6.075,6.06,6.07
1094,2019-01-10,6.075,6.095,6.075,6.0874
1093,2019-01-10,6.06,6.095,6.085,6.06
1092,2019-01-10,6.05,6.065,6.065,6.05
1091,2019-01-10,6.05,6.07,6.055,6.065
1090,2019-01-10,6.06,6.07,6.07,6.06
1089,2019-01-10,6.035,6.065,6.0579,6.035
1088,2019-01-10,6.03,6.04,6.035,6.0323
1087,2019-01-10,6.03,6.05,6.035,6.03
1086,2019-01-10,6.02,6.03,6.03,6.025
1085,2019-01-10,6.02,6.035,6.03,6.02
1084,2019-01-10,6.02,6.04,6.025,6.04
1083,2019-01-10,6.045,6.06,6.045,6.055
1082,2019-01-10,6.04,6.06,6.055,6.04
1081,2019-01-10,6.035,6.04,6.04,6.035
1080,2019-01-10,6.03,6.04,6.035,6.03
1079,2019-01-10,6.015,6.035,6.035,6.02
1078,2019-01-10,6.025,6.04,6.025,6.04
1077,2019-01-10,6.03,6.045,6.045,6.035
1076,2019-01-10,6.01,6.04,6.04,6.015
1075,2019-01-10,6.01,6.02,6.015,6.015
1074,2019-01-10,6.0023,6.02,6.02,6.005
1073,2019-01-10,6.0,6.02,6.0065,6.01
1072,2019-01-10,6.005,6.03,6.005,6.025
1071,2019-01-10,6.02,6.03,6.025,6.03
1070,2019-01-10,5.995,6.03,6.03,6.015
1069,2019-01-10,6.01,6.015,6.015,6.015
1068,2019-01-10,6.0,6.02,6.02,6.005
1067,2019-01-10,5.98,6.01,6.01,5.98
1066,2019-01-10,5.9701,5.985,5.985,5.98
1065,2019-01-10,5.98,5.99,5.985,5.98
1064,2019-01-10,5.975,5.985,5.98,5.975
1063,2019-01-10,5.96,5.98,5.97,5.975
1062,2019-01-10,5.975,6.025,5.975,6.02
1061,2019-01-10,6.02,6.05,6.02,6.04
1060,2019-01-10,6.02,6.06,6.05,6.025
1059,2019-01-10,6.02,6.03,6.03,6.025
1058,2019-01-10,6.02,6.04,6.03,6.0299
1057,2019-01-10,6.02,6.05,6.025,6.05
1056,2019-01-09,6.04,6.06,6.055,6.04
1055,2019-01-09,6.03,6.045,6.035,6.04
1054,2019-01-09,6.04,6.055,6.04,6.05
1053,2019-01-09,6.04,6.06,6.05,6.05
1052,2019-01-09,6.045,6.06,6.05,6.06
1051,2019-01-09,6.035,6.06,6.06,6.045
1050,2019-01-09,6.045,6.055,6.045,6.055
1049,2019-01-09,6.04,6.06,6.055,6.055
1048,2019-01-09,6.05,6.065,6.05,6.0601
1047,2019-01-09,6.055,6.07,6.065,6.07
1046,2019-01-09,6.055,6.07,6.065,6.07
1045,2019-01-09,6.05,6.07,6.07,6.055
1044,2019-01-09,6.05,6.065,6.055,6.055
1043,2019-01-09,6.05,6.06,6.06,6.06
1042,2019-01-09,6.05,6.06,6.06,6.05
1041,2019-01-09,6.03,6.045,6.045,6.04
1040,2019-01-09,6.03,6.04,6.04,6.035
1039,2019-01-09,6.02,6.05,6.035,6.02
1038,2019-01-09,6.01,6.03,6.02,6.02
1037,2019-01-09,6.0149,6.03,6.015,6.029
1036,2019-01-09,6.02,6.05,6.02,6.05
1035,2019-01-09,6.03,6.07,6.045,6.065
1034,2019-01-09,6.065,6.085,6.07,6.07
1033,2019-01-09,6.06,6.09,6.065,6.065
1032,2019-01-09,6.06,6.07,6.065,6.07
1031,2019-01-09,6.06,6.07,6.065,6.065
1030,2019-01-09,6.04,6.07,6.07,6.04
1029,2019-01-09,6.035,6.05,6.0457,6.035
1028,2019-01-09,6.03,6.04,6.04,6.03
1027,2019-01-09,6.0217,6.04,6.035,6.025
1026,2019-01-09,6.0101,6.025,6.02,6.025
1025,2019-01-09,6.005,6.02,6.02,6.01
1024,2019-01-09,6.01,6.04,6.01,6.03
1023,2019-01-09,6.03,6.045,6.03,6.045
1022,2019-01-09,6.045,6.06,6.045,6.05
1021,2019-01-09,6.05,6.06,6.05,6.055
1020,2019-01-09,6.045,6.06,6.05,6.05
1019,2019-01-09,6.035,6.06,6.05,6.035
1018,2019-01-09,6.03,6.045,6.035,6.035
1017,2019-01-09,6.035,6.0699,6.035,6.0609
1016,2019-01-09,6.03,6.07,6.0699,6.04
1015,2019-01-09,6.03,6.05,6.035,6.045
1014,2019-01-09,6.045,6.075,6.045,6.07
1013,2019-01-09,6.07,6.085,6.07,6.085
1012,2019-01-09,6.08,6.095,6.08,6.095
1011,2019-01-09,6.09,6.105,6.095,6.1
1010,2019-01-09,6.1,6.115,6.1,6.11
1009,2019-01-09,6.1,6.1199,6.11,6.105
1008,2019-01-09,6.1,6.125,6.105,6.12
1007,2019-01-09,6.11,6.135,6.13,6.11
1006,2019-01-09,6.105,6.13,6.115,6.12
1005,2019-01-09,6.12,6.135,6.12,6.135
1004,2019-01-09,6.125,6.14,6.13,6.13
1003,2019-01-09,6.12,6.13,6.13,6.13
1002,2019-01-09,6.13,6.14,6.135,6.135
1001,2019-01-09,6.135,6.157,6.14,6.15
1000,2019-01-09,6.125,6.15,6.15,6.135
999,2019-01-09,6.1,6.14,6.14,6.1
998,2019-01-09,6.07,6.095,6.09,6.095
997,2019-01-09,6.09,6.115,6.1,6.11
996,2019-01-09,6.115,6.14,6.115,6.12
995,2019-01-09,6.115,6.1401,6.125,6.12
994,2019-01-09,6.1,6.12,6.12,6.115
993,2019-01-09,6.115,6.15,6.1199,6.14
992,2019-01-09,6.115,6.155,6.14,6.115
991,2019-01-09,6.115,6.135,6.115,6.135
990,2019-01-09,6.115,6.135,6.13,6.13
989,2019-01-09,6.13,6.165,6.13,6.16
988,2019-01-09,6.125,6.155,6.155,6.13
987,2019-01-09,6.09,6.135,6.135,6.12
986,2019-01-09,6.12,6.17,6.12,6.16
985,2019-01-09,6.16,6.23,6.16,6.23
984,2019-01-09,6.225,6.2558,6.23,6.2558
983,2019-01-09,6.22,6.255,6.255,6.22
982,2019-01-09,6.22,6.25,6.22,6.25
981,2019-01-09,6.24,6.29,6.24,6.29
980,2019-01-09,6.29,6.325,6.29,6.325
979,2019-01-09,6.315,6.34,6.325,6.34
978,2019-01-08,6.32,6.35,6.34,6.32
977,2019-01-08,6.32,6.33,6.32,6.32
976,2019-01-08,6.32,6.33,6.325,6.32
975,2019-01-08,6.31,6.34,6.32,6.33
974,2019-01-08,6.32,6.34,6.335,6.325
973,2019-01-08,6.315,6.33,6.325,6.315
972,2019-01-08,6.31,6.3266,6.315,6.315
971,2019-01-08,6.31,6.32,6.315,6.315
970,2019-01-08,6.315,6.32,6.32,6.315
969,2019-01-08,6.3001,6.32,6.31,6.315
968,2019-01-08,6.28,6.32,6.315,6.29
967,2019-01-08,6.28,6.3,6.285,6.29
966,2019-01-08,6.2743,6.29,6.29,6.29
965,2019-01-08,6.28,6.3,6.29,6.295
964,2019-01-08,6.29,6.31,6.29,6.31
963,2019-01-08,6.295,6.31,6.305,6.295
962,2019-01-08,6.29,6.31,6.295,6.305
961,2019-01-08,6.3,6.31,6.31,6.305
960,2019-01-08,6.3,6.31,6.305,6.305
959,2019-01-08,6.3,6.32,6.31,6.315
958,2019-01-08,6.31,6.33,6.315,6.32
957,2019-01-08,6.31,6.32,6.32,6.315
956,2019-01-08,6.31,6.325,6.32,6.31
955,2019-01-08,6.31,6.33,6.32,6.313
954,2019-01-08,6.315,6.33,6.315,6.33
953,2019-01-08,6.31,6.33,6.3253,6.315
952,2019-01-08,6.3,6.32,6.32,6.305
951,2019-01-08,6.3,6.31,6.31,6.3
950,2019-01-08,6.3,6.32,6.305,6.3101
949,2019-01-08,6.31,6.32,6.315,6.31
948,2019-01-08,6.295,6.315,6.31,6.305
947,2019-01-08,6.3,6.315,6.305,6.3
946,2019-01-08,6.3,6.315,6.305,6.315
945,2019-01-08,6.3,6.32,6.32,6.3
944,2019-01-08,6.3,6.31,6.3,6.3
943,2019-01-08,6.285,6.3057,6.3057,6.285
942,2019-01-08,6.27,6.285,6.285,6.2701
941,2019-01-08,6.27,6.28,6.28,6.27
940,2019-01-08,6.27,6.295,6.275,6.295
939,2019-01-08,6.29,6.3,6.3,6.295
938,2019-01-08,6.28,6.295,6.295,6.295
937,2019-01-08,6.295,6.31,6.295,6.305
936,2019-01-08,6.3,6.305,6.305,6.305
935,2019-01-08,6.3,6.3103,6.305,6.3103
934,2019-01-08,6.305,6.32,6.31,6.305
933,2019-01-08,6.295,6.315,6.3,6.31
932,2019-01-08,6.3,6.31,6.31,6.305
931,2019-01-08,6.29,6.31,6.31,6.3
930,2019-01-08,6.29,6.305,6.2934,6.3
929,2019-01-08,6.295,6.31,6.295,6.31
928,2019-01-08,6.29,6.305,6.3,6.29
927,2019-01-08,6.275,6.285,6.285,6.275
926,2019-01-08,6.27,6.285,6.275,6.28
925,2019-01-08,6.27,6.28,6.28,6.28
924,2019-01-08,6.28,6.285,6.28,6.2846
923,2019-01-08,6.28,6.2866,6.285,6.28
922,2019-01-08,6.27,6.2866,6.285,6.27
921,2019-01-08,6.26,6.2764,6.27,6.27
920,2019-01-08,6.26,6.27,6.27,6.26
919,2019-01-08,6.26,6.275,6.27,6.26
918,2019-01-08,6.24,6.26,6.255,6.24
917,2019-01-08,6.235,6.245,6.24,6.24
916,2019-01-08,6.23,6.24,6.24,6.235
915,2019-01-08,6.23,6.25,6.245,6.25
914,2019-01-08,6.24,6.255,6.245,6.25
913,2019-01-08,6.25,6.27,6.25,6.27
912,2019-01-08,6.27,6.28,6.27,6.275
911,2019-01-08,6.27,6.29,6.275,6.29
910,2019-01-08,6.28,6.31,6.28,6.305
909,2019-01-08,6.31,6.325,6.31,6.32
908,2019-01-08,6.31,6.34,6.32,6.315
907,2019-01-08,6.3,6.31,6.31,6.3
906,2019-01-08,6.29,6.3,6.3,6.29
905,2019-01-08,6.28,6.295,6.28,6.295
904,2019-01-08,6.285,6.31,6.295,6.31
903,2019-01-08,6.28,6.32,6.315,6.285
902,2019-01-08,6.28,6.33,6.28,6.3
901,2019-01-08,6.26,6.3,6.3,6.27
900,2019-01-07,6.22,6.26,6.23,6.25
899,2019-01-07,6.24,6.25,6.245,6.25
898,2019-01-07,6.24,6.25,6.25,6.24
897,2019-01-07,6.22,6.235,6.23,6.22
896,2019-01-07,6.22,6.24,6.22,6.235
895,2019-01-07,6.23,6.25,6.24,6.24
894,2019-01-07,6.24,6.265,6.24,6.25
893,2019-01-07,6.235,6.25,6.25,6.24
892,2019-01-07,6.225,6.24,6.24,6.23
891,2019-01-07,6.21,6.235,6.225,6.215
890,2019-01-07,6.21,6.22,6.21,6.21
889,2019-01-07,6.21,6.22,6.21,6.21
888,2019-01-07,6.21,6.24,6.21,6.24
887,2019-01-07,6.23,6.25,6.23,6.25
886,2019-01-07,6.245,6.26,6.245,6.25
885,2019-01-07,6.245,6.26,6.255,6.245
884,2019-01-07,6.24,6.25,6.245,6.245
883,2019-01-07,6.24,6.25,6.25,6.24
882,2019-01-07,6.24,6.25,6.245,6.25
881,2019-01-07,6.25,6.26,6.25,6.26
880,2019-01-07,6.25,6.26,6.255,6.26
879,2019-01-07,6.25,6.26,6.255,6.255
878,2019-01-07,6.255,6.265,6.255,6.26
877,2019-01-07,6.26,6.265,6.265,6.26
876,2019-01-07,6.26,6.265,6.265,6.26
875,2019-01-07,6.26,6.27,6.265,6.27
874,2019-01-07,6.27,6.29,6.27,6.29
873,2019-01-07,6.275,6.29,6.29,6.28
872,2019-01-07,6.27,6.28,6.275,6.27
871,2019-01-07,6.265,6.285,6.27,6.265
870,2019-01-07,6.26,6.27,6.26,6.27
869,2019-01-07,6.26,6.27,6.265,6.27
868,2019-01-07,6.26,6.27,6.265,6.265
867,2019-01-07,6.26,6.28,6.27,6.265
866,2019-01-07,6.26,6.275,6.265,6.27
865,2019-01-07,6.265,6.2798,6.275,6.275
864,2019-01-07,6.27,6.275,6.275,6.27
863,2019-01-07,6.26,6.27,6.27,6.27
862,2019-01-07,6.265,6.28,6.265,6.27
861,2019-01-07,6.265,6.275,6.265,6.27
860,2019-01-07,6.2609,6.28,6.27,6.27
