,Date,Low,High,Close,Open
1133,2019-01-10,33.34,33.41,33.41,33.36
1132,2019-01-10,33.32,33.39,33.35,33.32
1131,2019-01-10,33.325,33.44,33.33,33.39
1130,2019-01-10,33.35,33.3961,33.375,33.38
1129,2019-01-10,33.33,33.37,33.37,33.33
1128,2019-01-10,33.29,33.36,33.34,33.31
1127,2019-01-10,33.26,33.29,33.29,33.27
1126,2019-01-10,33.26,33.28,33.28,33.28
1125,2019-01-10,33.23,33.28,33.25,33.28
1124,2019-01-10,33.23,33.3,33.28,33.3
1123,2019-01-10,33.28,33.32,33.3,33.28
1122,2019-01-10,33.26,33.31,33.31,33.27
1121,2019-01-10,33.24,33.28,33.28,33.26
1120,2019-01-10,33.25,33.29,33.25,33.29
1119,2019-01-10,33.29,33.37,33.29,33.37
1118,2019-01-10,33.33,33.39,33.39,33.34
1117,2019-01-10,33.32,33.35,33.34,33.34
1116,2019-01-10,33.31,33.355,33.35,33.35
1115,2019-01-10,33.32,33.35,33.35,33.325
1114,2019-01-10,33.34,33.39,33.34,33.39
1113,2019-01-10,33.3,33.37,33.37,33.3306
1112,2019-01-10,33.31,33.36,33.34,33.35
1111,2019-01-10,33.19,33.32,33.32,33.19
1110,2019-01-10,33.2,33.21,33.2,33.21
1109,2019-01-10,33.12,33.19,33.19,33.12
1108,2019-01-10,33.08,33.14,33.14,33.08
1107,2019-01-10,33.06,33.11,33.09,33.06
1106,2019-01-10,33.05,33.11,33.07,33.07
1105,2019-01-10,33.04,33.11,33.11,33.1
1104,2019-01-10,33.06,33.11,33.09,33.11
1103,2019-01-10,33.09,33.11,33.1,33.09
1102,2019-01-10,33.05,33.12,33.08,33.05
1101,2019-01-10,33.02,33.0519,33.03,33.04
1100,2019-01-10,33.09,33.13,33.09,33.13
1099,2019-01-10,33.14,33.26,33.145,33.26
1098,2019-01-10,33.23,33.295,33.23,33.27
1097,2019-01-10,33.25,33.28,33.28,33.27
1096,2019-01-10,33.25,33.3,33.295,33.25
1095,2019-01-10,33.21,33.26,33.26,33.25
1094,2019-01-10,33.189,33.255,33.225,33.255
1093,2019-01-10,33.23,33.2681,33.25,33.26
1092,2019-01-10,33.23,33.25,33.23,33.23
1091,2019-01-10,33.17,33.21,33.21,33.1744
1090,2019-01-10,33.11,33.17,33.16,33.14
1089,2019-01-10,33.15,33.18,33.17,33.18
1088,2019-01-10,33.0298,33.11,33.1,33.05
1087,2019-01-10,33.08,33.12,33.1,33.12
1086,2019-01-10,33.14,33.22,33.14,33.21
1085,2019-01-10,33.17,33.21,33.21,33.17
1084,2019-01-10,33.18,33.245,33.18,33.2
1083,2019-01-10,33.18,33.24,33.24,33.18
1082,2019-01-10,33.22,33.26,33.22,33.23
1081,2019-01-10,33.16,33.2332,33.21,33.23
1080,2019-01-10,33.04,33.21,33.21,33.04
1079,2019-01-10,33.02,33.12,33.0275,33.12
1078,2019-01-10,33.13,33.17,33.16,33.15
1077,2019-01-10,33.09,33.18,33.14,33.09
1076,2019-01-10,33.1,33.14,33.14,33.14
1075,2019-01-10,33.08,33.165,33.165,33.08
1074,2019-01-10,32.98,33.13,33.06,33.13
1073,2019-01-10,33.14,33.22,33.17,33.14
1072,2019-01-10,33.03,33.18,33.13,33.03
1071,2019-01-10,32.97,33.03,32.97,33.03
1070,2019-01-10,32.998,33.07,33.0,33.07
1069,2019-01-10,33.07,33.15,33.1,33.15
1068,2019-01-10,33.19,33.24,33.205,33.24
1067,2019-01-10,33.07,33.21,33.21,33.1
1066,2019-01-10,33.085,33.12,33.085,33.09
1065,2019-01-10,33.01,33.1,33.1,33.025
1064,2019-01-10,33.04,33.1,33.04,33.05
1063,2019-01-10,33.01,33.07,33.04,33.01
