,Date,Low,High,Close,Open
1133,2019-01-10,20.055,20.09,20.07,20.07
1132,2019-01-10,20.06,20.08,20.075,20.06
1131,2019-01-10,19.98,20.06,20.055,20.0
1130,2019-01-10,19.985,20.02,20.0,19.995
1129,2019-01-10,19.96,20.0,19.995,19.97
1128,2019-01-10,19.975,20.0,19.98,19.985
1127,2019-01-10,19.99,20.0,19.99,20.0
1126,2019-01-10,19.975,20.0,19.99,19.975
1125,2019-01-10,19.975,19.995,19.975,19.98
1124,2019-01-10,19.97,19.995,19.985,19.98
1123,2019-01-10,19.98,20.0,19.99,19.99
1122,2019-01-10,19.99,20.04,20.0,19.99
1121,2019-01-10,19.97,19.99,19.99,19.98
1120,2019-01-10,19.96,19.98,19.98,19.965
1119,2019-01-10,19.96,20.0,19.97,20.0
1118,2019-01-10,19.99,20.01,20.005,19.99
1117,2019-01-10,19.985,20.0,19.985,19.99
1116,2019-01-10,19.99,20.005,20.0,20.0
1115,2019-01-10,19.98,19.99,19.99,19.985
1114,2019-01-10,19.97,20.03,19.98,20.03
1113,2019-01-10,19.98,20.02,20.01,19.98
1112,2019-01-10,19.98,20.0,19.98,19.99
1111,2019-01-10,19.94,19.99,19.99,19.95
1110,2019-01-10,19.9,19.945,19.94,19.9
1109,2019-01-10,19.875,19.91,19.89,19.875
1108,2019-01-10,19.875,19.89,19.88,19.88
1107,2019-01-10,19.86,19.88,19.87,19.86
1106,2019-01-10,19.86,19.91,19.87,19.91
1105,2019-01-10,19.92,19.98,19.92,19.97
1104,2019-01-10,19.93,20.0,19.97,20.0
1103,2019-01-10,19.97,20.01,20.01,19.97
1102,2019-01-10,19.97,20.025,19.99,19.97
1101,2019-01-10,19.97,20.025,19.98,20.01
1100,2019-01-10,19.98,20.01,20.01,19.98
1099,2019-01-10,19.95,20.04,19.965,20.04
1098,2019-01-10,19.99,20.04,20.04,20.0
1097,2019-01-10,19.95,20.01,20.01,19.98
1096,2019-01-10,19.93,20.06,19.99,20.03
1095,2019-01-10,19.99,20.06,20.05,20.0
1094,2019-01-10,19.99,20.03,19.99,20.03
1093,2019-01-10,20.01,20.03,20.03,20.01
1092,2019-01-10,19.985,20.05,20.02,19.99
1091,2019-01-10,19.945,20.01,19.99,20.01
1090,2019-01-10,20.0,20.06,20.01,20.06
1089,2019-01-10,20.06,20.09,20.065,20.08
1088,2019-01-10,20.04,20.07,20.07,20.04
1087,2019-01-10,20.05,20.08,20.05,20.07
1086,2019-01-10,20.07,20.12,20.08,20.1
1085,2019-01-10,20.06,20.11,20.11,20.09
1084,2019-01-10,20.08,20.12,20.08,20.09
1083,2019-01-10,20.08,20.13,20.09,20.125
1082,2019-01-10,20.11,20.14,20.12,20.13
1081,2019-01-10,20.115,20.13,20.115,20.12
1080,2019-01-10,20.075,20.1,20.1,20.09
1079,2019-01-10,20.06,20.11,20.08,20.08
1078,2019-01-10,20.02,20.1,20.09,20.03
1077,2019-01-10,20.035,20.07,20.04,20.05
1076,2019-01-10,20.05,20.075,20.06,20.05
1075,2019-01-10,20.025,20.07,20.05,20.065
1074,2019-01-10,20.01,20.05,20.025,20.03
1073,2019-01-10,20.0,20.07,20.06,20.0
1072,2019-01-10,19.97,20.02,20.02,19.97
1071,2019-01-10,19.94,19.98,19.98,19.97
