,Date,Low,High,Close,Open
1104,2019-01-30,162.105,162.44,162.105,162.13
1103,2019-01-30,161.9049,162.28,162.0945,161.9049
1102,2019-01-30,161.71,162.07,161.905,161.84
1101,2019-01-30,161.25,161.86,161.84,161.55
1100,2019-01-30,160.6417,161.64,161.54,160.8388
1099,2019-01-30,160.25,161.23,160.8,160.44
1098,2019-01-30,160.37,160.95,160.43,160.78
1097,2019-01-30,160.67,161.53,160.78,161.36
1096,2019-01-30,161.17,161.888,161.31,161.75
1095,2019-01-30,161.43,162.06,161.7299,161.475
1094,2019-01-30,161.36,162.36,161.4201,162.29
1093,2019-01-30,161.71,162.62,162.31,161.71
1092,2019-01-30,161.66,163.33,161.71,163.22
1091,2019-01-29,154.3,154.73,154.6999,154.34
1090,2019-01-29,154.1101,154.6,154.33,154.58
1089,2019-01-29,154.5152,154.83,154.58,154.65
1088,2019-01-29,154.5148,154.7,154.65,154.55
1087,2019-01-29,154.3303,154.55,154.55,154.4349
1086,2019-01-29,154.2889,154.5105,154.41,154.33
1085,2019-01-29,154.22,154.35,154.32,154.31
1084,2019-01-29,154.3,154.63,154.31,154.59
1083,2019-01-29,154.59,154.83,154.5998,154.59
1082,2019-01-29,154.55,154.86,154.5713,154.768
1081,2019-01-29,154.5762,154.86,154.751,154.8
1080,2019-01-29,154.46,154.8569,154.82,154.72
1079,2019-01-29,154.62,155.04,154.72,155.04
1078,2019-01-29,154.77,155.05,155.04,155.03
1077,2019-01-29,155.025,155.24,155.04,155.2066
1076,2019-01-29,155.1,155.2465,155.205,155.185
1075,2019-01-29,155.17,155.35,155.19,155.34
1074,2019-01-29,155.08,155.41,155.34,155.1
1073,2019-01-29,155.05,155.22,155.11,155.1
1072,2019-01-29,155.08,155.59,155.0883,155.59
1071,2019-01-29,155.57,155.82,155.59,155.82
1070,2019-01-29,155.8,155.9475,155.82,155.9475
1069,2019-01-29,155.82,156.17,155.93,156.15
1068,2019-01-29,155.95,156.14,156.14,156.11
1067,2019-01-29,156.05,156.16,156.1125,156.05
1066,2019-01-29,156.03,156.38,156.06,156.2101
1065,2019-01-29,156.18,156.38,156.21,156.31
1064,2019-01-29,156.0264,156.37,156.3,156.16
1063,2019-01-29,155.95,156.18,156.1764,156.1
1062,2019-01-29,156.11,156.2,156.12,156.13
1061,2019-01-29,156.0,156.27,156.13,156.2346
1060,2019-01-29,155.98,156.2483,156.2483,156.115
1059,2019-01-29,155.98,156.2,156.11,156.02
1058,2019-01-29,156.05,156.39,156.05,156.322
1057,2019-01-29,156.27,156.53,156.3275,156.47
1056,2019-01-29,156.4304,156.7401,156.49,156.74
1055,2019-01-29,156.71,157.0,156.75,156.85
1054,2019-01-29,156.66,156.867,156.8098,156.66
1053,2019-01-29,156.66,156.85,156.66,156.77
1052,2019-01-29,156.7,156.855,156.77,156.75
1051,2019-01-29,156.53,156.7104,156.7104,156.59
1050,2019-01-29,156.43,156.6185,156.6,156.5837
1049,2019-01-29,156.56,156.79,156.58,156.71
1048,2019-01-29,156.5101,156.99,156.71,156.56
1047,2019-01-29,156.2842,156.584,156.57,156.34
1046,2019-01-29,156.0,156.35,156.35,156.1099
1045,2019-01-29,156.0926,156.28,156.11,156.1977
1044,2019-01-29,156.11,156.471,156.21,156.41
1043,2019-01-29,156.1,156.48,156.4016,156.2762
1042,2019-01-29,156.26,156.5,156.26,156.4102
1041,2019-01-29,156.22,156.42,156.42,156.285
1040,2019-01-29,155.89,156.3,156.3,156.01
