,Date,Low,High,Close,Open
1106,2019-01-30,239.5475,239.84,239.84,239.76
1105,2019-01-30,239.27,239.695,239.695,239.27
1104,2019-01-30,239.2,239.455,239.2,239.44
1103,2019-01-30,239.2392,239.4602,239.2392,239.24
1102,2019-01-30,239.17,239.34,239.17,239.3
1101,2019-01-30,239.08,239.45,239.1473,239.34
1100,2019-01-30,239.11,239.305,239.2,239.22
1099,2019-01-30,239.22,239.795,239.25,239.77
1098,2019-01-30,239.805,240.2999,239.81,240.0742
1097,2019-01-30,240.08,240.8104,240.08,240.8104
1096,2019-01-30,240.66,241.07,240.66,240.94
1095,2019-01-30,240.68,241.16,240.73,241.16
1094,2019-01-30,240.35,241.47,240.63,241.47
1093,2019-01-30,241.27,242.07,241.58,241.85
1092,2019-01-30,240.39,242.0,241.97,241.05
1091,2019-01-29,238.17,238.4,238.27,238.21
1090,2019-01-29,237.89,238.13,238.13,238.1
1089,2019-01-29,238.011,238.505,238.13,238.44
1088,2019-01-29,238.24,238.54,238.39,238.39
1087,2019-01-29,238.25,238.49,238.32,238.47
1086,2019-01-29,238.4,238.6,238.46,238.41
1085,2019-01-29,238.37,238.64,238.38,238.56
1084,2019-01-29,238.04,238.59,238.59,238.04
1083,2019-01-29,237.9,238.11,238.03,237.9
1082,2019-01-29,237.85,238.0,237.85,237.98
1081,2019-01-29,237.76,237.95,237.95,237.93
1080,2019-01-29,237.7275,238.01,238.01,237.78
1079,2019-01-29,237.71,238.15,237.71,238.14
1078,2019-01-29,237.91,238.19,238.135,237.91
1077,2019-01-29,237.96,238.3,237.96,238.3
1076,2019-01-29,238.28,238.49,238.29,238.49
1075,2019-01-29,238.4,238.5756,238.5601,238.56
1074,2019-01-29,238.38,238.82,238.7572,238.38
1073,2019-01-29,238.29,238.46,238.46,238.42
1072,2019-01-29,238.46,238.78,238.46,238.68
1071,2019-01-29,238.7862,238.98,238.7862,238.97
1070,2019-01-29,238.96,239.11,239.03,239.08
1069,2019-01-29,239.03,239.14,239.07,239.08
1068,2019-01-29,239.0045,239.22,239.01,239.22
1067,2019-01-29,239.05,239.28,239.28,239.0777
