,Date,Low,High,Close,Open
1105,2019-01-30,38.92,39.01,38.95,38.96
1104,2019-01-30,38.9,38.99,38.9634,38.9
1103,2019-01-30,38.83,38.92,38.89,38.83
1102,2019-01-30,38.78,38.855,38.82,38.78
1101,2019-01-30,38.74,38.85,38.8,38.83
1100,2019-01-30,38.68,38.89,38.865,38.68
1099,2019-01-30,38.59,38.7,38.65,38.645
1098,2019-01-30,38.6602,38.77,38.6602,38.75
1097,2019-01-30,38.73,38.93,38.73,38.92
1096,2019-01-30,38.77,38.98,38.95,38.77
1095,2019-01-30,38.76,38.91,38.79,38.84
1094,2019-01-30,38.643,39.03,38.72,38.97
1093,2019-01-30,38.75,39.035,39.035,38.85
1092,2019-01-30,38.62,38.83,38.83,38.66
1091,2019-01-29,38.2,38.29,38.2,38.26
1090,2019-01-29,38.22,38.26,38.25,38.26
1089,2019-01-29,38.26,38.4,38.265,38.39
1088,2019-01-29,38.3,38.38,38.38,38.3
1087,2019-01-29,38.28,38.335,38.3,38.335
1086,2019-01-29,38.265,38.34,38.34,38.27
1085,2019-01-29,38.25,38.29,38.26,38.29
1084,2019-01-29,38.25,38.29,38.29,38.26
1083,2019-01-29,38.21,38.26,38.26,38.21
1082,2019-01-29,38.18,38.2301,38.21,38.2301
1081,2019-01-29,38.17,38.235,38.235,38.175
1080,2019-01-29,38.155,38.19,38.17,38.18
1079,2019-01-29,38.15,38.18,38.17,38.18
1078,2019-01-29,38.15,38.1763,38.1763,38.15
1077,2019-01-29,38.145,38.21,38.145,38.18
1076,2019-01-29,38.18,38.23,38.19,38.23
1075,2019-01-29,38.18,38.24,38.24,38.22
1074,2019-01-29,38.2,38.24,38.23,38.24
1073,2019-01-29,38.18,38.25,38.24,38.2
1072,2019-01-29,38.1701,38.215,38.19,38.2
1071,2019-01-29,38.175,38.21,38.21,38.21
1070,2019-01-29,38.2,38.26,38.21,38.26
1069,2019-01-29,38.23,38.28,38.28,38.26
1068,2019-01-29,38.25,38.29,38.26,38.27
1067,2019-01-29,38.24,38.29,38.2768,38.24
1066,2019-01-29,38.22,38.27,38.24,38.225
1065,2019-01-29,38.22,38.265,38.22,38.25
