,Date,Low,High,Close,Open
1105,2019-01-30,16.88,16.99,16.93,16.9
1104,2019-01-30,16.88,17.02,16.9,17.015
1103,2019-01-30,16.98,17.04,17.0099,16.98
1102,2019-01-30,16.87,17.0,16.99,16.87
1101,2019-01-30,16.8,16.88,16.815,16.84
1100,2019-01-30,16.6,16.87,16.87,16.6
1099,2019-01-30,16.55,16.61,16.61,16.56
1098,2019-01-30,16.58,16.66,16.58,16.58
1097,2019-01-30,16.6,16.65,16.6,16.65
1096,2019-01-30,16.64,16.6951,16.66,16.69
1095,2019-01-30,16.73,16.86,16.73,16.79
1094,2019-01-30,16.6,16.8,16.74,16.71
1093,2019-01-30,16.6499,16.78,16.66,16.78
1092,2019-01-30,16.6,16.7987,16.75,16.61
1091,2019-01-29,16.4,16.487,16.47,16.44
1090,2019-01-29,16.38,16.44,16.44,16.41
1089,2019-01-29,16.4,16.44,16.41,16.44
1088,2019-01-29,16.39,16.45,16.43,16.39
1087,2019-01-29,16.365,16.41,16.395,16.38
1086,2019-01-29,16.38,16.46,16.38,16.46
1085,2019-01-29,16.4,16.465,16.465,16.4199
1084,2019-01-29,16.395,16.42,16.414,16.395
1083,2019-01-29,16.36,16.415,16.41,16.4
1082,2019-01-29,16.37,16.41,16.41,16.39
1081,2019-01-29,16.36,16.4,16.4,16.4
1080,2019-01-29,16.31,16.42,16.41,16.35
1079,2019-01-29,16.3056,16.39,16.3581,16.32
1078,2019-01-29,16.32,16.38,16.32,16.35
1077,2019-01-29,16.25,16.34,16.34,16.29
1076,2019-01-29,16.29,16.4,16.29,16.4
1075,2019-01-29,16.39,16.44,16.4,16.43
1074,2019-01-29,16.405,16.46,16.4382,16.41
1073,2019-01-29,16.35,16.41,16.4001,16.36
1072,2019-01-29,16.35,16.395,16.37,16.38
1071,2019-01-29,16.38,16.44,16.38,16.41
1070,2019-01-29,16.405,16.47,16.405,16.465
1069,2019-01-29,16.41,16.4799,16.47,16.45
1068,2019-01-29,16.4,16.45,16.44,16.41
1067,2019-01-29,16.395,16.465,16.395,16.465
1066,2019-01-29,16.46,16.505,16.47,16.4899
1065,2019-01-29,16.46,16.55,16.49,16.55
1064,2019-01-29,16.55,16.58,16.55,16.58
1063,2019-01-29,16.5337,16.58,16.58,16.57
1062,2019-01-29,16.54,16.58,16.57,16.58
1061,2019-01-29,16.51,16.57,16.57,16.54
1060,2019-01-29,16.5,16.535,16.535,16.5
1059,2019-01-29,16.47,16.51,16.5,16.48
1058,2019-01-29,16.45,16.49,16.48,16.49
1057,2019-01-29,16.435,16.51,16.5,16.45
1056,2019-01-29,16.39,16.51,16.46,16.43
1055,2019-01-29,16.45,16.59,16.45,16.58
1054,2019-01-29,16.555,16.6,16.57,16.555
1053,2019-01-29,16.535,16.6,16.55,16.585
1052,2019-01-29,16.58,16.63,16.58,16.61
1051,2019-01-29,16.55,16.63,16.62,16.58
1050,2019-01-29,16.5201,16.58,16.58,16.56
1049,2019-01-29,16.5578,16.62,16.5578,16.61
1048,2019-01-29,16.63,16.7,16.63,16.65
1047,2019-01-29,16.64,16.6843,16.64,16.6599
1046,2019-01-29,16.54,16.66,16.65,16.55
1045,2019-01-29,16.5,16.55,16.53,16.53
1044,2019-01-29,16.47,16.52,16.52,16.51
1043,2019-01-29,16.51,16.5289,16.51,16.5289
1042,2019-01-29,16.52,16.53,16.53,16.52
1041,2019-01-29,16.5,16.6,16.53,16.5
1040,2019-01-29,16.5,16.56,16.51,16.56
1039,2019-01-29,16.56,16.5953,16.57,16.59
1038,2019-01-29,16.5,16.59,16.59,16.51
1037,2019-01-29,16.41,16.55,16.49,16.42
1036,2019-01-29,16.39,16.4499,16.4263,16.4215
1035,2019-01-29,16.33,16.4,16.4,16.34
1034,2019-01-29,16.33,16.395,16.33,16.37
1033,2019-01-29,16.29,16.42,16.42,16.37
1032,2019-01-29,16.2903,16.47,16.4,16.2903
1031,2019-01-29,16.3,16.44,16.3,16.4
1030,2019-01-29,16.38,16.55,16.41,16.55
1029,2019-01-29,16.5,16.68,16.51,16.68
1028,2019-01-29,16.67,16.81,16.67,16.7001
1027,2019-01-29,16.65,16.86,16.68,16.73
1026,2019-01-29,16.69,16.755,16.755,16.705
1025,2019-01-29,16.66,16.9055,16.7,16.905
1024,2019-01-29,16.88,17.007,16.905,16.9
1023,2019-01-29,16.913,17.0,16.9179,16.9991
1022,2019-01-29,16.9899,17.02,16.995,17.02
1021,2019-01-29,17.05,17.08,17.0699,17.08
1020,2019-01-29,17.05,17.1,17.06,17.088
1019,2019-01-29,17.0,17.1,17.1,17.04
1018,2019-01-29,16.976,17.08,17.04,17.03
1017,2019-01-29,16.87,17.15,17.0499,16.87
1016,2019-01-29,16.819,16.9103,16.8501,16.85
1015,2019-01-29,16.7,16.92,16.8535,16.87
1014,2019-01-29,16.6192,16.89,16.89,16.78
1013,2019-01-28,16.83,16.88,16.86,16.84
1012,2019-01-28,16.77,16.85,16.82,16.85
1011,2019-01-28,16.77,16.845,16.84,16.77
1010,2019-01-28,16.72,16.77,16.7639,16.72
1009,2019-01-28,16.71,16.815,16.715,16.815
1008,2019-01-28,16.805,16.88,16.81,16.84
1007,2019-01-28,16.82,16.84,16.8301,16.82
1006,2019-01-28,16.78,16.8501,16.82,16.78
1005,2019-01-28,16.765,16.79,16.775,16.78
1004,2019-01-28,16.76,16.79,16.78,16.78
1003,2019-01-28,16.74,16.81,16.78,16.81
1002,2019-01-28,16.77,16.83,16.815,16.77
1001,2019-01-28,16.76,16.81,16.77,16.81
1000,2019-01-28,16.68,16.81,16.81,16.68
999,2019-01-28,16.6599,16.68,16.68,16.66
998,2019-01-28,16.62,16.67,16.655,16.67
997,2019-01-28,16.67,16.71,16.69,16.68
996,2019-01-28,16.6761,16.71,16.68,16.69
995,2019-01-28,16.6599,16.7,16.7,16.69
994,2019-01-28,16.68,16.75,16.68,16.73
993,2019-01-28,16.6097,16.7299,16.7299,16.62
992,2019-01-28,16.62,16.71,16.63,16.71
991,2019-01-28,16.7,16.7401,16.7032,16.74
990,2019-01-28,16.69,16.75,16.72,16.705
989,2019-01-28,16.7,16.72,16.7,16.7
988,2019-01-28,16.68,16.71,16.7031,16.71
987,2019-01-28,16.7,16.73,16.7,16.73
986,2019-01-28,16.74,16.78,16.74,16.76
985,2019-01-28,16.72,16.76,16.76,16.75
984,2019-01-28,16.7,16.76,16.76,16.74
983,2019-01-28,16.72,16.79,16.735,16.78
982,2019-01-28,16.735,16.785,16.785,16.735
981,2019-01-28,16.685,16.745,16.7399,16.69
980,2019-01-28,16.68,16.75,16.705,16.75
979,2019-01-28,16.69,16.7401,16.7401,16.69
978,2019-01-28,16.66,16.72,16.66,16.72
977,2019-01-28,16.66,16.72,16.72,16.68
976,2019-01-28,16.66,16.71,16.69,16.68
975,2019-01-28,16.66,16.73,16.665,16.73
974,2019-01-28,16.74,16.79,16.74,16.7614
973,2019-01-28,16.66,16.81,16.75,16.81
972,2019-01-28,16.81,16.8202,16.81,16.8202
971,2019-01-28,16.7931,16.83,16.81,16.83
970,2019-01-28,16.82,16.86,16.83,16.8401
969,2019-01-28,16.81,16.8899,16.85,16.81
968,2019-01-28,16.77,16.82,16.81,16.8
967,2019-01-28,16.76,16.842,16.8025,16.842
966,2019-01-28,16.795,16.85,16.85,16.8
965,2019-01-28,16.77,16.86,16.8205,16.86
964,2019-01-28,16.88,16.9,16.89,16.88
963,2019-01-28,16.88,16.98,16.89,16.955
962,2019-01-28,16.86,16.96,16.95,16.95
961,2019-01-28,16.92,16.97,16.94,16.92
960,2019-01-28,16.95,17.03,16.95,17.03
959,2019-01-28,16.96,17.03,17.02,16.96
958,2019-01-28,16.88,16.98,16.92,16.98
957,2019-01-28,16.96,17.01,16.96,17.01
956,2019-01-28,16.895,17.0,17.0,16.895
955,2019-01-28,16.8353,16.92,16.8902,16.86
954,2019-01-28,16.76,16.82,16.82,16.8
953,2019-01-28,16.76,16.8501,16.8,16.8501
952,2019-01-28,16.81,16.87,16.86,16.82
951,2019-01-28,16.79,16.87,16.81,16.87
950,2019-01-28,16.68,16.87,16.86,16.71
949,2019-01-28,16.725,16.86,16.74,16.81
