,Date,Low,High,Close,Open
1109,2019-01-30,1641.26,1643.6801,1642.5,1642.0
1108,2019-01-30,1641.7941,1642.98,1641.7941,1642.53
1107,2019-01-30,1641.8,1643.49,1642.9773,1643.4011
1106,2019-01-30,1640.1899,1643.3,1643.1075,1640.8101
1105,2019-01-30,1638.59,1642.0042,1640.7432,1640.6899
1104,2019-01-30,1639.4291,1641.98,1640.62,1639.4291
1103,2019-01-30,1637.65,1639.8949,1639.0,1638.46
1102,2019-01-30,1636.5178,1639.4399,1637.795,1636.5178
1101,2019-01-30,1633.77,1636.601,1636.601,1634.01
1100,2019-01-30,1631.59,1635.13,1634.8684,1633.395
1099,2019-01-30,1630.6608,1635.05,1633.2,1632.0
1098,2019-01-30,1632.0,1638.9301,1632.0,1635.37
1097,2019-01-30,1634.38,1638.86,1635.0,1638.0601
1096,2019-01-30,1636.21,1641.47,1637.6,1638.4399
1095,2019-01-30,1637.4399,1642.0,1637.4399,1638.0
1094,2019-01-30,1635.5699,1640.29,1636.72,1639.98
1093,2019-01-30,1630.0,1640.6625,1639.605,1630.0
1092,2019-01-30,1620.0,1632.1,1630.8949,1623.125
1091,2019-01-29,1592.4399,1594.75,1593.51,1593.1
1090,2019-01-29,1591.405,1593.5,1592.495,1593.5
1089,2019-01-29,1593.3101,1595.9,1593.72,1595.42
1088,2019-01-29,1593.8674,1595.405,1594.985,1595.3241
1087,2019-01-29,1593.73,1595.66,1595.0,1595.66
1086,2019-01-29,1594.99,1596.64,1595.24,1594.99
1085,2019-01-29,1593.52,1594.807,1594.6891,1594.3199
1084,2019-01-29,1593.66,1594.7699,1594.2719,1594.58
1083,2019-01-29,1594.41,1595.74,1594.41,1595.11
1082,2019-01-29,1594.25,1595.59,1595.0,1595.59
1081,2019-01-29,1593.845,1595.3715,1595.322,1594.4783
1080,2019-01-29,1590.9,1594.38,1594.0001,1592.01
1079,2019-01-29,1591.05,1595.99,1591.87,1595.99
1078,2019-01-29,1594.34,1596.59,1596.1462,1596.3
1077,2019-01-29,1595.59,1599.3199,1596.3199,1598.99
1076,2019-01-29,1598.2,1600.054,1599.3,1599.91
1075,2019-01-29,1599.52,1601.96,1600.39,1601.7
1074,2019-01-29,1599.9301,1602.5909,1601.9399,1600.02
1073,2019-01-29,1599.0,1600.3,1600.3,1599.8595
1072,2019-01-29,1599.89,1601.25,1600.0,1600.0601
1071,2019-01-29,1600.26,1602.52,1600.26,1602.25
1070,2019-01-29,1602.255,1603.3,1602.255,1603.11
1069,2019-01-29,1601.9547,1603.6899,1603.4399,1601.9547
1068,2019-01-29,1601.47,1603.45,1602.2539,1603.45
1067,2019-01-29,1602.73,1603.965,1603.725,1602.74
1066,2019-01-29,1602.04,1604.3051,1602.04,1603.0
1065,2019-01-29,1602.8942,1603.73,1603.283,1603.3101
1064,2019-01-29,1600.58,1603.41,1602.8101,1601.5
1063,2019-01-29,1599.64,1601.36,1601.36,1600.28
1062,2019-01-29,1600.02,1601.6,1600.02,1601.0
1061,2019-01-29,1599.09,1600.8234,1600.0699,1600.8234
1060,2019-01-29,1599.9899,1601.365,1601.0,1601.0649
1059,2019-01-29,1599.14,1601.66,1600.5,1599.14
1058,2019-01-29,1599.3044,1601.72,1599.4705,1600.7595
1057,2019-01-29,1599.73,1601.54,1600.15,1600.9089
1056,2019-01-29,1597.6899,1601.03,1600.9,1599.41
1055,2019-01-29,1599.5,1603.78,1599.8928,1603.5
1054,2019-01-29,1602.0601,1603.71,1603.21,1602.803
1053,2019-01-29,1601.385,1603.745,1603.0,1602.3228
1052,2019-01-29,1602.0,1604.085,1602.25,1603.365
1051,2019-01-29,1601.7644,1603.8174,1603.8174,1603.63
1050,2019-01-29,1601.2,1604.0,1602.85,1604.0
1049,2019-01-29,1604.02,1606.7019,1604.3217,1606.64
1048,2019-01-29,1605.0,1607.1801,1606.7406,1605.3898
1047,2019-01-29,1603.23,1606.0,1605.2893,1604.48
1046,2019-01-29,1601.5,1606.0,1604.4176,1601.5
1045,2019-01-29,1600.11,1601.52,1601.0,1600.4
1044,2019-01-29,1599.425,1600.75,1600.53,1599.4834
1043,2019-01-29,1597.545,1600.3101,1599.5134,1599.65
1042,2019-01-29,1599.99,1601.55,1600.49,1600.7964
1041,2019-01-29,1599.26,1601.8409,1599.99,1601.454
1040,2019-01-29,1599.1,1601.52,1601.03,1600.96
1039,2019-01-29,1598.14,1601.45,1600.8802,1598.14
1038,2019-01-29,1596.8597,1599.75,1598.28,1597.42
1037,2019-01-29,1593.88,1597.8101,1596.97,1594.4336
1036,2019-01-29,1594.88,1601.01,1594.88,1600.75
1035,2019-01-29,1600.97,1602.89,1601.0,1602.0
1034,2019-01-29,1597.5,1602.0,1600.74,1600.5
1033,2019-01-29,1597.0,1602.54,1600.0001,1599.6949
1032,2019-01-29,1594.65,1599.8,1599.5022,1598.2
1031,2019-01-29,1593.915,1603.0699,1599.0522,1602.39
1030,2019-01-29,1600.21,1607.4014,1602.77,1607.21
1029,2019-01-29,1604.24,1614.4125,1607.0,1614.4125
1028,2019-01-29,1614.0,1618.184,1614.1899,1617.51
1027,2019-01-29,1616.71,1620.0,1617.3475,1618.48
1026,2019-01-29,1618.0,1621.78,1618.12,1621.1
1025,2019-01-29,1618.5,1620.61,1620.48,1618.8466
1024,2019-01-29,1616.5,1619.5857,1617.95,1619.15
1023,2019-01-29,1617.01,1619.2955,1619.0101,1618.3984
1022,2019-01-29,1618.285,1622.0,1618.285,1620.26
1021,2019-01-29,1619.72,1625.3524,1621.14,1624.51
1020,2019-01-29,1623.9648,1627.645,1624.8,1624.0
1019,2019-01-29,1622.5493,1624.86,1623.5284,1623.87
1018,2019-01-29,1622.0,1626.0,1623.6752,1625.0
1017,2019-01-29,1618.71,1627.0608,1624.75,1619.2
1016,2019-01-29,1618.45,1622.83,1620.02,1620.99
1015,2019-01-29,1620.97,1628.1873,1621.0601,1628.1873
1014,2019-01-29,1623.78,1632.38,1628.24,1632.38
1013,2019-01-28,1633.48,1637.95,1637.67,1633.99
1012,2019-01-28,1631.16,1634.2041,1633.6899,1633.66
1011,2019-01-28,1633.2083,1637.09,1633.2083,1635.5
1010,2019-01-28,1634.47,1635.83,1634.99,1635.2303
1009,2019-01-28,1633.8167,1636.4399,1635.7,1634.1888
1008,2019-01-28,1632.0,1634.42,1634.42,1633.28
1007,2019-01-28,1633.0367,1635.08,1633.0367,1635.08
1006,2019-01-28,1634.1285,1636.27,1635.72,1634.75
1005,2019-01-28,1632.7162,1635.0,1634.4468,1634.7207
1004,2019-01-28,1631.37,1634.5894,1634.5894,1632.783
1003,2019-01-28,1630.51,1632.745,1632.28,1632.745
1002,2019-01-28,1632.0815,1634.6,1632.6722,1633.99
1001,2019-01-28,1633.5,1635.47,1633.5,1634.4344
1000,2019-01-28,1633.548,1636.0699,1634.505,1633.548
999,2019-01-28,1629.02,1633.9301,1633.9301,1629.78
998,2019-01-28,1627.61,1629.8,1629.5,1629.559
997,2019-01-28,1628.6801,1630.7418,1629.7487,1630.51
996,2019-01-28,1628.5,1630.5,1630.46,1628.5
995,2019-01-28,1626.21,1628.281,1628.281,1627.1772
994,2019-01-28,1626.7,1628.75,1626.91,1626.9
993,2019-01-28,1625.6384,1627.391,1626.8973,1626.069
992,2019-01-28,1624.87,1627.08,1626.17,1627.08
991,2019-01-28,1625.87,1627.0084,1627.0084,1626.1316
990,2019-01-28,1625.76,1628.92,1626.1765,1628.1344
989,2019-01-28,1627.35,1629.99,1627.35,1629.7566
988,2019-01-28,1629.25,1631.87,1629.4707,1630.6534
987,2019-01-28,1626.77,1630.79,1630.79,1627.0966
986,2019-01-28,1625.0,1627.5,1626.98,1625.15
985,2019-01-28,1625.0,1627.0,1625.38,1626.13
984,2019-01-28,1622.77,1626.52,1626.335,1623.2347
983,2019-01-28,1622.5699,1623.5,1623.28,1622.92
982,2019-01-28,1621.26,1624.0,1623.2662,1621.79
981,2019-01-28,1620.28,1621.97,1621.7583,1621.6025
980,2019-01-28,1621.0958,1622.6801,1621.38,1622.05
979,2019-01-28,1619.72,1622.51,1621.67,1619.915
978,2019-01-28,1618.12,1619.99,1619.99,1619.35
977,2019-01-28,1619.54,1621.4216,1620.23,1621.12
976,2019-01-28,1620.8199,1623.0016,1621.22,1622.39
975,2019-01-28,1621.3501,1622.645,1621.965,1621.766
974,2019-01-28,1622.25,1623.4684,1622.25,1622.3944
973,2019-01-28,1620.4553,1622.76,1622.3,1621.61
