,Date,Low,High,Close,Open
1109,2019-01-30,18.11,18.23,18.14,18.15
1108,2019-01-30,17.99,18.14,18.14,17.99
1107,2019-01-30,17.97,18.03,17.9983,17.97
1106,2019-01-30,17.88,17.94,17.94,17.91
1105,2019-01-30,17.93,17.96,17.94,17.96
1104,2019-01-30,17.9754,18.0,17.9754,17.98
1103,2019-01-30,17.9766,18.03,18.02,17.9766
1102,2019-01-30,17.9,17.99,17.99,17.9
1101,2019-01-30,17.86,17.92,17.86,17.92
1100,2019-01-30,17.82,17.85,17.85,17.82
1099,2019-01-30,17.72,17.825,17.825,17.72
1098,2019-01-30,17.72,17.81,17.74,17.79
1097,2019-01-30,17.77,17.83,17.79,17.83
1096,2019-01-30,17.87,17.956,17.87,17.91
1095,2019-01-30,17.879,17.98,17.879,17.98
1094,2019-01-30,17.91,18.02,17.91,18.02
1093,2019-01-30,17.995,18.1,18.07,18.1
1092,2019-01-30,18.01,18.12,18.07,18.01
1091,2019-01-29,17.73,17.79,17.77,17.77
1090,2019-01-29,17.76,17.78,17.76,17.77
1089,2019-01-29,17.775,17.81,17.78,17.8
1088,2019-01-29,17.8,17.835,17.8,17.82
1087,2019-01-29,17.79,17.82,17.82,17.82
1086,2019-01-29,17.68,17.81,17.81,17.68
1085,2019-01-29,17.67,17.7,17.68,17.68
1084,2019-01-29,17.64,17.66,17.66,17.645
1083,2019-01-29,17.64,17.655,17.64,17.65
1082,2019-01-29,17.64,17.705,17.66,17.705
1081,2019-01-29,17.72,17.76,17.72,17.735
1080,2019-01-29,17.735,17.77,17.735,17.77
1079,2019-01-29,17.76,17.83,17.765,17.83
1078,2019-01-29,17.82,17.87,17.82,17.865
1077,2019-01-29,17.86,17.9,17.86,17.89
1076,2019-01-29,17.89,17.9,17.9,17.89
1075,2019-01-29,17.88,17.93,17.89,17.925
1074,2019-01-29,17.9,17.91,17.905,17.9
1073,2019-01-29,17.87,17.905,17.89,17.87
1072,2019-01-29,17.85,17.87,17.86,17.85
1071,2019-01-29,17.85,17.875,17.85,17.87
1070,2019-01-29,17.87,17.9,17.87,17.9
1069,2019-01-29,17.88,17.89,17.89,17.88
1068,2019-01-29,17.85,17.885,17.88,17.86
1067,2019-01-29,17.86,17.875,17.865,17.875
1066,2019-01-29,17.87,17.895,17.8734,17.895
1065,2019-01-29,17.86,17.895,17.89,17.86
1064,2019-01-29,17.825,17.87,17.87,17.825
1063,2019-01-29,17.825,17.8397,17.83,17.835
1062,2019-01-29,17.82,17.86,17.86,17.83
1061,2019-01-29,17.78,17.83,17.82,17.78
1060,2019-01-29,17.78,17.79,17.78,17.7886
1059,2019-01-29,17.76,17.8,17.7719,17.76
1058,2019-01-29,17.65,17.75,17.75,17.65
1057,2019-01-29,17.6076,17.64,17.64,17.6076
1056,2019-01-29,17.6,17.615,17.61,17.6
1055,2019-01-29,17.6,17.6238,17.6,17.6238
1054,2019-01-29,17.6,17.63,17.63,17.61
1053,2019-01-29,17.575,17.6242,17.61,17.575
1052,2019-01-29,17.575,17.6,17.58,17.6
1051,2019-01-29,17.61,17.65,17.615,17.63
1050,2019-01-29,17.62,17.66,17.63,17.66
1049,2019-01-29,17.655,17.69,17.67,17.69
