,Date,Low,High,Close,Open
1106,2019-01-30,45.665,45.74,45.69,45.73
1105,2019-01-30,45.7,45.78,45.72,45.745
1104,2019-01-30,45.73,45.81,45.75,45.755
1103,2019-01-30,45.74,45.78,45.7585,45.74
1102,2019-01-30,45.69,45.75,45.73,45.7
1101,2019-01-30,45.66,45.72,45.7,45.72
1100,2019-01-30,45.69,45.75,45.73,45.7299
1099,2019-01-30,45.68,45.75,45.73,45.695
1098,2019-01-30,45.7,45.82,45.72,45.7
1097,2019-01-30,45.735,45.84,45.76,45.84
1096,2019-01-30,45.8,45.925,45.85,45.89
1095,2019-01-30,45.86,46.0,45.915,45.97
1094,2019-01-30,45.89,46.12,45.92,46.1122
1093,2019-01-30,46.08,46.245,46.1,46.22
1092,2019-01-30,46.01,46.24,46.22,46.12
1091,2019-01-29,45.69,45.75,45.74,45.7
1090,2019-01-29,45.69,45.71,45.7,45.7
1089,2019-01-29,45.7,45.85,45.71,45.845
1088,2019-01-29,45.835,45.88,45.845,45.87
1087,2019-01-29,45.87,45.9299,45.87,45.925
1086,2019-01-29,45.89,45.94,45.92,45.9
1085,2019-01-29,45.88,45.9,45.895,45.9
1084,2019-01-29,45.88,45.925,45.9025,45.92
1083,2019-01-29,45.87,45.945,45.92,45.87
1082,2019-01-29,45.84,45.88,45.875,45.86
1081,2019-01-29,45.83,45.87,45.855,45.84
1080,2019-01-29,45.75,45.87,45.85,45.8
1079,2019-01-29,45.78,45.865,45.79,45.865
1078,2019-01-29,45.84,45.88,45.87,45.85
1077,2019-01-29,45.82,45.89,45.845,45.865
1076,2019-01-29,45.84,45.9,45.865,45.88
1075,2019-01-29,45.885,45.94,45.89,45.94
1074,2019-01-29,45.92,45.985,45.9656,45.93
1073,2019-01-29,45.905,45.97,45.93,45.94
1072,2019-01-29,45.9,45.965,45.94,45.965
1071,2019-01-29,45.95,45.9852,45.9669,45.98
1070,2019-01-29,45.97,45.9925,45.975,45.9925
1069,2019-01-29,45.88,45.98,45.98,45.88
1068,2019-01-29,45.79,45.89,45.88,45.83
1067,2019-01-29,45.81,45.85,45.825,45.83
1066,2019-01-29,45.84,45.88,45.84,45.85
1065,2019-01-29,45.82,45.87,45.84,45.85
1064,2019-01-29,45.805,45.87,45.84,45.8199
1063,2019-01-29,45.77,45.825,45.81,45.77
1062,2019-01-29,45.77,45.84,45.77,45.801
1061,2019-01-29,45.79,45.82,45.8,45.82
1060,2019-01-29,45.82,45.875,45.83,45.82
1059,2019-01-29,45.785,45.85,45.82,45.785
1058,2019-01-29,45.76,45.82,45.76,45.81
1057,2019-01-29,45.76,45.84,45.78,45.8
1056,2019-01-29,45.73,45.8,45.8,45.8
1055,2019-01-29,45.82,45.875,45.82,45.875
1054,2019-01-29,45.82,45.87,45.865,45.82
1053,2019-01-29,45.83,45.88,45.83,45.86
1052,2019-01-29,45.83,45.9,45.85,45.83
1051,2019-01-29,45.77,45.85,45.823,45.82
1050,2019-01-29,45.8,45.92,45.85,45.92
1049,2019-01-29,45.905,45.97,45.94,45.94
1048,2019-01-29,45.9,45.97,45.945,45.9
