,Date,Low,High,Close,Open
1090,2019-01-30,0.375,0.3787,0.375,0.3787
1089,2019-01-30,0.3773,0.38,0.379,0.38
1088,2019-01-30,0.3751,0.38,0.38,0.3799
1087,2019-01-30,0.3691,0.38,0.38,0.3691
1086,2019-01-30,0.3674,0.3744,0.3674,0.3744
1085,2019-01-30,0.3699,0.3749,0.3747,0.37
1084,2019-01-30,0.3676,0.3698,0.3698,0.3676
1083,2019-01-30,0.3676,0.3683,0.3676,0.3683
1082,2019-01-30,0.3648,0.369,0.3651,0.3651
1081,2019-01-30,0.36,0.3698,0.3688,0.3659
1080,2019-01-30,0.3621,0.3629,0.3624,0.3629
1079,2019-01-30,0.3573,0.363,0.363,0.3579
1078,2019-01-30,0.3564,0.3597,0.3564,0.3579
1077,2019-01-30,0.356,0.363,0.362,0.356
1076,2019-01-30,0.3579,0.3589,0.3579,0.3584
1075,2019-01-30,0.3487,0.3548,0.3548,0.3487
1074,2019-01-30,0.347,0.348,0.3471,0.348
1073,2019-01-30,0.35,0.35,0.35,0.35
1072,2019-01-29,0.3401,0.3408,0.3405,0.3408
1071,2019-01-29,0.3409,0.3479,0.3409,0.3479
1070,2019-01-29,0.349,0.349,0.349,0.349
1069,2019-01-29,0.3428,0.35,0.349,0.3428
1068,2019-01-29,0.3409,0.341,0.341,0.341
1067,2019-01-29,0.34,0.341,0.341,0.34
1066,2019-01-29,0.3389,0.3389,0.3389,0.3389
1065,2019-01-29,0.3389,0.339,0.3389,0.339
1064,2019-01-29,0.335,0.3385,0.3385,0.3355
1063,2019-01-29,0.3355,0.3357,0.3356,0.3357
1062,2019-01-29,0.3354,0.3354,0.3354,0.3354
1061,2019-01-29,0.3354,0.3367,0.3364,0.3367
1060,2019-01-29,0.336,0.3371,0.3364,0.3371
1059,2019-01-29,0.3372,0.3372,0.3372,0.3372
1058,2019-01-29,0.3374,0.3374,0.3374,0.3374
1057,2019-01-29,0.335,0.335,0.335,0.335
1056,2019-01-29,0.335,0.3378,0.335,0.3378
1055,2019-01-29,0.3364,0.338,0.3367,0.338
1054,2019-01-29,0.3369,0.3382,0.3369,0.3382
1053,2019-01-29,0.3332,0.3388,0.3332,0.3388
1052,2019-01-29,0.3337,0.3362,0.3362,0.3337
1051,2019-01-29,0.3337,0.3339,0.3339,0.3337
1050,2019-01-29,0.3337,0.3338,0.3337,0.3338
1049,2019-01-29,0.3302,0.3339,0.3339,0.3302
1048,2019-01-29,0.3302,0.3302,0.3302,0.3302
1047,2019-01-29,0.3321,0.3341,0.3341,0.3321
1046,2019-01-29,0.3343,0.3349,0.3343,0.3349
1045,2019-01-29,0.3348,0.3355,0.3348,0.3355
1044,2019-01-29,0.333,0.335,0.333,0.335
1043,2019-01-29,0.336,0.3362,0.336,0.3362
1042,2019-01-29,0.3362,0.3366,0.3362,0.3366
1041,2019-01-29,0.3362,0.3369,0.3362,0.3369
1040,2019-01-29,0.3362,0.3377,0.3377,0.3363
1039,2019-01-29,0.3363,0.3389,0.3389,0.3363
1038,2019-01-29,0.3393,0.3395,0.3393,0.3395
1037,2019-01-29,0.3364,0.3398,0.3398,0.3364
1036,2019-01-29,0.3364,0.3399,0.3364,0.3398
1035,2019-01-29,0.34,0.3446,0.34,0.34
1034,2019-01-29,0.3362,0.3362,0.3362,0.3362
1033,2019-01-29,0.3361,0.3363,0.3361,0.3363
1032,2019-01-29,0.3365,0.3365,0.3365,0.3365
1031,2019-01-29,0.3361,0.3368,0.3367,0.3361
1030,2019-01-29,0.336,0.3375,0.336,0.3375
1029,2019-01-29,0.3375,0.3377,0.3376,0.3377
1028,2019-01-29,0.3375,0.3379,0.3375,0.3379
1027,2019-01-29,0.3375,0.3382,0.3375,0.3375
1026,2019-01-29,0.3375,0.3387,0.3375,0.3387
1025,2019-01-29,0.3387,0.3389,0.3387,0.3389
1024,2019-01-29,0.3375,0.3394,0.3394,0.3375
1023,2019-01-29,0.3375,0.3398,0.3393,0.3375
1022,2019-01-29,0.3398,0.3399,0.3398,0.3399
1021,2019-01-29,0.3375,0.3398,0.3375,0.3398
1020,2019-01-29,0.3398,0.3399,0.3398,0.3399
1019,2019-01-29,0.3398,0.34,0.3399,0.34
1018,2019-01-29,0.3364,0.34,0.34,0.3364
1017,2019-01-29,0.3361,0.3369,0.3361,0.3368
1016,2019-01-29,0.3361,0.3412,0.337,0.3412
1015,2019-01-29,0.3413,0.3447,0.3447,0.3413
1014,2019-01-29,0.3412,0.3412,0.3412,0.3412
1013,2019-01-29,0.3459,0.3461,0.3461,0.3459
1012,2019-01-29,0.34,0.3465,0.34,0.3465
1011,2019-01-29,0.34,0.3466,0.3466,0.3431
1010,2019-01-29,0.343,0.344,0.343,0.344
1009,2019-01-29,0.344,0.3456,0.3456,0.3443
1008,2019-01-29,0.347,0.3489,0.3484,0.3489
1007,2019-01-29,0.344,0.347,0.3448,0.344
1006,2019-01-29,0.3386,0.3425,0.3425,0.3386
1005,2019-01-29,0.338,0.3404,0.34,0.338
1004,2019-01-29,0.336,0.3385,0.3385,0.336
1003,2019-01-29,0.3362,0.3362,0.3362,0.3362
1002,2019-01-29,0.335,0.3426,0.3426,0.335
1001,2019-01-29,0.3382,0.3437,0.3428,0.3437
1000,2019-01-29,0.338,0.3444,0.3444,0.338
999,2019-01-29,0.3389,0.3444,0.3428,0.3389
998,2019-01-29,0.336,0.35,0.336,0.35
997,2019-01-28,0.333,0.3337,0.3333,0.333
996,2019-01-28,0.333,0.3334,0.3334,0.333
995,2019-01-28,0.333,0.3334,0.3334,0.3331
994,2019-01-28,0.333,0.3332,0.333,0.3332
993,2019-01-28,0.3325,0.3332,0.3332,0.3325
992,2019-01-28,0.3285,0.3326,0.3326,0.3285
991,2019-01-28,0.3316,0.3316,0.3316,0.3316
990,2019-01-28,0.3332,0.3332,0.3332,0.3332
989,2019-01-28,0.331,0.331,0.331,0.331
988,2019-01-28,0.33,0.3338,0.3301,0.3338
987,2019-01-28,0.3286,0.3338,0.3338,0.3286
986,2019-01-28,0.3287,0.3288,0.3287,0.3287
985,2019-01-28,0.3283,0.3285,0.3283,0.3285
984,2019-01-28,0.327,0.329,0.329,0.327
983,2019-01-28,0.329,0.3294,0.329,0.3294
982,2019-01-28,0.327,0.327,0.327,0.327
981,2019-01-28,0.3283,0.3283,0.3283,0.3283
980,2019-01-28,0.3303,0.3303,0.3303,0.3303
979,2019-01-28,0.3306,0.3306,0.3306,0.3306
978,2019-01-28,0.3306,0.3306,0.3306,0.3306
977,2019-01-28,0.327,0.3309,0.3309,0.327
976,2019-01-28,0.327,0.327,0.327,0.327
975,2019-01-28,0.3271,0.3271,0.3271,0.3271
974,2019-01-28,0.3271,0.3271,0.3271,0.3271
973,2019-01-28,0.3271,0.3271,0.3271,0.3271
972,2019-01-28,0.3271,0.3271,0.3271,0.3271
971,2019-01-28,0.3271,0.3271,0.3271,0.3271
970,2019-01-28,0.327,0.3271,0.3271,0.327
969,2019-01-28,0.3271,0.3271,0.3271,0.3271
968,2019-01-28,0.327,0.327,0.327,0.327
967,2019-01-28,0.327,0.3271,0.327,0.3271
966,2019-01-28,0.3271,0.3277,0.3271,0.3272
965,2019-01-28,0.3271,0.3271,0.3271,0.3271
964,2019-01-28,0.3271,0.3271,0.3271,0.3271
963,2019-01-28,0.3271,0.3271,0.3271,0.3271
962,2019-01-28,0.3271,0.3271,0.3271,0.3271
961,2019-01-28,0.325,0.327,0.327,0.325
960,2019-01-28,0.327,0.3277,0.327,0.3277
959,2019-01-28,0.3251,0.3278,0.3278,0.3251
958,2019-01-28,0.3282,0.3282,0.3282,0.3282
