,Date,Low,High,Close,Open
1104,2019-01-30,35.375,35.5,35.46,35.44
1103,2019-01-30,35.43,35.54,35.435,35.46
1102,2019-01-30,35.32,35.46,35.455,35.33
1101,2019-01-30,35.32,35.405,35.33,35.37
1100,2019-01-30,35.28,35.37,35.37,35.36
1099,2019-01-30,35.3,35.369,35.355,35.3
1098,2019-01-30,35.26,35.31,35.285,35.31
1097,2019-01-30,35.28,35.385,35.31,35.38
1096,2019-01-30,35.38,35.53,35.39,35.47
1095,2019-01-30,35.44,35.515,35.46,35.495
1094,2019-01-30,35.4357,35.57,35.5,35.52
1093,2019-01-30,35.42,35.67,35.54,35.66
1092,2019-01-30,35.57,35.94,35.66,35.94
1091,2019-01-29,36.01,36.1,36.08,36.09
1090,2019-01-29,36.08,36.11,36.085,36.1042
1089,2019-01-29,36.1,36.165,36.105,36.155
1088,2019-01-29,36.13,36.18,36.15,36.175
1087,2019-01-29,36.12,36.175,36.175,36.155
1086,2019-01-29,36.14,36.22,36.15,36.16
1085,2019-01-29,36.09,36.16,36.16,36.09
1084,2019-01-29,36.055,36.09,36.0893,36.055
1083,2019-01-29,36.05,36.09,36.06,36.07
1082,2019-01-29,36.05,36.105,36.065,36.105
1081,2019-01-29,36.005,36.12,36.11,36.005
1080,2019-01-29,35.98,36.065,36.0066,36.06
1079,2019-01-29,36.055,36.13,36.055,36.12
1078,2019-01-29,36.085,36.12,36.12,36.11
1077,2019-01-29,36.085,36.1623,36.11,36.15
1076,2019-01-29,36.11,36.15,36.15,36.13
1075,2019-01-29,36.12,36.17,36.13,36.17
1074,2019-01-29,36.17,36.215,36.175,36.215
1073,2019-01-29,36.195,36.235,36.2125,36.235
1072,2019-01-29,36.24,36.28,36.24,36.265
1071,2019-01-29,36.2355,36.27,36.27,36.255
1070,2019-01-29,36.24,36.27,36.25,36.2415
1069,2019-01-29,36.2333,36.26,36.24,36.24
1068,2019-01-29,36.22,36.3,36.25,36.3
1067,2019-01-29,36.18,36.31,36.3,36.18
1066,2019-01-29,36.14,36.206,36.185,36.14
1065,2019-01-29,36.15,36.205,36.15,36.205
1064,2019-01-29,36.17,36.215,36.2031,36.18
1063,2019-01-29,36.18,36.2,36.18,36.19
1062,2019-01-29,36.173,36.22,36.19,36.22
1061,2019-01-29,36.215,36.27,36.22,36.265
1060,2019-01-29,36.25,36.31,36.2601,36.27
1059,2019-01-29,36.13,36.26,36.26,36.13
1058,2019-01-29,36.14,36.25,36.14,36.245
1057,2019-01-29,36.225,36.265,36.24,36.24
1056,2019-01-29,36.25,36.33,36.25,36.313
1055,2019-01-29,36.245,36.32,36.3199,36.295
1054,2019-01-29,36.28,36.3,36.295,36.28
1053,2019-01-29,36.17,36.3,36.28,36.21
1052,2019-01-29,36.18,36.27,36.22,36.18
1051,2019-01-29,36.14,36.18,36.175,36.145
1050,2019-01-29,36.085,36.18,36.14,36.18
1049,2019-01-29,36.155,36.2,36.185,36.17
1048,2019-01-29,36.12,36.165,36.165,36.12
1047,2019-01-29,36.03,36.135,36.1287,36.035
1046,2019-01-29,35.97,36.06,36.04,35.97
1045,2019-01-29,35.94,35.98,35.97,35.955
1044,2019-01-29,35.95,36.04,35.95,36.01
1043,2019-01-29,36.0,36.04,36.01,36.03
1042,2019-01-29,35.98,36.05,36.03,35.99
1041,2019-01-29,35.9801,36.03,35.99,36.01
1040,2019-01-29,35.89,36.02,36.01,35.905
1039,2019-01-29,35.8801,35.9077,35.9043,35.8801
1038,2019-01-29,35.87,35.89,35.88,35.87
1037,2019-01-29,35.84,35.88,35.86,35.87
1036,2019-01-29,35.87,35.91,35.88,35.875
1035,2019-01-29,35.865,35.9049,35.87,35.9
1034,2019-01-29,35.79,35.89,35.89,35.825
1033,2019-01-29,35.79,35.865,35.82,35.835
1032,2019-01-29,35.835,35.93,35.835,35.93
1031,2019-01-29,35.9025,35.93,35.93,35.92
1030,2019-01-29,35.91,36.005,35.915,35.99
1029,2019-01-29,35.93,36.08,36.0,35.93
1028,2019-01-29,35.91,35.97,35.93,35.95
1027,2019-01-29,35.88,35.96,35.95,35.88
1026,2019-01-29,35.87,35.9661,35.875,35.96
1025,2019-01-29,35.7745,35.95,35.95,35.7745
1024,2019-01-29,35.75,35.795,35.775,35.785
1023,2019-01-29,35.74,35.795,35.78,35.75
1022,2019-01-29,35.75,35.84,35.75,35.76
1021,2019-01-29,35.75,35.82,35.75,35.81
1020,2019-01-29,35.7,35.811,35.81,35.78
1019,2019-01-29,35.665,35.81,35.78,35.665
1018,2019-01-29,35.66,35.765,35.66,35.74
1017,2019-01-29,35.7,35.79,35.75,35.74
1016,2019-01-29,35.65,35.755,35.735,35.695
1015,2019-01-29,35.56,35.715,35.71,35.6143
1014,2019-01-29,35.39,35.615,35.6,35.39
