,Date,Low,High,Close,Open
1106,2019-01-30,48.38,48.61,48.61,48.46
1105,2019-01-30,48.37,48.47,48.47,48.46
1104,2019-01-30,48.4,48.55,48.46,48.4
1103,2019-01-30,48.4,48.56,48.46,48.4
1102,2019-01-30,48.43,48.58,48.44,48.43
1101,2019-01-30,48.18,48.35,48.35,48.25
1100,2019-01-30,48.305,48.42,48.34,48.38
1099,2019-01-30,48.09,48.22,48.22,48.12
1098,2019-01-30,48.06,48.17,48.06,48.17
1097,2019-01-30,48.04,48.26,48.04,48.22
1096,2019-01-30,48.0892,48.35,48.16,48.35
1095,2019-01-30,48.13,48.44,48.13,48.44
1094,2019-01-30,48.345,48.8537,48.485,48.8537
1093,2019-01-30,48.63,48.79,48.79,48.64
1092,2019-01-30,48.58,48.6985,48.6985,48.58
1091,2019-01-29,48.0,48.09,48.0,48.055
1090,2019-01-29,48.05,48.12,48.05,48.12
1089,2019-01-29,48.11,48.25,48.12,48.25
1088,2019-01-29,48.19,48.27,48.25,48.19
1087,2019-01-29,48.19,48.36,48.19,48.36
1086,2019-01-29,48.32,48.38,48.38,48.32
1085,2019-01-29,48.2,48.28,48.28,48.2
1084,2019-01-29,48.16,48.2,48.2,48.19
1083,2019-01-29,48.08,48.14,48.14,48.08
1082,2019-01-29,48.14,48.2,48.14,48.17
1081,2019-01-29,48.08,48.1572,48.1572,48.08
1080,2019-01-29,48.0,48.07,48.07,48.0
1079,2019-01-29,48.01,48.0399,48.01,48.0399
1078,2019-01-29,47.98,48.01,48.0,47.98
1077,2019-01-29,47.98,48.08,47.98,48.08
1076,2019-01-29,48.05,48.1,48.06,48.09
1075,2019-01-29,48.03,48.12,48.12,48.03
1074,2019-01-29,47.97,48.04,48.04,47.97
1073,2019-01-29,47.98,48.02,47.98,48.02
1072,2019-01-29,48.02,48.11,48.02,48.11
1071,2019-01-29,48.08,48.105,48.1,48.095
1070,2019-01-29,48.04,48.09,48.04,48.09
1069,2019-01-29,47.99,48.11,48.11,47.995
1068,2019-01-29,47.95,47.985,47.971,47.95
1067,2019-01-29,47.96,47.98,47.97,47.96
1066,2019-01-29,47.96,48.0,47.96,47.975
1065,2019-01-29,47.9601,48.0,47.97,47.98
1064,2019-01-29,47.95,48.02,47.99,47.95
1063,2019-01-29,47.9,47.96,47.96,47.93
1062,2019-01-29,47.92,48.04,47.95,48.04
1061,2019-01-29,48.02,48.05,48.03,48.02
1060,2019-01-29,47.97,48.0204,48.0204,47.97
1059,2019-01-29,47.9,47.96,47.96,47.9
1058,2019-01-29,47.9,47.92,47.92,47.92
1057,2019-01-29,47.86,47.945,47.88,47.945
1056,2019-01-29,47.95,47.99,47.95,47.99
1055,2019-01-29,48.0,48.02,48.01,48.0
1054,2019-01-29,47.96,48.01,47.99,48.01
1053,2019-01-29,47.975,48.0,48.0,47.98
1052,2019-01-29,47.95,48.03,47.95,48.03
1051,2019-01-29,47.99,48.05,48.0,48.03
1050,2019-01-29,47.98,48.05,47.98,48.05
1049,2019-01-29,48.04,48.1,48.04,48.085
1048,2019-01-29,48.0,48.0657,48.0657,48.01
1047,2019-01-29,47.945,48.01,48.0,47.965
1046,2019-01-29,47.875,47.94,47.94,47.94
1045,2019-01-29,47.87,47.92,47.91,47.9
1044,2019-01-29,47.88,47.9,47.9,47.88
1043,2019-01-29,47.89,47.93,47.89,47.91
1042,2019-01-29,47.91,47.9581,47.915,47.9581
1041,2019-01-29,47.93,48.0,47.93,48.0
1040,2019-01-29,47.94,47.985,47.965,47.985
1039,2019-01-29,47.94,48.02,48.01,47.94
1038,2019-01-29,47.925,47.95,47.94,47.95
1037,2019-01-29,47.9,47.93,47.9,47.93
1036,2019-01-29,47.94,48.0211,47.94,48.005
1035,2019-01-29,47.97,48.05,48.0,47.97
1034,2019-01-29,47.83,47.9,47.84,47.83
1033,2019-01-29,47.65,47.8,47.8,47.74
1032,2019-01-29,47.63,47.74,47.74,47.71
1031,2019-01-29,47.67,47.9,47.72,47.9
1030,2019-01-29,47.88,47.98,47.92,47.98
1029,2019-01-29,47.97,48.09,47.97,48.09
1028,2019-01-29,47.98,48.12,48.07,48.1
1027,2019-01-29,48.04,48.23,48.06,48.23
1026,2019-01-29,48.06,48.21,48.17,48.21
1025,2019-01-29,47.97,48.2,48.2,47.97
1024,2019-01-29,47.77,47.87,47.86,47.77
1023,2019-01-29,47.65,47.78,47.73,47.65
1022,2019-01-29,47.38,47.8,47.74,47.54
1021,2019-01-29,47.54,47.8,47.59,47.8
1020,2019-01-29,47.69,47.86,47.86,47.71
1019,2019-01-29,47.68,48.0,47.68,47.86
1018,2019-01-29,47.9,48.09,47.9,48.09
1017,2019-01-29,47.91,48.155,48.1,47.91
1016,2019-01-29,48.04,48.3,48.04,48.175
1015,2019-01-29,48.11,48.29,48.19,48.175
1014,2019-01-29,48.1,48.39,48.14,48.1
1013,2019-01-28,49.22,49.42,49.31,49.22
1012,2019-01-28,49.14,49.21,49.21,49.19
1011,2019-01-28,49.18,49.21,49.2,49.18
1010,2019-01-28,49.18,49.26,49.18,49.21
1009,2019-01-28,49.22,49.26,49.22,49.26
1008,2019-01-28,49.22,49.26,49.24,49.24
1007,2019-01-28,49.235,49.29,49.235,49.27
1006,2019-01-28,49.16,49.27,49.27,49.19
1005,2019-01-28,49.13,49.17,49.17,49.17
1004,2019-01-28,49.1,49.16,49.16,49.1
1003,2019-01-28,49.11,49.18,49.11,49.18
1002,2019-01-28,49.15,49.21,49.21,49.15
1001,2019-01-28,49.14,49.19,49.14,49.19
1000,2019-01-28,49.11,49.16,49.16,49.12
999,2019-01-28,49.1,49.2,49.1,49.18
998,2019-01-28,49.12,49.2,49.17,49.2
997,2019-01-28,49.15,49.22,49.2,49.15
996,2019-01-28,49.095,49.13,49.12,49.125
995,2019-01-28,49.105,49.18,49.13,49.18
994,2019-01-28,49.19,49.33,49.19,49.29
993,2019-01-28,49.21,49.3,49.3,49.21
992,2019-01-28,49.2,49.27,49.21,49.26
991,2019-01-28,49.23,49.285,49.2801,49.285
990,2019-01-28,49.33,49.42,49.33,49.42
989,2019-01-28,49.39,49.41,49.39,49.4
988,2019-01-28,49.36,49.46,49.36,49.46
987,2019-01-28,49.37,49.46,49.43,49.38
986,2019-01-28,49.35,49.38,49.35,49.38
985,2019-01-28,49.4,49.47,49.4,49.47
984,2019-01-28,49.4063,49.46,49.46,49.4063
983,2019-01-28,49.4,49.48,49.4,49.48
982,2019-01-28,49.42,49.49,49.48,49.42
981,2019-01-28,49.34,49.42,49.4,49.36
980,2019-01-28,49.34,49.43,49.34,49.43
979,2019-01-28,49.27,49.46,49.46,49.27
978,2019-01-28,49.28,49.295,49.29,49.29
977,2019-01-28,49.28,49.34,49.29,49.3
976,2019-01-28,49.27,49.35,49.35,49.28
975,2019-01-28,49.14,49.32,49.275,49.14
974,2019-01-28,49.12,49.16,49.16,49.12
973,2019-01-28,49.03,49.09,49.09,49.07
972,2019-01-28,49.05,49.19,49.05,49.19
971,2019-01-28,49.15,49.2,49.18,49.15
970,2019-01-28,49.08,49.18,49.12,49.08
969,2019-01-28,48.94,49.11,49.095,48.94
968,2019-01-28,48.85,48.92,48.92,48.92
967,2019-01-28,48.82,48.905,48.8942,48.82
966,2019-01-28,48.765,48.87,48.82,48.8
965,2019-01-28,48.775,48.86,48.775,48.8
964,2019-01-28,48.7999,48.84,48.81,48.82
963,2019-01-28,48.82,48.95,48.855,48.95
962,2019-01-28,48.95,49.14,48.95,49.14
961,2019-01-28,49.11,49.3,49.11,49.27
960,2019-01-28,49.235,49.315,49.31,49.3
959,2019-01-28,49.25,49.31,49.28,49.3
958,2019-01-28,49.32,49.5,49.32,49.5
