,Date,Low,High,Close,Open
1104,2019-01-30,46.0246,46.07,46.0246,46.05
1103,2019-01-30,45.9647,46.05,46.04,45.9658
1102,2019-01-30,45.94,45.98,45.96,45.94
1101,2019-01-30,45.93,46.1,45.94,46.1
1100,2019-01-30,46.1,46.15,46.105,46.15
1099,2019-01-30,46.09,46.145,46.145,46.1
1098,2019-01-30,46.06,46.14,46.1,46.105
1097,2019-01-30,46.09,46.18,46.1,46.15
1096,2019-01-30,45.995,46.14,46.14,46.0
1095,2019-01-30,45.93,46.01,45.98,46.0
1094,2019-01-30,45.96,46.04,45.98,46.02
1093,2019-01-30,45.99,46.085,46.02,46.07
1092,2019-01-30,45.93,46.07,46.06,45.9525
1091,2019-01-29,45.905,45.96,45.96,45.93
1090,2019-01-29,45.86,45.93,45.93,45.89
1089,2019-01-29,45.89,46.015,45.89,46.0
1088,2019-01-29,45.97,46.01,45.99,45.99
1087,2019-01-29,45.9542,46.0034,45.99,46.0
1086,2019-01-29,45.96,46.005,46.0,45.96
1085,2019-01-29,45.94,45.97,45.95,45.96
1084,2019-01-29,45.94,45.965,45.96,45.94
1083,2019-01-29,45.92,45.956,45.945,45.92
1082,2019-01-29,45.9,45.928,45.92,45.905
1081,2019-01-29,45.87,45.92,45.909,45.88
1080,2019-01-29,45.81,45.89,45.88,45.845
1079,2019-01-29,45.82,45.885,45.83,45.88
1078,2019-01-29,45.86,45.89,45.8899,45.8767
1077,2019-01-29,45.875,45.905,45.8758,45.89
1076,2019-01-29,45.87,45.92,45.89,45.91
1075,2019-01-29,45.905,45.96,45.92,45.96
1074,2019-01-29,45.91,45.96,45.955,45.91
1073,2019-01-29,45.87,45.915,45.915,45.885
1072,2019-01-29,45.89,45.94,45.89,45.93
1071,2019-01-29,45.93,45.95,45.94,45.95
1070,2019-01-29,45.9434,45.9642,45.955,45.9642
1069,2019-01-29,45.93,45.96,45.96,45.945
1068,2019-01-29,45.92,45.97,45.945,45.97
1067,2019-01-29,45.9401,45.98,45.98,45.95
1066,2019-01-29,45.95,46.02,45.95,45.985
1065,2019-01-29,45.97,45.99,45.99,45.97
1064,2019-01-29,45.89,45.97,45.97,45.895
1063,2019-01-29,45.875,45.9,45.895,45.9
1062,2019-01-29,45.905,45.93,45.91,45.92
1061,2019-01-29,45.89,45.94,45.91,45.92
1060,2019-01-29,45.88,45.92,45.92,45.91
1059,2019-01-29,45.83,45.9,45.9,45.83
1058,2019-01-29,45.83,45.885,45.83,45.88
1057,2019-01-29,45.865,45.91,45.875,45.88
1056,2019-01-29,45.8618,45.9232,45.88,45.9232
1055,2019-01-29,45.92,45.97,45.92,45.95
1054,2019-01-29,45.89,45.95,45.94,45.89
1053,2019-01-29,45.89,45.93,45.89,45.91
1052,2019-01-29,45.89,45.92,45.92,45.89
1051,2019-01-29,45.86,45.89,45.885,45.88
1050,2019-01-29,45.855,45.89,45.88,45.89
1049,2019-01-29,45.89,45.945,45.89,45.945
1048,2019-01-29,45.89,45.97,45.945,45.9
1047,2019-01-29,45.84,45.91,45.91,45.88
1046,2019-01-29,45.8,45.89,45.8831,45.81
1045,2019-01-29,45.785,45.811,45.81,45.8033
1044,2019-01-29,45.795,45.82,45.8056,45.8
1043,2019-01-29,45.79,45.87,45.8,45.8667
1042,2019-01-29,45.835,45.875,45.87,45.835
1041,2019-01-29,45.81,45.89,45.8301,45.88
1040,2019-01-29,45.86,45.89,45.89,45.87
1039,2019-01-29,45.81,45.88,45.8734,45.82
1038,2019-01-29,45.795,45.85,45.825,45.83
1037,2019-01-29,45.795,45.85,45.815,45.81
1036,2019-01-29,45.81,45.8799,45.81,45.84
1035,2019-01-29,45.815,45.8466,45.8466,45.84
1034,2019-01-29,45.82,45.88,45.83,45.86
1033,2019-01-29,45.72,45.86,45.86,45.73
1032,2019-01-29,45.65,45.75,45.73,45.68
1031,2019-01-29,45.66,45.775,45.69,45.7535
1030,2019-01-29,45.74,45.87,45.765,45.87
1029,2019-01-29,45.84,45.91,45.8699,45.88
1028,2019-01-29,45.835,45.9174,45.878,45.89
1027,2019-01-29,45.87,45.945,45.9,45.91
1026,2019-01-29,45.91,46.0,45.92,45.99
1025,2019-01-29,45.875,45.97,45.97,45.875
1024,2019-01-29,45.8639,45.955,45.87,45.95
1023,2019-01-29,45.89,45.95,45.945,45.9
1022,2019-01-29,45.87,45.935,45.9,45.935
1021,2019-01-29,45.93,46.0485,45.94,46.0485
1020,2019-01-29,45.92,46.04,46.04,45.92
1019,2019-01-29,45.87,45.92,45.92,45.89
1018,2019-01-29,45.89,45.92,45.89,45.895
1017,2019-01-29,45.835,45.96,45.9,45.86
1016,2019-01-29,45.84,45.87,45.87,45.86
1015,2019-01-29,45.85,45.93,45.86,45.93
1014,2019-01-29,45.8,46.02,45.95,45.81
1013,2019-01-28,45.6,45.76,45.76,45.63
1012,2019-01-28,45.59,45.66,45.635,45.645
1011,2019-01-28,45.635,45.7,45.645,45.66
1010,2019-01-28,45.6641,45.71,45.6641,45.69
1009,2019-01-28,45.685,45.7099,45.6999,45.69
1008,2019-01-28,45.6601,45.7,45.7,45.68
1007,2019-01-28,45.69,45.725,45.69,45.725
1006,2019-01-28,45.68,45.745,45.72,45.68
1005,2019-01-28,45.64,45.69,45.67,45.69
1004,2019-01-28,45.62,45.7,45.695,45.64
1003,2019-01-28,45.59,45.64,45.63,45.64
1002,2019-01-28,45.615,45.68,45.64,45.6554
1001,2019-01-28,45.65,45.71,45.66,45.65
1000,2019-01-28,45.64,45.69,45.64,45.64
999,2019-01-28,45.56,45.645,45.63,45.56
998,2019-01-28,45.53,45.59,45.555,45.575
997,2019-01-28,45.5401,45.58,45.575,45.56
996,2019-01-28,45.505,45.57,45.5699,45.505
995,2019-01-28,45.4748,45.5167,45.505,45.49
994,2019-01-28,45.495,45.5469,45.495,45.51
993,2019-01-28,45.5,45.53,45.51,45.52
992,2019-01-28,45.49,45.53,45.52,45.51
991,2019-01-28,45.5,45.52,45.51,45.52
990,2019-01-28,45.52,45.6,45.52,45.6
989,2019-01-28,45.58,45.63,45.59,45.63
988,2019-01-28,45.625,45.675,45.6311,45.64
987,2019-01-28,45.62,45.64,45.6359,45.63
986,2019-01-28,45.6,45.645,45.64,45.6
985,2019-01-28,45.6,45.64,45.6,45.62
984,2019-01-28,45.53,45.63,45.6168,45.535
983,2019-01-28,45.51,45.56,45.53,45.54
982,2019-01-28,45.5,45.58,45.54,45.5
981,2019-01-28,45.49,45.51,45.505,45.495
980,2019-01-28,45.475,45.51,45.49,45.49
979,2019-01-28,45.43,45.495,45.49,45.44
978,2019-01-28,45.41,45.46,45.42,45.44
977,2019-01-28,45.43,45.49,45.4427,45.49
976,2019-01-28,45.48,45.51,45.49,45.51
975,2019-01-28,45.485,45.51,45.505,45.49
974,2019-01-28,45.48,45.55,45.48,45.51
973,2019-01-28,45.425,45.51,45.51,45.46
972,2019-01-28,45.43,45.52,45.46,45.5
971,2019-01-28,45.46,45.5,45.49,45.47
