,Date,Low,High,Close,Open
1106,2019-01-30,31.825,31.92,31.89,31.92
1105,2019-01-30,31.87,31.95,31.93,31.87
1104,2019-01-30,31.79,31.86,31.86,31.79
1103,2019-01-30,31.78,31.855,31.78,31.85
1102,2019-01-30,31.83,31.92,31.87,31.83
1101,2019-01-30,31.76,31.83,31.82,31.83
1100,2019-01-30,31.82,31.91,31.855,31.86
1099,2019-01-30,31.9,32.02,31.9,32.02
1098,2019-01-30,31.87,32.07,32.035,31.87
1097,2019-01-30,31.84,31.95,31.93,31.95
1096,2019-01-30,31.83,31.895,31.895,31.84
1095,2019-01-30,31.88,31.99,31.88,31.9
1094,2019-01-30,31.76,31.93,31.84,31.93
1093,2019-01-30,31.76,31.93,31.93,31.78
1092,2019-01-30,31.73,32.082,31.73,32.082
1091,2019-01-29,31.645,31.72,31.68,31.7
1090,2019-01-29,31.67,31.69,31.69,31.69
1089,2019-01-29,31.68,31.73,31.7,31.73
1088,2019-01-29,31.695,31.73,31.73,31.71
1087,2019-01-29,31.68,31.71,31.7,31.71
1086,2019-01-29,31.7,31.755,31.7,31.73
1085,2019-01-29,31.72,31.76,31.73,31.755
1084,2019-01-29,31.745,31.78,31.75,31.75
1083,2019-01-29,31.74,31.77,31.75,31.76
1082,2019-01-29,31.69,31.76,31.755,31.69
1081,2019-01-29,31.59,31.69,31.67,31.6
1080,2019-01-29,31.57,31.605,31.6,31.59
1079,2019-01-29,31.57,31.62,31.59,31.61
1078,2019-01-29,31.6,31.65,31.61,31.63
1077,2019-01-29,31.63,31.71,31.64,31.71
1076,2019-01-29,31.685,31.76,31.72,31.685
1075,2019-01-29,31.68,31.685,31.685,31.68
1074,2019-01-29,31.68,31.74,31.69,31.74
1073,2019-01-29,31.735,31.75,31.735,31.74
1072,2019-01-29,31.7125,31.75,31.735,31.75
1071,2019-01-29,31.75,31.785,31.75,31.785
1070,2019-01-29,31.785,31.8,31.785,31.8
1069,2019-01-29,31.78,31.81,31.8,31.81
1068,2019-01-29,31.79,31.8,31.79,31.79
1067,2019-01-29,31.795,31.8367,31.795,31.82
1066,2019-01-29,31.81,31.86,31.83,31.82
1065,2019-01-29,31.75,31.83,31.82,31.75
1064,2019-01-29,31.69,31.75,31.75,31.69
1063,2019-01-29,31.64,31.67,31.67,31.66
1062,2019-01-29,31.66,31.71,31.66,31.7
1061,2019-01-29,31.6897,31.71,31.7,31.7
1060,2019-01-29,31.675,31.69,31.69,31.69
1059,2019-01-29,31.67,31.71,31.67,31.7
1058,2019-01-29,31.7,31.75,31.7,31.75
1057,2019-01-29,31.67,31.75,31.74,31.75
1056,2019-01-29,31.72,31.75,31.75,31.74
1055,2019-01-29,31.71,31.75,31.75,31.71
1054,2019-01-29,31.69,31.72,31.69,31.72
1053,2019-01-29,31.74,31.76,31.74,31.74
1052,2019-01-29,31.67,31.71,31.71,31.69
