,Date,Low,High,Close,Open
1109,2019-01-30,25.35,25.52,25.48,25.35
1108,2019-01-30,25.29,25.36,25.35,25.29
1107,2019-01-30,25.24,25.37,25.295,25.37
1106,2019-01-30,25.31,25.38,25.37,25.31
1105,2019-01-30,25.3,25.545,25.3,25.53
1104,2019-01-30,25.455,25.53,25.52,25.4599
1103,2019-01-30,25.36,25.49,25.47,25.47
1102,2019-01-30,25.35,25.48,25.48,25.375
1101,2019-01-30,25.28,25.398,25.39,25.36
1100,2019-01-30,25.205,25.4099,25.36,25.245
1099,2019-01-30,25.115,25.29,25.29,25.12
1098,2019-01-30,25.09,25.21,25.155,25.11
1097,2019-01-30,25.12,25.33,25.12,25.28
1096,2019-01-30,25.2,25.36,25.26,25.215
1095,2019-01-30,25.19,25.49,25.235,25.43
1094,2019-01-30,25.235,25.79,25.455,25.79
1093,2019-01-30,25.81,26.05,25.81,26.0
1092,2019-01-30,26.035,27.06,26.035,27.06
1091,2019-01-29,27.37,27.43,27.4,27.4
1090,2019-01-29,27.38,27.41,27.39,27.395
1089,2019-01-29,27.39,27.45,27.395,27.45
1088,2019-01-29,27.435,27.445,27.445,27.435
1087,2019-01-29,27.39,27.43,27.42,27.42
1086,2019-01-29,27.41,27.44,27.42,27.43
1085,2019-01-29,27.39,27.44,27.42,27.43
1084,2019-01-29,27.405,27.43,27.43,27.41
1083,2019-01-29,27.4,27.42,27.41,27.42
1082,2019-01-29,27.39,27.42,27.41,27.39
1081,2019-01-29,27.33,27.39,27.39,27.33
1080,2019-01-29,27.29,27.36,27.32,27.35
1079,2019-01-29,27.35,27.36,27.355,27.36
1078,2019-01-29,27.37,27.42,27.37,27.41
1077,2019-01-29,27.381,27.43,27.39,27.42
1076,2019-01-29,27.41,27.44,27.43,27.41
1075,2019-01-29,27.41,27.45,27.41,27.44
1074,2019-01-29,27.445,27.4627,27.45,27.46
1073,2019-01-29,27.46,27.55,27.46,27.55
1072,2019-01-29,27.51,27.5923,27.56,27.57
1071,2019-01-29,27.55,27.59,27.56,27.56
1070,2019-01-29,27.55,27.57,27.57,27.55
1069,2019-01-29,27.54,27.56,27.56,27.543
1068,2019-01-29,27.545,27.573,27.545,27.57
1067,2019-01-29,27.57,27.58,27.57,27.57
1066,2019-01-29,27.54,27.58,27.58,27.55
1065,2019-01-29,27.54,27.55,27.55,27.54
1064,2019-01-29,27.5,27.545,27.545,27.51
1063,2019-01-29,27.52,27.54,27.52,27.52
1062,2019-01-29,27.52,27.55,27.53,27.52
1061,2019-01-29,27.51,27.53,27.51,27.53
1060,2019-01-29,27.52,27.55,27.54,27.54
1059,2019-01-29,27.51,27.54,27.53,27.51
1058,2019-01-29,27.53,27.57,27.53,27.57
1057,2019-01-29,27.565,27.59,27.565,27.59
1056,2019-01-29,27.59,27.61,27.595,27.61
1055,2019-01-29,27.61,27.62,27.61,27.61
1054,2019-01-29,27.6,27.62,27.61,27.6
1053,2019-01-29,27.57,27.6,27.59,27.58
1052,2019-01-29,27.57,27.61,27.59,27.57
1051,2019-01-29,27.56,27.58,27.565,27.575
1050,2019-01-29,27.565,27.59,27.59,27.59
1049,2019-01-29,27.59,27.63,27.59,27.63
1048,2019-01-29,27.62,27.65,27.6362,27.62
1047,2019-01-29,27.58,27.63,27.63,27.58
1046,2019-01-29,27.54,27.58,27.58,27.54
1045,2019-01-29,27.53,27.56,27.53,27.55
1044,2019-01-29,27.56,27.6,27.56,27.6
1043,2019-01-29,27.62,27.64,27.62,27.64
1042,2019-01-29,27.61,27.64,27.64,27.64
1041,2019-01-29,27.62,27.64,27.62,27.63
1040,2019-01-29,27.59,27.65,27.61,27.65
1039,2019-01-29,27.66,27.68,27.67,27.68
1038,2019-01-29,27.62,27.66,27.66,27.62
1037,2019-01-29,27.6,27.63,27.6,27.61
1036,2019-01-29,27.57,27.62,27.6,27.595
1035,2019-01-29,27.55,27.59,27.58,27.59
1034,2019-01-29,27.54,27.58,27.58,27.56
1033,2019-01-29,27.55,27.6,27.58,27.55
1032,2019-01-29,27.51,27.54,27.525,27.52
1031,2019-01-29,27.48,27.51,27.4973,27.48
1030,2019-01-29,27.47,27.57,27.49,27.57
1029,2019-01-29,27.57,27.6,27.57,27.5815
1028,2019-01-29,27.5443,27.58,27.57,27.55
1027,2019-01-29,27.54,27.573,27.56,27.57
1026,2019-01-29,27.57,27.6,27.57,27.6
1025,2019-01-29,27.53,27.59,27.59,27.55
1024,2019-01-29,27.52,27.57,27.52,27.57
