,Date,Low,High,Close,Open
1106,2019-01-30,95.72,95.83,95.735,95.75
1105,2019-01-30,95.63,95.74,95.73,95.69
1104,2019-01-30,95.5,95.68,95.66,95.51
1103,2019-01-30,95.445,95.54,95.5,95.445
1102,2019-01-30,95.34,95.44,95.34,95.43
1101,2019-01-30,95.4,95.63,95.45,95.59
1100,2019-01-30,95.51,95.64,95.64,95.6145
1099,2019-01-30,95.545,95.72,95.66,95.545
1098,2019-01-30,95.59,95.73,95.61,95.69
1097,2019-01-30,95.81,95.86,95.81,95.86
1096,2019-01-30,95.95,96.08,96.01,96.08
1095,2019-01-30,96.11,96.29,96.11,96.29
1094,2019-01-30,96.2,96.5,96.2,96.5
1093,2019-01-30,96.18,96.33,96.33,96.18
1092,2019-01-30,96.3,96.5,96.3,96.4609
1091,2019-01-29,96.135,96.22,96.21,96.14
1090,2019-01-29,95.88,96.11,96.11,95.88
1089,2019-01-29,95.87,95.9,95.89,95.88
1088,2019-01-29,95.84,95.89,95.89,95.87
1087,2019-01-29,95.82,95.9,95.875,95.82
1086,2019-01-29,95.79,95.87,95.82,95.86
1085,2019-01-29,95.84,95.9,95.85,95.9
1084,2019-01-29,95.85,95.8999,95.895,95.85
1083,2019-01-29,95.85,95.9,95.86,95.875
1082,2019-01-29,95.83,95.86,95.86,95.86
1081,2019-01-29,95.73,95.86,95.86,95.75
1080,2019-01-29,95.7,95.747,95.747,95.7
1079,2019-01-29,95.73,95.77,95.7413,95.74
1078,2019-01-29,95.63,95.69,95.69,95.68
1077,2019-01-29,95.65,95.75,95.65,95.75
1076,2019-01-29,95.69,95.8,95.7401,95.8
1075,2019-01-29,95.81,95.94,95.81,95.94
1074,2019-01-29,95.89,96.115,95.92,96.115
1073,2019-01-29,96.09,96.19,96.12,96.19
1072,2019-01-29,96.16,96.34,96.19,96.26
1071,2019-01-29,96.25,96.28,96.27,96.265
1070,2019-01-29,96.24,96.28,96.255,96.25
1069,2019-01-29,96.25,96.36,96.26,96.36
1068,2019-01-29,96.33,96.4,96.36,96.38
1067,2019-01-29,96.39,96.45,96.4,96.44
1066,2019-01-29,96.31,96.415,96.415,96.34
1065,2019-01-29,96.32,96.38,96.35,96.36
1064,2019-01-29,96.34,96.38,96.365,96.34
1063,2019-01-29,96.25,96.37,96.36,96.29
1062,2019-01-29,96.155,96.28,96.28,96.165
1061,2019-01-29,95.98,96.11,96.11,96.0
1060,2019-01-29,95.97,96.0219,95.99,95.97
1059,2019-01-29,95.75,95.9265,95.9265,95.75
1058,2019-01-29,95.76,95.79,95.76,95.77
1057,2019-01-29,95.74,95.78,95.75,95.77
1056,2019-01-29,95.73,95.85,95.76,95.85
1055,2019-01-29,95.84,95.89,95.86,95.875
1054,2019-01-29,95.85,95.895,95.86,95.88
1053,2019-01-29,95.85,95.9,95.85,95.86
1052,2019-01-29,95.77,95.85,95.85,95.78
1051,2019-01-29,95.74,95.82,95.74,95.79
1050,2019-01-29,95.8,95.89,95.815,95.88
1049,2019-01-29,95.76,95.9,95.9,95.79
1048,2019-01-29,95.68,95.8,95.78,95.7
1047,2019-01-29,95.71,95.79,95.76,95.7416
1046,2019-01-29,95.63,95.77,95.72,95.65
1045,2019-01-29,95.63,95.72,95.63,95.72
1044,2019-01-29,95.64,95.74,95.71,95.64
1043,2019-01-29,95.62,95.65,95.62,95.65
1042,2019-01-29,95.58,95.65,95.65,95.61
1041,2019-01-29,95.6,95.63,95.63,95.6
1040,2019-01-29,95.39,95.53,95.53,95.44
1039,2019-01-29,95.385,95.45,95.4,95.41
1038,2019-01-29,95.36,95.48,95.38,95.48
1037,2019-01-29,95.4,95.49,95.45,95.4
1036,2019-01-29,95.41,95.43,95.42,95.42
1035,2019-01-29,95.42,95.45,95.43,95.45
1034,2019-01-29,95.4,95.51,95.4,95.51
1033,2019-01-29,95.39,95.53,95.51,95.41
1032,2019-01-29,95.37,95.42,95.39,95.4
1031,2019-01-29,95.4,95.45,95.44,95.45
1030,2019-01-29,95.42,95.58,95.42,95.58
1029,2019-01-29,95.66,95.81,95.66,95.75
1028,2019-01-29,95.59,95.66,95.66,95.61
1027,2019-01-29,95.53,95.58,95.55,95.58
1026,2019-01-29,95.495,95.545,95.52,95.51
1025,2019-01-29,95.365,95.49,95.49,95.4
1024,2019-01-29,95.28,95.4,95.365,95.4
1023,2019-01-29,95.4,95.52,95.4,95.52
1022,2019-01-29,95.51,95.68,95.51,95.61
1021,2019-01-29,95.535,95.63,95.6,95.61
