,Date,Low,High,Close,Open
1108,2019-01-30,32.96,33.13,33.0,33.02
1107,2019-01-30,33.02,33.17,33.02,33.095
1106,2019-01-30,33.03,33.125,33.1,33.03
1105,2019-01-30,33.02,33.19,33.02,33.09
1104,2019-01-30,33.06,33.17,33.075,33.14
1103,2019-01-30,33.1,33.31,33.11,33.3
1102,2019-01-30,33.23,33.33,33.295,33.3075
1101,2019-01-30,33.25,33.33,33.31,33.3
1100,2019-01-30,33.23,33.34,33.31,33.29
1099,2019-01-30,33.3066,33.51,33.3066,33.51
1098,2019-01-30,33.52,33.64,33.55,33.62
1097,2019-01-30,33.61,33.7525,33.61,33.74
1096,2019-01-30,33.48,33.76,33.75,33.49
1095,2019-01-30,33.5,33.76,33.5,33.51
1094,2019-01-30,33.46,33.79,33.5,33.55
1093,2019-01-30,33.55,33.915,33.55,33.78
1092,2019-01-30,33.58,34.32,33.73,33.85
1091,2019-01-29,33.57,33.73,33.68,33.57
1090,2019-01-29,33.54,33.58,33.57,33.58
1089,2019-01-29,33.57,33.65,33.57,33.65
1088,2019-01-29,33.6,33.65,33.65,33.605
1087,2019-01-29,33.6,33.645,33.6,33.645
1086,2019-01-29,33.63,33.65,33.64,33.65
1085,2019-01-29,33.64,33.68,33.65,33.64
1084,2019-01-29,33.61,33.64,33.635,33.63
1083,2019-01-29,33.605,33.64,33.625,33.64
1082,2019-01-29,33.64,33.68,33.64,33.68
1081,2019-01-29,33.665,33.7,33.6761,33.7
1080,2019-01-29,33.68,33.72,33.7,33.72
1079,2019-01-29,33.68,33.73,33.71,33.695
1078,2019-01-29,33.69,33.71,33.695,33.71
1077,2019-01-29,33.705,33.76,33.705,33.76
1076,2019-01-29,33.75,33.77,33.755,33.75
1075,2019-01-29,33.755,33.8,33.7557,33.79
1074,2019-01-29,33.78,33.8,33.79,33.8
1073,2019-01-29,33.78,33.85,33.7901,33.85
1072,2019-01-29,33.8,33.87,33.84,33.8
1071,2019-01-29,33.74,33.83,33.81,33.74
1070,2019-01-29,33.73,33.775,33.74,33.77
1069,2019-01-29,33.77,33.785,33.77,33.78
1068,2019-01-29,33.78,33.79,33.78,33.79
1067,2019-01-29,33.795,33.82,33.795,33.82
1066,2019-01-29,33.81,33.83,33.815,33.82
1065,2019-01-29,33.8,33.82,33.815,33.815
1064,2019-01-29,33.78,33.82,33.82,33.79
1063,2019-01-29,33.78,33.805,33.79,33.795
1062,2019-01-29,33.79,33.845,33.79,33.845
1061,2019-01-29,33.84,33.87,33.85,33.87
1060,2019-01-29,33.86,33.91,33.8689,33.9
1059,2019-01-29,33.855,33.895,33.895,33.855
1058,2019-01-29,33.85,33.9,33.85,33.89
1057,2019-01-29,33.87,33.89,33.885,33.88
1056,2019-01-29,33.875,33.91,33.88,33.89
1055,2019-01-29,33.845,33.9,33.89,33.845
1054,2019-01-29,33.835,33.86,33.84,33.835
1053,2019-01-29,33.83,33.91,33.83,33.9
1052,2019-01-29,33.89,33.925,33.905,33.925
1051,2019-01-29,33.92,33.94,33.92,33.935
1050,2019-01-29,33.92,33.97,33.935,33.96
1049,2019-01-29,33.95,33.97,33.965,33.97
1048,2019-01-29,33.96,34.0,33.96,33.99
1047,2019-01-29,33.985,34.02,34.0,33.99
1046,2019-01-29,33.87,33.99,33.99,33.87
1045,2019-01-29,33.86,33.89,33.87,33.875
1044,2019-01-29,33.85,33.94,33.87,33.94
1043,2019-01-29,33.91,33.95,33.935,33.92
1042,2019-01-29,33.815,33.94,33.92,33.82
1041,2019-01-29,33.81,33.83,33.815,33.82
1040,2019-01-29,33.7,33.805,33.805,33.7
1039,2019-01-29,33.7,33.715,33.705,33.705
1038,2019-01-29,33.685,33.74,33.71,33.69
1037,2019-01-29,33.67,33.7,33.69,33.695
1036,2019-01-29,33.685,33.705,33.695,33.7
1035,2019-01-29,33.69,33.71,33.695,33.7
1034,2019-01-29,33.68,33.7,33.7,33.685
1033,2019-01-29,33.66,33.71,33.695,33.66
1032,2019-01-29,33.67,33.695,33.685,33.69
1031,2019-01-29,33.67,33.77,33.7,33.77
1030,2019-01-29,33.735,33.77,33.77,33.75
1029,2019-01-29,33.75,33.83,33.76,33.81
1028,2019-01-29,33.8,33.87,33.81,33.87
1027,2019-01-29,33.86,33.905,33.875,33.88
1026,2019-01-29,33.88,33.98,33.88,33.97
1025,2019-01-29,33.9,33.96,33.96,33.92
1024,2019-01-29,33.9016,33.98,33.92,33.96
1023,2019-01-29,33.95,34.005,33.95,34.005
1022,2019-01-29,33.97,34.01,34.0,33.9785
1021,2019-01-29,33.99,34.12,33.99,34.1
1020,2019-01-29,34.045,34.14,34.1011,34.09
1019,2019-01-29,34.0,34.17,34.11,34.0
1018,2019-01-29,33.97,34.01,34.0,33.98
1017,2019-01-29,33.92,34.0,33.99,33.92
1016,2019-01-29,33.91,34.0,33.93,33.95
1015,2019-01-29,33.89,34.03,33.995,34.0
1014,2019-01-29,34.035,34.3,34.04,34.3
1013,2019-01-28,33.99,34.05,34.0,34.0
1012,2019-01-28,33.99,34.02,33.995,34.0
1011,2019-01-28,33.98,34.01,33.99,33.995
1010,2019-01-28,33.98,34.01,33.99,33.98
1009,2019-01-28,33.99,34.03,33.99,34.01
1008,2019-01-28,33.995,34.02,34.01,34.0
1007,2019-01-28,34.0,34.01,34.005,34.01
1006,2019-01-28,34.0,34.02,34.01,34.005
1005,2019-01-28,34.0,34.01,34.01,34.0
1004,2019-01-28,34.0,34.01,34.005,34.01
1003,2019-01-28,33.99,34.01,34.005,34.01
1002,2019-01-28,34.0,34.07,34.005,34.05
1001,2019-01-28,34.035,34.09,34.05,34.08
1000,2019-01-28,34.06,34.1,34.085,34.06
999,2019-01-28,34.04,34.065,34.06,34.04
998,2019-01-28,34.01,34.045,34.045,34.04
997,2019-01-28,34.02,34.05,34.045,34.02
996,2019-01-28,34.01,34.04,34.03,34.035
995,2019-01-28,34.0,34.045,34.035,34.0434
994,2019-01-28,34.035,34.075,34.045,34.07
993,2019-01-28,34.07,34.105,34.07,34.075
992,2019-01-28,34.06,34.1,34.08,34.1
991,2019-01-28,34.1,34.145,34.1,34.14
990,2019-01-28,34.125,34.17,34.15,34.14
989,2019-01-28,34.13,34.185,34.13,34.15
988,2019-01-28,34.13,34.18,34.15,34.13
987,2019-01-28,34.12,34.16,34.125,34.13
986,2019-01-28,34.11,34.165,34.13,34.165
985,2019-01-28,34.155,34.2,34.16,34.19
984,2019-01-28,34.16,34.19,34.185,34.185
983,2019-01-28,34.1268,34.23,34.19,34.1268
982,2019-01-28,34.08,34.14,34.13,34.08
981,2019-01-28,34.065,34.11,34.07,34.07
980,2019-01-28,34.0,34.07,34.07,34.0
979,2019-01-28,33.995,34.02,34.01,33.995
978,2019-01-28,33.995,34.04,33.995,34.04
977,2019-01-28,34.05,34.09,34.06,34.09
976,2019-01-28,34.09,34.14,34.09,34.115
975,2019-01-28,34.11,34.125,34.115,34.125
974,2019-01-28,34.1123,34.145,34.125,34.125
973,2019-01-28,34.085,34.14,34.13,34.105
972,2019-01-28,34.09,34.155,34.11,34.15
971,2019-01-28,34.125,34.155,34.145,34.15
970,2019-01-28,34.12,34.16,34.15,34.125
969,2019-01-28,34.11,34.17,34.12,34.16
968,2019-01-28,34.05,34.155,34.155,34.05
967,2019-01-28,33.99,34.04,34.04,33.995
966,2019-01-28,33.95,34.1,34.0,34.085
965,2019-01-28,34.05,34.13,34.085,34.065
964,2019-01-28,34.04,34.08,34.065,34.045
963,2019-01-28,34.0,34.045,34.045,34.01
962,2019-01-28,34.01,34.04,34.02,34.03
961,2019-01-28,34.01,34.085,34.025,34.085
960,2019-01-28,34.02,34.105,34.075,34.02
959,2019-01-28,34.01,34.08,34.015,34.03
958,2019-01-28,34.0,34.04,34.02,34.015
957,2019-01-28,34.0,34.045,34.01,34.01
956,2019-01-28,33.95,34.015,34.01,33.99
