,Date,Low,High,Close,Open
1108,2019-01-30,9.405,9.42,9.405,9.42
1107,2019-01-30,9.42,9.46,9.42,9.46
1106,2019-01-30,9.44,9.46,9.46,9.44
1105,2019-01-30,9.44,9.465,9.44,9.465
1104,2019-01-30,9.46,9.49,9.46,9.49
1103,2019-01-30,9.475,9.49,9.49,9.48
1102,2019-01-30,9.41,9.47,9.46,9.42
1101,2019-01-30,9.39,9.42,9.41,9.42
1100,2019-01-30,9.43,9.4537,9.43,9.43
1099,2019-01-30,9.39,9.45,9.445,9.45
1098,2019-01-30,9.46,9.48,9.46,9.48
1097,2019-01-30,9.47,9.5,9.5,9.47
1096,2019-01-30,9.47,9.51,9.5,9.47
1095,2019-01-30,9.445,9.47,9.47,9.46
1094,2019-01-30,9.46,9.545,9.46,9.515
1093,2019-01-30,9.505,9.6,9.5363,9.51
1092,2019-01-30,9.52,9.54,9.525,9.53
1091,2019-01-29,9.38,9.4,9.39,9.4
1090,2019-01-29,9.39,9.4,9.4,9.4
1089,2019-01-29,9.41,9.44,9.41,9.44
1088,2019-01-29,9.435,9.44,9.44,9.4375
1087,2019-01-29,9.43,9.445,9.435,9.445
1086,2019-01-29,9.42,9.44,9.44,9.42
1085,2019-01-29,9.41,9.43,9.415,9.41
1084,2019-01-29,9.3836,9.41,9.41,9.3836
1083,2019-01-29,9.37,9.38,9.38,9.37
1082,2019-01-29,9.37,9.4,9.37,9.39
1081,2019-01-29,9.39,9.4,9.395,9.395
1080,2019-01-29,9.39,9.41,9.395,9.41
1079,2019-01-29,9.4,9.42,9.405,9.405
1078,2019-01-29,9.405,9.41,9.41,9.41
1077,2019-01-29,9.41,9.435,9.41,9.435
1076,2019-01-29,9.435,9.445,9.435,9.445
1075,2019-01-29,9.42,9.43,9.43,9.4293
1074,2019-01-29,9.42,9.43,9.425,9.42
1073,2019-01-29,9.42,9.42,9.42,9.42
1072,2019-01-29,9.42,9.44,9.42,9.44
1071,2019-01-29,9.43,9.44,9.435,9.435
1070,2019-01-29,9.43,9.435,9.435,9.43
1069,2019-01-29,9.43,9.44,9.435,9.44
1068,2019-01-29,9.43,9.44,9.43,9.435
1067,2019-01-29,9.43,9.44,9.44,9.44
1066,2019-01-29,9.44,9.46,9.44,9.46
1065,2019-01-29,9.44,9.465,9.465,9.44
1064,2019-01-29,9.435,9.45,9.44,9.44
1063,2019-01-29,9.41,9.425,9.425,9.41
1062,2019-01-29,9.4,9.42,9.4155,9.4
1061,2019-01-29,9.38,9.39,9.38,9.38
1060,2019-01-29,9.38,9.3808,9.38,9.3808
1059,2019-01-29,9.38,9.39,9.38,9.38
1058,2019-01-29,9.37,9.38,9.375,9.38
1057,2019-01-29,9.37,9.38,9.38,9.37
1056,2019-01-29,9.36,9.37,9.37,9.36
