,Date,Low,High,Close,Open
1109,2019-01-30,59.68,59.745,59.68,59.73
1108,2019-01-30,59.6356,59.765,59.69,59.76
1107,2019-01-30,59.75,59.84,59.765,59.835
1106,2019-01-30,59.7,59.84,59.83,59.75
1105,2019-01-30,59.67,59.805,59.73,59.77
1104,2019-01-30,59.74,59.76,59.75,59.74
1103,2019-01-30,59.59,59.75,59.75,59.59
1102,2019-01-30,59.48,59.6,59.595,59.49
1101,2019-01-30,59.4,59.53,59.44,59.53
1100,2019-01-30,59.45,59.575,59.56,59.45
1099,2019-01-30,59.365,59.42,59.41,59.365
1098,2019-01-30,59.33,59.43,59.36,59.41
1097,2019-01-30,59.35,59.39,59.38,59.35
1096,2019-01-30,59.365,59.45,59.365,59.41
1095,2019-01-30,59.43,59.585,59.43,59.585
1094,2019-01-30,59.47,59.68,59.47,59.68
1093,2019-01-30,59.53,59.66,59.64,59.63
1092,2019-01-30,59.745,59.95,59.745,59.82
1091,2019-01-29,59.92,59.97,59.965,59.96
1090,2019-01-29,59.88,59.95,59.95,59.9
1089,2019-01-29,59.89,59.98,59.905,59.98
1088,2019-01-29,59.92,60.0,59.97,59.935
1087,2019-01-29,59.895,59.96,59.93,59.96
1086,2019-01-29,59.92,59.98,59.97,59.92
1085,2019-01-29,59.845,59.91,59.91,59.845
1084,2019-01-29,59.795,59.86,59.83,59.81
1083,2019-01-29,59.795,59.84,59.815,59.84
1082,2019-01-29,59.85,59.86,59.85,59.85
1081,2019-01-29,59.83,59.86,59.85,59.86
1080,2019-01-29,59.79,59.8575,59.8575,59.81
1079,2019-01-29,59.79,59.82,59.81,59.82
1078,2019-01-29,59.81,59.84,59.82,59.82
1077,2019-01-29,59.79,59.865,59.8,59.865
1076,2019-01-29,59.82,59.9,59.86,59.87
1075,2019-01-29,59.86,59.96,59.87,59.95
1074,2019-01-29,59.9,59.96,59.95,59.92
1073,2019-01-29,59.9,59.99,59.92,59.99
1072,2019-01-29,59.87,60.0,59.99,59.95
1071,2019-01-29,59.92,60.0,59.93,59.97
1070,2019-01-29,59.94,59.99,59.965,59.99
1069,2019-01-29,59.97,60.04,60.0,60.02
1068,2019-01-29,59.98,60.02,60.02,60.01
1067,2019-01-29,59.97,60.035,60.035,59.97
1066,2019-01-29,59.98,60.09,59.98,60.0675
1065,2019-01-29,60.05,60.09,60.06,60.09
1064,2019-01-29,59.97,60.07,60.06,59.99
1063,2019-01-29,59.975,60.0,59.9975,59.975
1062,2019-01-29,59.995,60.04,59.995,60.04
1061,2019-01-29,60.01,60.04,60.02,60.01
1060,2019-01-29,59.99,60.0181,60.01,60.0
1059,2019-01-29,59.945,60.01,59.99,59.945
1058,2019-01-29,59.93,59.97,59.94,59.97
1057,2019-01-29,59.94,59.98,59.95,59.96
1056,2019-01-29,59.97,60.01,59.98,60.01
1055,2019-01-29,60.03,60.06,60.03,60.06
