,Date,Low,High,Close,Open
346,2019-01-30,2.1545,2.2,2.1545,2.2
345,2019-01-30,2.13,2.13,2.13,2.13
344,2019-01-30,2.25,2.26,2.25,2.26
343,2019-01-30,2.1117,2.22,2.1117,2.22
342,2019-01-30,2.16,2.16,2.16,2.16
341,2019-01-30,2.096,2.096,2.096,2.096
340,2019-01-30,2.0535,2.0808,2.0808,2.0535
339,2019-01-29,2.2,2.2,2.2,2.2
338,2019-01-29,2.1612,2.1612,2.1612,2.1612
337,2019-01-29,2.2,2.26,2.2,2.26
336,2019-01-29,2.2928,2.2928,2.2928,2.2928
335,2019-01-29,2.22,2.26,2.22,2.22
334,2019-01-29,2.26,2.2713,2.26,2.2713
333,2019-01-29,2.2708,2.2708,2.2708,2.2708
332,2019-01-29,2.2989,2.2989,2.2989,2.2989
331,2019-01-29,2.2713,2.295,2.2713,2.295
330,2019-01-29,2.2946,2.2989,2.2989,2.2946
329,2019-01-29,2.35,2.35,2.35,2.35
328,2019-01-29,2.3,2.3,2.3,2.3
327,2019-01-29,2.349,2.349,2.349,2.349
326,2019-01-29,2.3,2.3,2.3,2.3
325,2019-01-29,2.35,2.35,2.35,2.35
324,2019-01-29,2.35,2.35,2.35,2.35
323,2019-01-29,2.34,2.34,2.34,2.34
322,2019-01-29,2.305,2.305,2.305,2.305
321,2019-01-29,2.35,2.3911,2.35,2.3911
320,2019-01-29,2.3601,2.38,2.3601,2.38
319,2019-01-29,2.3799,2.41,2.41,2.41
318,2019-01-29,2.35,2.35,2.35,2.35
317,2019-01-29,2.31,2.31,2.31,2.31
316,2019-01-29,2.2605,2.2605,2.2605,2.2605
315,2019-01-29,2.3,2.3,2.3,2.3
314,2019-01-29,2.2101,2.3184,2.3184,2.243
313,2019-01-29,2.35,2.35,2.35,2.35
312,2019-01-29,2.35,2.355,2.35,2.355
311,2019-01-29,2.45,2.47,2.45,2.47
310,2019-01-29,2.48,2.48,2.48,2.48
309,2019-01-29,2.3555,2.41,2.41,2.3555
308,2019-01-29,2.365,2.365,2.365,2.365
307,2019-01-29,2.35,2.35,2.35,2.35
306,2019-01-29,2.33,2.36,2.3417,2.36
305,2019-01-28,2.41,2.5638,2.43,2.5
304,2019-01-28,2.49,2.57,2.49,2.57
303,2019-01-28,2.49,2.495,2.49,2.495
302,2019-01-28,2.5,2.5,2.5,2.5
301,2019-01-28,2.5,2.5274,2.5,2.5274
300,2019-01-28,2.51,2.5224,2.5224,2.51
299,2019-01-28,2.51,2.51,2.51,2.51
298,2019-01-28,2.5139,2.55,2.5139,2.55
297,2019-01-28,2.492,2.492,2.492,2.492
296,2019-01-28,2.5258,2.5258,2.5258,2.5258
295,2019-01-28,2.471,2.4824,2.471,2.4824
294,2019-01-28,2.51,2.51,2.51,2.51
293,2019-01-28,2.582,2.582,2.582,2.582
292,2019-01-28,2.51,2.5496,2.51,2.5496
291,2019-01-28,2.5883,2.5883,2.5883,2.5883
290,2019-01-28,2.5125,2.5125,2.5125,2.5125
289,2019-01-28,2.5001,2.57,2.5001,2.5004
288,2019-01-28,2.5219,2.5219,2.5219,2.5219
287,2019-01-28,2.5,2.5776,2.5776,2.5
286,2019-01-28,2.6,2.6675,2.6,2.6
285,2019-01-28,2.42,2.48,2.48,2.4321
284,2019-01-28,2.43,2.54,2.43,2.4901
283,2019-01-28,2.48,2.6246,2.48,2.6246
282,2019-01-28,2.601,2.62,2.601,2.62
281,2019-01-28,2.6406,2.6406,2.6406,2.6406
280,2019-01-28,2.6553,2.6553,2.6553,2.6553
279,2019-01-28,2.5852,2.687,2.687,2.5852
278,2019-01-28,2.6025,2.64,2.64,2.6025
277,2019-01-28,2.685,2.719,2.719,2.685
276,2019-01-28,2.6869,2.7219,2.72,2.6869
275,2019-01-28,2.67,2.73,2.67,2.73
274,2019-01-28,2.6705,2.7,2.6705,2.7
273,2019-01-28,2.608,2.8827,2.608,2.8827
272,2019-01-28,2.96,2.96,2.96,2.96
271,2019-01-28,2.86,2.96,2.88,2.95
270,2019-01-28,2.8,3.005,3.005,2.8
269,2019-01-28,2.77,2.778,2.77,2.778
268,2019-01-28,2.67,2.67,2.67,2.67
267,2019-01-28,2.72,2.74,2.74,2.74
266,2019-01-28,2.72,2.72,2.72,2.72
265,2019-01-28,2.69,2.779,2.7611,2.69
264,2019-01-28,2.73,2.731,2.73,2.731
263,2019-01-28,2.69,2.71,2.69,2.71
262,2019-01-28,2.66,2.72,2.7054,2.71
261,2019-01-28,2.76,2.8821,2.77,2.76
260,2019-01-28,2.768,2.885,2.867,2.768
259,2019-01-28,2.64,2.8,2.8,2.79
