,Date,Low,High,Close,Open
1109,2019-01-30,27.13,27.16,27.155,27.16
1108,2019-01-30,27.12,27.16,27.15,27.15
1107,2019-01-30,27.115,27.16,27.16,27.14
1106,2019-01-30,27.11,27.16,27.13,27.16
1105,2019-01-30,27.1,27.17,27.16,27.17
1104,2019-01-30,27.13,27.2,27.16,27.13
1103,2019-01-30,27.12,27.15,27.135,27.14
1102,2019-01-30,27.13,27.2,27.13,27.19
1101,2019-01-30,27.16,27.21,27.2,27.21
1100,2019-01-30,27.215,27.3,27.215,27.285
1099,2019-01-30,27.28,27.315,27.29,27.29
1098,2019-01-30,27.28,27.32,27.28,27.32
1097,2019-01-30,27.2842,27.33,27.33,27.33
1096,2019-01-30,27.28,27.34,27.34,27.32
1095,2019-01-30,27.32,27.38,27.33,27.35
1094,2019-01-30,27.31,27.35,27.32,27.34
1093,2019-01-30,27.22,27.35,27.35,27.26
1092,2019-01-30,27.175,27.36,27.26,27.36
1091,2019-01-29,27.41,27.48,27.42,27.45
1090,2019-01-29,27.4,27.44,27.44,27.41
1089,2019-01-29,27.41,27.44,27.41,27.44
1088,2019-01-29,27.43,27.455,27.435,27.45
1087,2019-01-29,27.43,27.46,27.45,27.455
1086,2019-01-29,27.45,27.52,27.455,27.515
1085,2019-01-29,27.51,27.53,27.51,27.525
1084,2019-01-29,27.5,27.53,27.52,27.5
1083,2019-01-29,27.48,27.5,27.5,27.48
1082,2019-01-29,27.475,27.49,27.48,27.48
1081,2019-01-29,27.455,27.5,27.48,27.455
1080,2019-01-29,27.455,27.48,27.455,27.48
1079,2019-01-29,27.48,27.495,27.48,27.495
1078,2019-01-29,27.48,27.505,27.495,27.48
1077,2019-01-29,27.47,27.515,27.475,27.5
1076,2019-01-29,27.5,27.53,27.5,27.51
1075,2019-01-29,27.51,27.53,27.51,27.525
1074,2019-01-29,27.515,27.53,27.525,27.515
1073,2019-01-29,27.5,27.515,27.515,27.51
1072,2019-01-29,27.49,27.51,27.505,27.505
1071,2019-01-29,27.495,27.525,27.505,27.525
1070,2019-01-29,27.5,27.525,27.525,27.51
1069,2019-01-29,27.52,27.55,27.52,27.55
1068,2019-01-29,27.53,27.56,27.54,27.56
1067,2019-01-29,27.53,27.57,27.57,27.53
1066,2019-01-29,27.52,27.55,27.53,27.545
1065,2019-01-29,27.55,27.57,27.55,27.55
1064,2019-01-29,27.53,27.55,27.55,27.53
1063,2019-01-29,27.5,27.53,27.53,27.51
1062,2019-01-29,27.52,27.56,27.52,27.56
1061,2019-01-29,27.54,27.56,27.555,27.55
1060,2019-01-29,27.54,27.57,27.555,27.56
1059,2019-01-29,27.525,27.56,27.56,27.525
