,Date,Low,High,Close,Open
1107,2019-01-30,1.03,1.035,1.03,1.035
1106,2019-01-30,1.03,1.0399,1.03,1.03
1105,2019-01-30,1.03,1.03,1.03,1.03
1104,2019-01-30,1.03,1.035,1.035,1.03
1103,2019-01-30,1.0292,1.0315,1.0315,1.03
1102,2019-01-30,1.025,1.0299,1.0299,1.025
1101,2019-01-30,1.0249,1.03,1.0249,1.0285
1100,2019-01-30,1.02,1.03,1.03,1.02
1099,2019-01-30,1.02,1.025,1.02,1.025
1098,2019-01-30,1.02,1.0289,1.025,1.0289
1097,2019-01-30,1.02,1.03,1.02,1.02
1096,2019-01-30,1.02,1.03,1.03,1.03
1095,2019-01-30,1.0215,1.03,1.0285,1.03
1094,2019-01-30,1.0201,1.025,1.0201,1.025
1093,2019-01-30,1.0249,1.03,1.0285,1.0299
1092,2019-01-30,1.0285,1.03,1.0285,1.03
1091,2019-01-29,1.025,1.033,1.025,1.03
1090,2019-01-29,1.03,1.035,1.03,1.035
1089,2019-01-29,1.03,1.0385,1.03,1.03
1088,2019-01-29,1.03,1.03,1.03,1.03
1087,2019-01-29,1.03,1.035,1.035,1.03
1086,2019-01-29,1.03,1.0399,1.03,1.0377
1085,2019-01-29,1.03,1.04,1.03,1.03
1084,2019-01-29,1.03,1.0369,1.03,1.035
1083,2019-01-29,1.0348,1.04,1.04,1.0399
1082,2019-01-29,1.03,1.037,1.03,1.037
1081,2019-01-29,1.03,1.0385,1.035,1.03
1080,2019-01-29,1.035,1.035,1.035,1.035
1079,2019-01-29,1.03,1.0301,1.03,1.03
1078,2019-01-29,1.03,1.03,1.03,1.03
1077,2019-01-29,1.03,1.0399,1.0392,1.03
1076,2019-01-29,1.03,1.04,1.03,1.035
1075,2019-01-29,1.03,1.0327,1.03,1.0327
1074,2019-01-29,1.03,1.03,1.03,1.03
1073,2019-01-29,1.03,1.0332,1.0332,1.03
1072,2019-01-29,1.03,1.0368,1.03,1.035
1071,2019-01-29,1.03,1.0397,1.0385,1.0397
1070,2019-01-29,1.03,1.04,1.0331,1.03
1069,2019-01-29,1.0308,1.04,1.04,1.0308
1068,2019-01-29,1.03,1.035,1.03,1.035
1067,2019-01-29,1.03,1.04,1.04,1.03
1066,2019-01-29,1.035,1.04,1.035,1.04
1065,2019-01-29,1.03,1.035,1.03,1.035
1064,2019-01-29,1.03,1.03,1.03,1.03
1063,2019-01-29,1.035,1.039,1.039,1.035
1062,2019-01-29,1.03,1.04,1.0352,1.03
1061,2019-01-29,1.03,1.035,1.03,1.035
1060,2019-01-29,1.03,1.03,1.03,1.03
1059,2019-01-29,1.03,1.036,1.036,1.031
1058,2019-01-29,1.03,1.0399,1.0399,1.03
1057,2019-01-29,1.03,1.0385,1.03,1.0385
1056,2019-01-29,1.03,1.04,1.03,1.04
1055,2019-01-29,1.0415,1.045,1.045,1.0415
1054,2019-01-29,1.04,1.045,1.04,1.045
