,Date,Low,High,Close,Open
1106,2019-01-30,68.76,68.9,68.895,68.7825
1105,2019-01-30,68.76,68.85,68.79,68.85
1104,2019-01-30,68.82,68.93,68.84,68.925
1103,2019-01-30,68.86,68.9934,68.92,68.95
1102,2019-01-30,68.76,68.97,68.93,68.76
1101,2019-01-30,68.73,68.94,68.78,68.92
1100,2019-01-30,68.9285,68.97,68.94,68.93
1099,2019-01-30,68.88,68.9773,68.9442,68.91
1098,2019-01-30,68.89,69.16,68.9,69.15
1097,2019-01-30,69.14,69.2,69.15,69.19
1096,2019-01-30,69.14,69.31,69.17,69.17
1095,2019-01-30,69.21,69.38,69.21,69.32
1094,2019-01-30,69.35,69.59,69.37,69.55
1093,2019-01-30,69.46,69.74,69.57,69.48
1092,2019-01-30,69.455,69.85,69.555,69.455
1091,2019-01-29,69.45,69.6,69.56,69.53
1090,2019-01-29,69.38,69.52,69.52,69.425
1089,2019-01-29,69.4,69.64,69.43,69.62
1088,2019-01-29,69.565,69.65,69.62,69.59
1087,2019-01-29,69.57,69.64,69.585,69.63
1086,2019-01-29,69.63,69.78,69.65,69.765
1085,2019-01-29,69.72,69.76,69.76,69.76
1084,2019-01-29,69.73,69.8,69.75,69.77
1083,2019-01-29,69.76,69.82,69.76,69.78
1082,2019-01-29,69.75,69.7901,69.775,69.75
1081,2019-01-29,69.705,69.77,69.74,69.705
1080,2019-01-29,69.66,69.71,69.71,69.67
1079,2019-01-29,69.66,69.7,69.68,69.68
1078,2019-01-29,69.69,69.74,69.71,69.72
1077,2019-01-29,69.65,69.75,69.71,69.72
1076,2019-01-29,69.64,69.72,69.71,69.7
1075,2019-01-29,69.67,69.78,69.7,69.78
1074,2019-01-29,69.75,69.78,69.78,69.7501
1073,2019-01-29,69.72,69.79,69.74,69.74
1072,2019-01-29,69.73,69.785,69.75,69.78
1071,2019-01-29,69.73,69.8,69.76,69.79
1070,2019-01-29,69.765,69.7987,69.79,69.77
1069,2019-01-29,69.72,69.78,69.751,69.78
1068,2019-01-29,69.78,69.86,69.78,69.86
1067,2019-01-29,69.86,69.905,69.87,69.89
1066,2019-01-29,69.86,69.945,69.9,69.86
1065,2019-01-29,69.86,69.95,69.86,69.92
1064,2019-01-29,69.84,69.9311,69.9311,69.89
1063,2019-01-29,69.85,69.9,69.89,69.85
1062,2019-01-29,69.84,69.94,69.85,69.89
1061,2019-01-29,69.8,69.88,69.88,69.82
