,Date,Low,High,Close,Open
1109,2019-01-30,4.88,4.91,4.8863,4.9
1108,2019-01-30,4.9,4.91,4.91,4.9
1107,2019-01-30,4.9,4.91,4.905,4.9
1106,2019-01-30,4.905,4.91,4.905,4.905
1105,2019-01-30,4.9,4.91,4.91,4.905
1104,2019-01-30,4.9,4.92,4.905,4.92
1103,2019-01-30,4.89,4.925,4.9201,4.91
1102,2019-01-30,4.9,4.91,4.9077,4.9
1101,2019-01-30,4.89,4.9078,4.9,4.905
1100,2019-01-30,4.885,4.91,4.91,4.885
1099,2019-01-30,4.87,4.89,4.875,4.87
1098,2019-01-30,4.865,4.915,4.8699,4.915
1097,2019-01-30,4.88,4.915,4.915,4.895
1096,2019-01-30,4.89,4.925,4.91,4.91
1095,2019-01-30,4.89,4.96,4.9099,4.96
1094,2019-01-30,4.955,5.0001,4.955,5.0
1093,2019-01-30,4.97,5.0,5.0,4.97
1092,2019-01-30,4.9315,5.0,4.96,4.94
1091,2019-01-29,4.81,4.83,4.83,4.815
1090,2019-01-29,4.8,4.83,4.815,4.83
1089,2019-01-29,4.82,4.83,4.82,4.82
1088,2019-01-29,4.82,4.83,4.82,4.825
1087,2019-01-29,4.825,4.83,4.83,4.825
1086,2019-01-29,4.82,4.825,4.825,4.8201
1085,2019-01-29,4.83,4.84,4.83,4.84
1084,2019-01-29,4.84,4.8469,4.84,4.84
1083,2019-01-29,4.8348,4.85,4.845,4.8348
1082,2019-01-29,4.83,4.83,4.83,4.83
1081,2019-01-29,4.83,4.84,4.835,4.83
1080,2019-01-29,4.83,4.835,4.835,4.83
1079,2019-01-29,4.84,4.8575,4.84,4.855
1078,2019-01-29,4.85,4.86,4.86,4.855
1077,2019-01-29,4.85,4.86,4.85,4.855
1076,2019-01-29,4.85,4.87,4.85,4.87
1075,2019-01-29,4.86,4.8675,4.8675,4.865
1074,2019-01-29,4.865,4.87,4.865,4.87
1073,2019-01-29,4.85,4.865,4.865,4.85
1072,2019-01-29,4.855,4.86,4.8599,4.855
1071,2019-01-29,4.85,4.865,4.85,4.86
1070,2019-01-29,4.86,4.875,4.86,4.875
1069,2019-01-29,4.8699,4.87,4.87,4.87
1068,2019-01-29,4.86,4.87,4.87,4.86
1067,2019-01-29,4.85,4.855,4.85,4.8502
1066,2019-01-29,4.86,4.86,4.86,4.86
1065,2019-01-29,4.86,4.8675,4.8675,4.86
1064,2019-01-29,4.86,4.88,4.86,4.87
1063,2019-01-29,4.87,4.88,4.87,4.88
1062,2019-01-29,4.865,4.88,4.88,4.865
1061,2019-01-29,4.845,4.87,4.865,4.845
1060,2019-01-29,4.8496,4.85,4.8496,4.85
1059,2019-01-29,4.82,4.865,4.85,4.82
1058,2019-01-29,4.825,4.83,4.825,4.825
1057,2019-01-29,4.81,4.82,4.82,4.81
1056,2019-01-29,4.81,4.82,4.81,4.81
1055,2019-01-29,4.815,4.825,4.815,4.825
1054,2019-01-29,4.82,4.83,4.82,4.825
1053,2019-01-29,4.82,4.83,4.83,4.825
1052,2019-01-29,4.81,4.825,4.825,4.81
1051,2019-01-29,4.81,4.82,4.81,4.82
1050,2019-01-29,4.815,4.82,4.815,4.82
1049,2019-01-29,4.815,4.825,4.815,4.815
1048,2019-01-29,4.815,4.855,4.815,4.85
1047,2019-01-29,4.85,4.87,4.85,4.8675
1046,2019-01-29,4.8615,4.87,4.865,4.865
1045,2019-01-29,4.855,4.87,4.87,4.855
1044,2019-01-29,4.85,4.86,4.855,4.85
1043,2019-01-29,4.85,4.86,4.86,4.86
1042,2019-01-29,4.85,4.87,4.855,4.87
1041,2019-01-29,4.865,4.87,4.8662,4.865
1040,2019-01-29,4.86,4.87,4.87,4.87
1039,2019-01-29,4.86,4.87,4.87,4.86
1038,2019-01-29,4.86,4.87,4.87,4.865
1037,2019-01-29,4.845,4.87,4.85,4.845
1036,2019-01-29,4.85,4.86,4.85,4.86
1035,2019-01-29,4.855,4.865,4.86,4.855
1034,2019-01-29,4.84,4.855,4.855,4.8402
1033,2019-01-29,4.83,4.85,4.84,4.83
1032,2019-01-29,4.83,4.84,4.83,4.84
1031,2019-01-29,4.85,4.87,4.85,4.87
1030,2019-01-29,4.85,4.87,4.86,4.87
1029,2019-01-29,4.875,4.89,4.88,4.89
1028,2019-01-29,4.87,4.88,4.88,4.87
1027,2019-01-29,4.8791,4.8975,4.88,4.89
1026,2019-01-29,4.875,4.895,4.895,4.875
1025,2019-01-29,4.87,4.88,4.875,4.87
1024,2019-01-29,4.87,4.89,4.87,4.89
1023,2019-01-29,4.88,4.9,4.89,4.9
1022,2019-01-29,4.9,4.915,4.91,4.91
1021,2019-01-29,4.92,4.935,4.92,4.93
1020,2019-01-29,4.935,4.94,4.94,4.935
1019,2019-01-29,4.92,4.94,4.92,4.94
1018,2019-01-29,4.93,4.94,4.94,4.93
1017,2019-01-29,4.9,4.925,4.925,4.9
1016,2019-01-29,4.86,4.88,4.88,4.87
1015,2019-01-29,4.87,4.9,4.87,4.9
1014,2019-01-29,4.88,4.9,4.9,4.88
1013,2019-01-28,4.885,4.9,4.895,4.885
1012,2019-01-28,4.8785,4.895,4.89,4.8785
1011,2019-01-28,4.87,4.91,4.875,4.91
1010,2019-01-28,4.9,4.915,4.905,4.915
1009,2019-01-28,4.91,4.92,4.92,4.92
1008,2019-01-28,4.9,4.915,4.915,4.9015
1007,2019-01-28,4.905,4.915,4.905,4.915
1006,2019-01-28,4.905,4.91,4.91,4.905
1005,2019-01-28,4.9,4.92,4.905,4.92
1004,2019-01-28,4.91,4.93,4.92,4.91
1003,2019-01-28,4.911,4.92,4.911,4.92
1002,2019-01-28,4.92,4.925,4.92,4.92
1001,2019-01-28,4.92,4.94,4.92,4.94
1000,2019-01-28,4.93,4.95,4.935,4.95
999,2019-01-28,4.93,4.94,4.93,4.94
998,2019-01-28,4.92,4.94,4.94,4.92
997,2019-01-28,4.92,4.925,4.92,4.925
996,2019-01-28,4.92,4.93,4.93,4.92
995,2019-01-28,4.92,4.93,4.92,4.93
994,2019-01-28,4.925,4.94,4.935,4.925
993,2019-01-28,4.92,4.93,4.925,4.93
992,2019-01-28,4.92,4.93,4.93,4.92
991,2019-01-28,4.92,4.925,4.92,4.92
990,2019-01-28,4.9285,4.94,4.9285,4.94
989,2019-01-28,4.93,4.94,4.93,4.93
988,2019-01-28,4.93,4.94,4.93,4.94
987,2019-01-28,4.93,4.94,4.94,4.93
986,2019-01-28,4.9201,4.94,4.9201,4.94
985,2019-01-28,4.93,4.95,4.94,4.95
984,2019-01-28,4.9415,4.95,4.95,4.95
983,2019-01-28,4.94,4.95,4.95,4.95
982,2019-01-28,4.94,4.95,4.95,4.95
981,2019-01-28,4.95,4.95,4.95,4.95
980,2019-01-28,4.945,4.95,4.945,4.945
979,2019-01-28,4.9415,4.95,4.95,4.945
978,2019-01-28,4.94,4.945,4.945,4.945
977,2019-01-28,4.945,4.95,4.945,4.95
976,2019-01-28,4.945,4.95,4.95,4.945
975,2019-01-28,4.945,4.95,4.95,4.945
974,2019-01-28,4.945,4.97,4.95,4.97
973,2019-01-28,4.96,4.97,4.965,4.97
972,2019-01-28,4.98,4.995,4.98,4.995
971,2019-01-28,4.97,4.99,4.985,4.97
970,2019-01-28,4.955,4.96,4.96,4.9599
969,2019-01-28,4.955,4.96,4.96,4.955
968,2019-01-28,4.94,4.9599,4.955,4.94
967,2019-01-28,4.92,4.94,4.94,4.92
966,2019-01-28,4.905,4.935,4.905,4.92
965,2019-01-28,4.91,4.92,4.915,4.91
964,2019-01-28,4.905,4.92,4.905,4.91
963,2019-01-28,4.905,4.92,4.91,4.91
962,2019-01-28,4.9,4.92,4.915,4.91
961,2019-01-28,4.905,4.91,4.91,4.91
960,2019-01-28,4.915,4.92,4.92,4.9199
959,2019-01-28,4.915,4.92,4.92,4.915
958,2019-01-28,4.915,4.9185,4.9185,4.915
957,2019-01-28,4.915,4.94,4.915,4.94
956,2019-01-28,4.92,4.93,4.93,4.92
955,2019-01-28,4.91,4.93,4.915,4.92
954,2019-01-28,4.91,4.915,4.91,4.915
953,2019-01-28,4.92,4.93,4.92,4.925
952,2019-01-28,4.91,4.925,4.925,4.92
951,2019-01-28,4.92,4.94,4.92,4.94
950,2019-01-28,4.935,4.94,4.94,4.935
949,2019-01-28,4.92,4.94,4.93,4.93
948,2019-01-28,4.94,4.9401,4.94,4.94
947,2019-01-28,4.92,4.95,4.935,4.95
946,2019-01-28,4.9332,4.95,4.95,4.9332
945,2019-01-28,4.91,4.94,4.94,4.915
944,2019-01-28,4.91,4.93,4.91,4.93
943,2019-01-28,4.9,4.94,4.94,4.9
942,2019-01-28,4.9,4.91,4.9,4.91
941,2019-01-28,4.89,4.9099,4.9099,4.89
940,2019-01-28,4.9,4.915,4.9028,4.91
939,2019-01-28,4.92,4.93,4.92,4.93
938,2019-01-28,4.885,4.92,4.9185,4.885
937,2019-01-28,4.84,4.9,4.9,4.87
936,2019-01-28,4.85,4.8901,4.88,4.85
935,2019-01-25,4.92,4.93,4.93,4.93
934,2019-01-25,4.92,4.93,4.93,4.925
933,2019-01-25,4.92,4.93,4.92,4.92
932,2019-01-25,4.92,4.92,4.92,4.92
931,2019-01-25,4.915,4.93,4.92,4.915
930,2019-01-25,4.9101,4.98,4.9101,4.98
929,2019-01-25,4.98,4.98,4.98,4.98
928,2019-01-25,4.975,4.98,4.98,4.98
927,2019-01-25,4.9736,4.98,4.9736,4.98
926,2019-01-25,4.97,4.98,4.98,4.98
925,2019-01-25,4.975,4.98,4.975,4.98
924,2019-01-25,4.975,4.985,4.985,4.9838
923,2019-01-25,4.98,4.99,4.99,4.99
922,2019-01-25,4.9833,5.0,4.99,4.9833
921,2019-01-25,4.9815,4.995,4.99,4.995
920,2019-01-25,4.98,5.0,4.99,4.99
919,2019-01-25,4.97,4.99,4.985,4.97
918,2019-01-25,4.97,4.97,4.97,4.97
917,2019-01-25,4.95,4.99,4.97,4.99
916,2019-01-25,5.0,5.02,5.0,5.02
915,2019-01-25,5.02,5.03,5.0215,5.02
914,2019-01-25,5.01,5.04,5.015,5.0399
913,2019-01-25,5.04,5.045,5.04,5.04
912,2019-01-25,5.03,5.04,5.04,5.03
911,2019-01-25,5.03,5.03,5.03,5.03
910,2019-01-25,5.02,5.03,5.03,5.02
909,2019-01-25,5.0,5.015,5.015,5.01
908,2019-01-25,5.0,5.01,5.01,5.0
907,2019-01-25,4.9985,5.0,5.0,5.0
906,2019-01-25,5.0,5.035,5.01,5.0
905,2019-01-25,4.9901,5.0,5.0,5.0
904,2019-01-25,4.99,5.0,5.0,4.99
903,2019-01-25,4.9815,4.99,4.99,4.99
902,2019-01-25,4.98,5.0,5.0,5.0
901,2019-01-25,5.0,5.0,5.0,5.0
900,2019-01-25,4.9923,5.0,5.0,4.995
899,2019-01-25,4.99,5.0,5.0,4.99
898,2019-01-25,4.99,5.0,5.0,4.99
897,2019-01-25,4.98,4.99,4.98,4.9899
896,2019-01-25,4.97,4.995,4.99,4.995
895,2019-01-25,4.9916,5.0,4.995,5.0
894,2019-01-25,4.9885,4.99,4.99,4.9885
893,2019-01-25,4.985,4.99,4.99,4.985
892,2019-01-25,4.99,5.01,4.99,5.01
891,2019-01-25,5.01,5.04,5.01,5.035
