,Date,Low,High,Close,Open
861,2019-01-30,0.8809,0.8865,0.8809,0.8865
860,2019-01-30,0.8876,0.8876,0.8876,0.8876
859,2019-01-30,0.8801,0.8831,0.8801,0.8831
858,2019-01-30,0.88,0.8853,0.8853,0.88
857,2019-01-30,0.8999,0.9057,0.8999,0.9057
856,2019-01-30,0.8802,0.9082,0.8802,0.9082
855,2019-01-30,0.9058,0.9058,0.9058,0.9058
854,2019-01-30,0.9058,0.9097,0.9058,0.9097
853,2019-01-30,0.9,0.9,0.9,0.9
852,2019-01-30,0.9195,0.9196,0.9196,0.9195
851,2019-01-30,0.88,0.88,0.88,0.88
850,2019-01-29,0.9,0.92,0.91,0.9
849,2019-01-29,0.891,0.9199,0.91,0.9051
848,2019-01-29,0.9051,0.9053,0.9051,0.9053
847,2019-01-29,0.9021,0.9021,0.9021,0.9021
846,2019-01-29,0.9021,0.9022,0.9021,0.9022
845,2019-01-29,0.9021,0.9083,0.9083,0.9054
844,2019-01-29,0.909,0.909,0.909,0.909
843,2019-01-29,0.909,0.909,0.909,0.909
842,2019-01-29,0.8962,0.909,0.909,0.8962
841,2019-01-29,0.9096,0.9099,0.9099,0.9096
840,2019-01-29,0.9096,0.9096,0.9096,0.9096
839,2019-01-29,0.9097,0.9097,0.9097,0.9097
838,2019-01-29,0.8915,0.9095,0.8915,0.894
837,2019-01-29,0.894,0.894,0.894,0.894
836,2019-01-29,0.894,0.894,0.894,0.894
835,2019-01-29,0.8949,0.8949,0.8949,0.8949
834,2019-01-29,0.8951,0.8951,0.8951,0.8951
833,2019-01-29,0.8962,0.8975,0.8962,0.8975
832,2019-01-29,0.8985,0.8985,0.8985,0.8985
831,2019-01-29,0.8911,0.9004,0.8911,0.9004
830,2019-01-29,0.9004,0.9004,0.9004,0.9004
829,2019-01-29,0.9004,0.9004,0.9004,0.9004
828,2019-01-29,0.9004,0.9004,0.9004,0.9004
827,2019-01-29,0.9,0.9,0.9,0.9
826,2019-01-29,0.8999,0.8999,0.8999,0.8999
825,2019-01-29,0.891,0.891,0.891,0.891
824,2019-01-29,0.9031,0.9069,0.9031,0.9069
823,2019-01-29,0.9069,0.9069,0.9069,0.9069
822,2019-01-29,0.9069,0.9069,0.9069,0.9069
821,2019-01-29,0.896,0.9103,0.896,0.9103
820,2019-01-29,0.9098,0.9098,0.9098,0.9098
819,2019-01-29,0.9097,0.9099,0.9097,0.9099
818,2019-01-29,0.8827,0.9091,0.9091,0.8827
817,2019-01-29,0.883,0.883,0.883,0.883
816,2019-01-29,0.8833,0.8834,0.8833,0.8834
815,2019-01-29,0.8815,0.8841,0.8841,0.8815
814,2019-01-29,0.8829,0.885,0.8847,0.8829
813,2019-01-29,0.8818,0.8858,0.8858,0.8818
812,2019-01-29,0.8867,0.8867,0.8867,0.8867
811,2019-01-29,0.8877,0.8881,0.8877,0.8881
810,2019-01-29,0.8842,0.8842,0.8842,0.8842
809,2019-01-29,0.8842,0.8842,0.8842,0.8842
808,2019-01-29,0.8801,0.8802,0.8801,0.8802
807,2019-01-29,0.8877,0.8877,0.8877,0.8877
806,2019-01-29,0.8985,0.8985,0.8985,0.8985
805,2019-01-29,0.89,0.8901,0.89,0.8901
804,2019-01-29,0.8998,0.8998,0.8998,0.8998
803,2019-01-29,0.8998,0.8998,0.8998,0.8998
802,2019-01-29,0.8911,0.8911,0.8911,0.8911
801,2019-01-29,0.8994,0.9088,0.9088,0.9088
800,2019-01-29,0.9089,0.9089,0.9089,0.9089
799,2019-01-29,0.89,0.9098,0.89,0.9098
798,2019-01-29,0.9099,0.9099,0.9099,0.9099
797,2019-01-29,0.9099,0.9099,0.9099,0.9099
796,2019-01-29,0.9002,0.9095,0.9002,0.9095
795,2019-01-29,0.8909,0.892,0.892,0.8909
794,2019-01-29,0.8962,0.8962,0.8962,0.8962
793,2019-01-29,0.89,0.89,0.89,0.89
792,2019-01-29,0.9277,0.9277,0.9277,0.9277
791,2019-01-29,0.92,0.92,0.92,0.92
790,2019-01-29,0.92,0.9365,0.92,0.9365
789,2019-01-28,0.9209,0.9293,0.9209,0.9293
788,2019-01-28,0.9293,0.9297,0.9294,0.9297
787,2019-01-28,0.9223,0.9226,0.9226,0.9223
786,2019-01-28,0.9146,0.94,0.94,0.9146
785,2019-01-28,0.9146,0.9146,0.9146,0.9146
784,2019-01-28,0.9146,0.9146,0.9146,0.9146
783,2019-01-28,0.9146,0.9146,0.9146,0.9146
782,2019-01-28,0.9146,0.9146,0.9146,0.9146
781,2019-01-28,0.9142,0.9142,0.9142,0.9142
780,2019-01-28,0.9075,0.9093,0.9093,0.9075
779,2019-01-28,0.9075,0.9075,0.9075,0.9075
778,2019-01-28,0.9076,0.9076,0.9076,0.9076
777,2019-01-28,0.9074,0.9074,0.9074,0.9074
776,2019-01-28,0.8991,0.9077,0.9077,0.8991
775,2019-01-28,0.9036,0.9036,0.9036,0.9036
774,2019-01-28,0.9073,0.9073,0.9073,0.9073
773,2019-01-28,0.9023,0.9074,0.9074,0.9023
772,2019-01-28,0.9,0.9076,0.9076,0.9
771,2019-01-28,0.9078,0.9078,0.9078,0.9078
770,2019-01-28,0.9079,0.9079,0.9079,0.9079
769,2019-01-28,0.8911,0.8911,0.8911,0.8911
768,2019-01-28,0.8955,0.8955,0.8955,0.8955
767,2019-01-28,0.908,0.908,0.908,0.908
766,2019-01-28,0.908,0.908,0.908,0.908
765,2019-01-28,0.908,0.908,0.908,0.908
764,2019-01-28,0.8901,0.8901,0.8901,0.8901
763,2019-01-28,0.89,0.9011,0.89,0.9011
762,2019-01-28,0.9011,0.9011,0.9011,0.9011
761,2019-01-28,0.9012,0.9012,0.9012,0.9012
760,2019-01-28,0.908,0.91,0.908,0.91
759,2019-01-28,0.91,0.91,0.91,0.91
758,2019-01-28,0.9076,0.9099,0.9076,0.9099
757,2019-01-28,0.9078,0.9078,0.9078,0.9078
756,2019-01-28,0.91,0.91,0.91,0.91
755,2019-01-28,0.91,0.91,0.91,0.91
754,2019-01-28,0.9048,0.9048,0.9048,0.9048
753,2019-01-28,0.91,0.91,0.91,0.91
752,2019-01-28,0.9035,0.91,0.9035,0.91
751,2019-01-28,0.91,0.91,0.91,0.91
750,2019-01-28,0.91,0.91,0.91,0.91
749,2019-01-28,0.9036,0.91,0.91,0.9036
748,2019-01-28,0.9051,0.91,0.91,0.9051
747,2019-01-28,0.8969,0.91,0.91,0.8969
746,2019-01-28,0.91,0.91,0.91,0.91
745,2019-01-28,0.9096,0.9096,0.9096,0.9096
744,2019-01-28,0.91,0.91,0.91,0.91
743,2019-01-28,0.91,0.91,0.91,0.91
742,2019-01-28,0.8972,0.8972,0.8972,0.8972
741,2019-01-28,0.8965,0.8965,0.8965,0.8965
740,2019-01-28,0.9,0.9,0.9,0.9
739,2019-01-28,0.9,0.9,0.9,0.9
738,2019-01-28,0.9,0.9,0.9,0.9
737,2019-01-28,0.9001,0.9002,0.9001,0.9002
736,2019-01-28,0.91,0.91,0.91,0.91
735,2019-01-28,0.91,0.91,0.91,0.91
734,2019-01-28,0.905,0.91,0.91,0.905
733,2019-01-28,0.905,0.91,0.905,0.91
732,2019-01-28,0.8945,0.8945,0.8945,0.8945
731,2019-01-28,0.9035,0.9035,0.9035,0.9035
730,2019-01-25,0.9006,0.9006,0.9006,0.9006
729,2019-01-25,0.8951,0.9083,0.9083,0.8951
728,2019-01-25,0.8932,0.8947,0.8947,0.8932
727,2019-01-25,0.8946,0.8946,0.8946,0.8946
726,2019-01-25,0.8901,0.896,0.8931,0.896
725,2019-01-25,0.89,0.9018,0.8931,0.89
724,2019-01-25,0.908,0.9083,0.908,0.9083
723,2019-01-25,0.9081,0.9081,0.9081,0.9081
722,2019-01-25,0.9067,0.9067,0.9067,0.9067
721,2019-01-25,0.9082,0.9082,0.9082,0.9082
720,2019-01-25,0.9082,0.9082,0.9082,0.9082
719,2019-01-25,0.9082,0.9083,0.9083,0.9082
718,2019-01-25,0.9083,0.9083,0.9083,0.9083
717,2019-01-25,0.9083,0.9089,0.9089,0.9083
716,2019-01-25,0.9081,0.9081,0.9081,0.9081
715,2019-01-25,0.9089,0.9089,0.9089,0.9089
714,2019-01-25,0.9082,0.9082,0.9082,0.9082
713,2019-01-25,0.9085,0.9085,0.9085,0.9085
712,2019-01-25,0.9085,0.9085,0.9085,0.9085
711,2019-01-25,0.9081,0.9081,0.9081,0.9081
710,2019-01-25,0.908,0.9081,0.908,0.9081
709,2019-01-25,0.908,0.9087,0.9087,0.908
708,2019-01-25,0.9051,0.9051,0.9051,0.9051
707,2019-01-25,0.9051,0.9051,0.9051,0.9051
706,2019-01-25,0.9051,0.9092,0.9051,0.9092
705,2019-01-25,0.9055,0.9055,0.9055,0.9055
704,2019-01-25,0.9055,0.9128,0.9055,0.9128
703,2019-01-25,0.91,0.91,0.91,0.91
702,2019-01-25,0.9101,0.9101,0.9101,0.9101
701,2019-01-25,0.9051,0.9051,0.9051,0.9051
700,2019-01-25,0.909,0.909,0.909,0.909
699,2019-01-25,0.9,0.9128,0.9,0.9128
698,2019-01-25,0.9,0.9,0.9,0.9
697,2019-01-25,0.9,0.901,0.901,0.9
696,2019-01-25,0.9,0.9,0.9,0.9
695,2019-01-25,0.9,0.9,0.9,0.9
694,2019-01-25,0.9099,0.9099,0.9099,0.9099
693,2019-01-25,0.9115,0.9115,0.9115,0.9115
692,2019-01-25,0.9126,0.9126,0.9126,0.9126
691,2019-01-25,0.9115,0.9115,0.9115,0.9115
690,2019-01-25,0.913,0.913,0.913,0.913
689,2019-01-25,0.9098,0.9102,0.9098,0.9102
688,2019-01-25,0.9165,0.9174,0.9174,0.9165
687,2019-01-25,0.9182,0.9182,0.9182,0.9182
686,2019-01-25,0.92,0.92,0.92,0.92
685,2019-01-25,0.9151,0.9188,0.9151,0.9188
684,2019-01-25,0.9176,0.9192,0.9192,0.9176
683,2019-01-25,0.9127,0.9127,0.9127,0.9127
682,2019-01-25,0.9124,0.9162,0.9162,0.9124
681,2019-01-25,0.9123,0.9123,0.9123,0.9123
680,2019-01-25,0.92,0.92,0.92,0.92
679,2019-01-25,0.9122,0.9122,0.9122,0.9122
678,2019-01-25,0.92,0.92,0.92,0.92
677,2019-01-25,0.9162,0.9162,0.9162,0.9162
676,2019-01-25,0.9143,0.915,0.915,0.9143
675,2019-01-25,0.9194,0.92,0.9194,0.92
674,2019-01-25,0.9121,0.92,0.92,0.92
673,2019-01-25,0.9201,0.9265,0.9201,0.9265
672,2019-01-25,0.91,0.91,0.91,0.91
671,2019-01-24,0.9143,0.93,0.93,0.9166
670,2019-01-24,0.9141,0.919,0.919,0.9141
669,2019-01-24,0.919,0.919,0.919,0.919
668,2019-01-24,0.9156,0.9191,0.9191,0.919
667,2019-01-24,0.9156,0.9192,0.9191,0.9192
666,2019-01-24,0.9191,0.9193,0.9192,0.9191
665,2019-01-24,0.9191,0.9192,0.9192,0.9191
664,2019-01-24,0.9181,0.9195,0.9191,0.9195
663,2019-01-24,0.9158,0.9158,0.9158,0.9158
662,2019-01-24,0.9121,0.9121,0.9121,0.9121
661,2019-01-24,0.9121,0.9196,0.9194,0.9121
660,2019-01-24,0.9101,0.9197,0.9101,0.9197
659,2019-01-24,0.9197,0.9197,0.9197,0.9197
658,2019-01-24,0.9142,0.9198,0.9198,0.9142
657,2019-01-24,0.9101,0.92,0.92,0.92
656,2019-01-24,0.92,0.92,0.92,0.92
655,2019-01-24,0.9291,0.9291,0.9291,0.9291
654,2019-01-24,0.925,0.9282,0.9282,0.925
653,2019-01-24,0.9173,0.9296,0.9283,0.9296
652,2019-01-24,0.91,0.915,0.915,0.91
651,2019-01-24,0.92,0.932,0.92,0.932
650,2019-01-24,0.9291,0.9333,0.9291,0.9333
649,2019-01-24,0.9315,0.9334,0.9334,0.9315
648,2019-01-24,0.9334,0.9334,0.9334,0.9334
647,2019-01-24,0.9267,0.9312,0.9267,0.9312
646,2019-01-24,0.9333,0.9333,0.9333,0.9333
645,2019-01-24,0.9225,0.9225,0.9225,0.9225
644,2019-01-24,0.9148,0.9333,0.9333,0.9148
643,2019-01-24,0.91,0.914,0.91,0.914
642,2019-01-24,0.91,0.9153,0.91,0.9153
641,2019-01-24,0.9138,0.9159,0.9159,0.9138
640,2019-01-24,0.9187,0.9187,0.9187,0.9187
639,2019-01-24,0.9221,0.9221,0.9221,0.9221
638,2019-01-24,0.9201,0.9217,0.9217,0.9201
637,2019-01-24,0.9201,0.9201,0.9201,0.9201
636,2019-01-24,0.9201,0.9201,0.9201,0.9201
635,2019-01-24,0.92,0.9334,0.92,0.9334
634,2019-01-24,0.92,0.92,0.92,0.92
633,2019-01-24,0.92,0.9333,0.9333,0.92
632,2019-01-24,0.9334,0.9334,0.9334,0.9334
631,2019-01-24,0.9334,0.9334,0.9334,0.9334
630,2019-01-24,0.9334,0.9334,0.9334,0.9334
629,2019-01-24,0.9268,0.9335,0.9268,0.9335
628,2019-01-24,0.9291,0.9335,0.9335,0.9291
627,2019-01-24,0.9338,0.9457,0.9338,0.9457
626,2019-01-24,0.9458,0.946,0.9458,0.946
625,2019-01-24,0.9465,0.9466,0.9465,0.9466
624,2019-01-24,0.9467,0.9468,0.9467,0.9468
623,2019-01-24,0.9469,0.948,0.9469,0.948
