,Date,Low,High,Close,Open
1105,2019-01-30,13.4734,13.505,13.495,13.49
1104,2019-01-30,13.48,13.5185,13.49,13.49
1103,2019-01-30,13.48,13.495,13.49,13.49
1102,2019-01-30,13.48,13.5099,13.48,13.5099
1101,2019-01-30,13.49,13.5116,13.5,13.5116
1100,2019-01-30,13.52,13.54,13.52,13.52
1099,2019-01-30,13.51,13.52,13.52,13.51
1098,2019-01-30,13.5,13.53,13.5,13.53
1097,2019-01-30,13.52,13.54,13.5399,13.535
1096,2019-01-30,13.52,13.551,13.54,13.551
1095,2019-01-30,13.55,13.57,13.56,13.5512
1094,2019-01-30,13.53,13.555,13.545,13.55
1093,2019-01-30,13.49,13.55,13.55,13.52
1092,2019-01-30,13.47,13.56,13.52,13.56
1091,2019-01-29,13.55,13.6,13.56,13.585
1090,2019-01-29,13.57,13.59,13.58,13.58
1089,2019-01-29,13.58,13.61,13.58,13.61
1088,2019-01-29,13.6,13.615,13.61,13.61
1087,2019-01-29,13.585,13.61,13.605,13.61
1086,2019-01-29,13.595,13.62,13.61,13.62
1085,2019-01-29,13.605,13.62,13.61,13.62
1084,2019-01-29,13.62,13.63,13.62,13.62
1083,2019-01-29,13.615,13.64,13.6201,13.615
1082,2019-01-29,13.61,13.64,13.61,13.64
1081,2019-01-29,13.62,13.64,13.64,13.625
1080,2019-01-29,13.62,13.625,13.625,13.62
1079,2019-01-29,13.625,13.64,13.625,13.635
1078,2019-01-29,13.63,13.635,13.6334,13.63
1077,2019-01-29,13.62,13.64,13.635,13.6371
1076,2019-01-29,13.64,13.655,13.64,13.65
1075,2019-01-29,13.64,13.65,13.65,13.6456
1074,2019-01-29,13.645,13.65,13.645,13.645
1073,2019-01-29,13.635,13.65,13.65,13.64
1072,2019-01-29,13.62,13.64,13.64,13.63
1071,2019-01-29,13.63,13.6456,13.635,13.64
1070,2019-01-29,13.63,13.65,13.645,13.635
1069,2019-01-29,13.63,13.655,13.635,13.655
1068,2019-01-29,13.65,13.68,13.655,13.68
1067,2019-01-29,13.67,13.6865,13.6865,13.675
1066,2019-01-29,13.67,13.6876,13.675,13.6876
1065,2019-01-29,13.68,13.69,13.68,13.68
1064,2019-01-29,13.665,13.68,13.68,13.665
1063,2019-01-29,13.65,13.66,13.66,13.659
1062,2019-01-29,13.66,13.68,13.66,13.675
1061,2019-01-29,13.67,13.68,13.675,13.675
1060,2019-01-29,13.675,13.69,13.675,13.69
1059,2019-01-29,13.655,13.68,13.68,13.655
1058,2019-01-29,13.65,13.665,13.655,13.66
1057,2019-01-29,13.65,13.67,13.65,13.655
1056,2019-01-29,13.63,13.655,13.655,13.64
1055,2019-01-29,13.65,13.67,13.65,13.66
1054,2019-01-29,13.65,13.66,13.655,13.66
1053,2019-01-29,13.65,13.66,13.66,13.655
1052,2019-01-29,13.65,13.66,13.655,13.6581
1051,2019-01-29,13.635,13.655,13.65,13.65
1050,2019-01-29,13.64,13.65,13.64,13.65
1049,2019-01-29,13.66,13.68,13.66,13.68
1048,2019-01-29,13.67,13.69,13.68,13.68
1047,2019-01-29,13.67,13.69,13.68,13.68
1046,2019-01-29,13.6639,13.68,13.68,13.6639
1045,2019-01-29,13.655,13.68,13.66,13.68
1044,2019-01-29,13.66,13.7,13.67,13.7
1043,2019-01-29,13.695,13.71,13.7,13.695
1042,2019-01-29,13.68,13.7,13.695,13.68
1041,2019-01-29,13.67,13.7,13.68,13.67
1040,2019-01-29,13.66,13.675,13.665,13.67
1039,2019-01-29,13.665,13.68,13.68,13.68
1038,2019-01-29,13.67,13.68,13.68,13.68
1037,2019-01-29,13.65,13.68,13.665,13.655
1036,2019-01-29,13.65,13.66,13.65,13.65
1035,2019-01-29,13.64,13.66,13.65,13.65
1034,2019-01-29,13.64,13.66,13.65,13.65
1033,2019-01-29,13.635,13.66,13.65,13.635
1032,2019-01-29,13.63,13.65,13.635,13.64
1031,2019-01-29,13.64,13.665,13.64,13.655
1030,2019-01-29,13.64,13.67,13.65,13.665
1029,2019-01-29,13.66,13.679,13.67,13.66
1028,2019-01-29,13.635,13.665,13.66,13.635
1027,2019-01-29,13.63,13.6487,13.635,13.63
1026,2019-01-29,13.63,13.6499,13.6364,13.635
1025,2019-01-29,13.6,13.63,13.63,13.6
1024,2019-01-29,13.59,13.605,13.6,13.59
1023,2019-01-29,13.57,13.5958,13.5958,13.57
1022,2019-01-29,13.58,13.61,13.58,13.6
1021,2019-01-29,13.605,13.63,13.61,13.63
1020,2019-01-29,13.59,13.64,13.63,13.615
1019,2019-01-29,13.61,13.67,13.61,13.67
1018,2019-01-29,13.64,13.67,13.66,13.65
1017,2019-01-29,13.61,13.65,13.65,13.61
1016,2019-01-29,13.59,13.63,13.61,13.59
