,Date,Low,High,Close,Open
1104,2019-01-30,46.61,46.695,46.6448,46.62
1103,2019-01-30,46.59,46.6486,46.6164,46.59
1102,2019-01-30,46.54,46.62,46.5836,46.54
1101,2019-01-30,46.49,46.56,46.54,46.55
1100,2019-01-30,46.49,46.6,46.55,46.5
1099,2019-01-30,46.45,46.5145,46.5,46.49
1098,2019-01-30,46.4838,46.57,46.5,46.53
1097,2019-01-30,46.51,46.64,46.56,46.64
1096,2019-01-30,46.49,46.64,46.64,46.49
1095,2019-01-30,46.45,46.61,46.48,46.56
1094,2019-01-30,46.51,46.82,46.545,46.78
1093,2019-01-30,46.67,46.83,46.81,46.67
1092,2019-01-30,46.46,46.77,46.67,46.65
1091,2019-01-29,46.48,46.55,46.54,46.48
1090,2019-01-29,46.42,46.5,46.47,46.49
1089,2019-01-29,46.48,46.545,46.49,46.525
1088,2019-01-29,46.495,46.535,46.52,46.525
1087,2019-01-29,46.51,46.5567,46.525,46.5567
1086,2019-01-29,46.4741,46.56,46.56,46.48
1085,2019-01-29,46.46,46.5,46.48,46.47
1084,2019-01-29,46.455,46.49,46.48,46.465
1083,2019-01-29,46.4,46.47,46.47,46.4
1082,2019-01-29,46.38,46.41,46.39,46.39
1081,2019-01-29,46.36,46.4,46.39,46.38
1080,2019-01-29,46.3301,46.38,46.38,46.36
1079,2019-01-29,46.35,46.39,46.355,46.3799
1078,2019-01-29,46.3599,46.39,46.38,46.3599
1077,2019-01-29,46.3543,46.43,46.36,46.43
1076,2019-01-29,46.4,46.44,46.425,46.4145
1075,2019-01-29,46.39,46.43,46.42,46.42
1074,2019-01-29,46.37,46.42,46.42,46.395
1073,2019-01-29,46.39,46.42,46.4,46.398
1072,2019-01-29,46.3892,46.41,46.39,46.41
1071,2019-01-29,46.36,46.44,46.41,46.4
1070,2019-01-29,46.4,46.45,46.4,46.45
1069,2019-01-29,46.41,46.45,46.45,46.44
1068,2019-01-29,46.43,46.48,46.43,46.48
1067,2019-01-29,46.45,46.49,46.49,46.455
1066,2019-01-29,46.45,46.496,46.455,46.4725
1065,2019-01-29,46.455,46.5,46.475,46.46
1064,2019-01-29,46.385,46.46,46.455,46.385
1063,2019-01-29,46.38,46.3999,46.38,46.3999
1062,2019-01-29,46.39,46.4678,46.39,46.4678
1061,2019-01-29,46.44,46.47,46.46,46.46
1060,2019-01-29,46.44,46.48,46.46,46.48
1059,2019-01-29,46.42,46.48,46.4602,46.42
1058,2019-01-29,46.43,46.47,46.43,46.45
1057,2019-01-29,46.42,46.4466,46.445,46.43
1056,2019-01-29,46.4,46.45,46.43,46.45
1055,2019-01-29,46.44,46.49,46.45,46.445
1054,2019-01-29,46.41,46.45,46.45,46.41
1053,2019-01-29,46.4,46.42,46.41,46.41
1052,2019-01-29,46.39,46.42,46.4122,46.42
