,Date,Low,High,Close,Open
1109,2019-01-30,169.06,169.63,169.45,169.1
1108,2019-01-30,168.77,169.33,169.05,169.33
1107,2019-01-30,169.27,169.78,169.44,169.58
1106,2019-01-30,168.9465,169.71,169.4303,169.6
1105,2019-01-30,169.55,170.01,169.77,169.965
1104,2019-01-30,169.71,170.22,169.85,169.8
1103,2019-01-30,169.3442,169.5792,169.5792,169.4275
1102,2019-01-30,168.7,169.49,169.3,168.7
1101,2019-01-30,168.37,169.0625,168.7,169.0625
1100,2019-01-30,168.4534,169.5,169.35,168.4534
1099,2019-01-30,167.92,168.5125,168.37,167.975
1098,2019-01-30,167.92,168.32,168.095,168.16
1097,2019-01-30,168.0,168.4645,168.0,168.4645
1096,2019-01-30,167.9,168.83,168.83,168.195
1095,2019-01-30,167.96,168.43,168.23,168.08
1094,2019-01-30,167.59,168.94,167.695,168.93
1093,2019-01-30,167.74,168.7776,168.7776,167.8921
1092,2019-01-30,166.71,167.98,167.595,167.23
1091,2019-01-29,164.97,165.45,164.97,165.4
1090,2019-01-29,165.18,165.43,165.39,165.21
1089,2019-01-29,165.24,166.055,165.24,166.055
1088,2019-01-29,165.77,166.03,166.02,165.77
1087,2019-01-29,165.67,165.83,165.83,165.75
1086,2019-01-29,165.54,165.96,165.81,165.56
1085,2019-01-29,165.46,165.66,165.54,165.61
1084,2019-01-29,165.3,165.61,165.61,165.3
1083,2019-01-29,165.25,165.32,165.3,165.28
1082,2019-01-29,165.18,165.26,165.21,165.22
1081,2019-01-29,165.16,165.2925,165.2,165.16
1080,2019-01-29,165.16,165.22,165.17,165.21
1079,2019-01-29,165.04,165.28,165.17,165.28
1078,2019-01-29,165.1458,165.3,165.3,165.1458
1077,2019-01-29,165.09,165.49,165.1,165.3
1076,2019-01-29,165.23,165.45,165.31,165.3452
1075,2019-01-29,165.32,165.41,165.41,165.38
1074,2019-01-29,165.325,165.435,165.4325,165.42
1073,2019-01-29,165.3901,165.56,165.48,165.49
1072,2019-01-29,165.36,165.53,165.53,165.51
1071,2019-01-29,165.43,165.64,165.46,165.64
1070,2019-01-29,165.64,165.71,165.67,165.7
1069,2019-01-29,165.76,165.93,165.8074,165.9
1068,2019-01-29,165.82,166.02,165.84,166.02
1067,2019-01-29,165.72,166.06,166.01,165.72
1066,2019-01-29,165.65,165.99,165.74,165.715
1065,2019-01-29,165.755,166.06,165.755,166.06
1064,2019-01-29,165.52,165.9,165.9,165.61
1063,2019-01-29,165.53,165.66,165.63,165.66
1062,2019-01-29,165.82,166.06,165.82,166.01
1061,2019-01-29,165.91,166.03,165.97,166.0
1060,2019-01-29,165.86,166.05,165.86,166.05
1059,2019-01-29,165.75,166.13,166.03,165.75
1058,2019-01-29,165.61,165.86,165.86,165.75
1057,2019-01-29,165.63,165.76,165.76,165.695
1056,2019-01-29,165.58,165.93,165.72,165.93
1055,2019-01-29,165.87,166.14,166.02,165.87
1054,2019-01-29,165.83,166.0,165.94,165.83
1053,2019-01-29,165.47,165.72,165.72,165.47
1052,2019-01-29,165.47,165.65,165.5,165.57
1051,2019-01-29,165.46,165.72,165.46,165.6
1050,2019-01-29,165.44,165.82,165.66,165.53
1049,2019-01-29,165.36,165.57,165.5,165.57
1048,2019-01-29,165.46,165.79,165.6,165.46
1047,2019-01-29,165.03,165.4401,165.41,165.035
1046,2019-01-29,164.29,165.065,165.065,164.29
1045,2019-01-29,164.1546,164.4,164.26,164.4
1044,2019-01-29,163.96,164.45,164.2598,164.285
1043,2019-01-29,164.51,164.73,164.5714,164.64
1042,2019-01-29,164.1,164.62,164.62,164.42
1041,2019-01-29,164.3,164.64,164.3,164.49
1040,2019-01-29,164.37,164.91,164.37,164.91
1039,2019-01-29,164.76,165.07,164.97,164.76
1038,2019-01-29,164.77,165.05,164.77,164.835
1037,2019-01-29,164.59,165.0,164.71,164.59
1036,2019-01-29,164.58,165.23,164.58,165.08
1035,2019-01-29,164.65,165.03,165.03,164.8192
1034,2019-01-29,164.68,165.27,164.735,165.18
1033,2019-01-29,164.56,165.211,165.15,164.57
1032,2019-01-29,164.66,164.93,164.755,164.93
1031,2019-01-29,164.67,165.16,164.9809,165.11
1030,2019-01-29,165.02,165.11,165.11,165.09
1029,2019-01-29,165.21,165.73,165.21,165.5
1028,2019-01-29,165.56,165.98,165.575,165.96
1027,2019-01-29,165.7,166.91,165.9936,166.91
1026,2019-01-29,167.05,167.5,167.05,167.5
1025,2019-01-29,166.9617,167.6,167.41,167.1
1024,2019-01-29,167.0,167.405,167.13,167.12
1023,2019-01-29,166.47,167.07,167.07,166.47
1022,2019-01-29,166.46,166.95,166.46,166.5
1021,2019-01-29,166.46,167.39,166.56,167.38
1020,2019-01-29,166.322,167.46,167.46,166.71
1019,2019-01-29,166.75,167.5,166.88,167.5
1018,2019-01-29,166.97,167.83,167.34,167.2101
1017,2019-01-29,166.15,167.58,167.33,166.65
1016,2019-01-29,166.86,167.735,166.93,166.86
1015,2019-01-29,166.34,168.5,167.0,168.5
1014,2019-01-29,168.6,169.832,168.7,168.6
1013,2019-01-28,165.93,166.29,166.02,166.08
1012,2019-01-28,166.04,166.2,166.08,166.2
1011,2019-01-28,166.19,166.47,166.19,166.42
1010,2019-01-28,166.28,166.45,166.44,166.29
1009,2019-01-28,166.32,166.59,166.32,166.44
1008,2019-01-28,166.34,166.59,166.46,166.44
1007,2019-01-28,166.39,166.5,166.47,166.44
1006,2019-01-28,166.28,166.5,166.45,166.442
1005,2019-01-28,166.35,166.59,166.38,166.59
1004,2019-01-28,166.3556,166.62,166.62,166.38
1003,2019-01-28,166.12,166.39,166.28,166.34
1002,2019-01-28,166.2,166.44,166.385,166.23
1001,2019-01-28,166.1,166.29,166.14,166.25
1000,2019-01-28,166.17,166.46,166.22,166.19
999,2019-01-28,165.92,166.3,166.075,166.0
998,2019-01-28,165.62,165.95,165.9,165.62
997,2019-01-28,165.41,165.66,165.59,165.5
996,2019-01-28,165.43,165.67,165.56,165.43
995,2019-01-28,164.89,165.46,165.43,164.89
994,2019-01-28,164.87,165.23,164.87,164.98
993,2019-01-28,164.76,165.01,164.92,165.0
992,2019-01-28,165.12,165.46,165.12,165.27
991,2019-01-28,165.16,165.44,165.4,165.44
990,2019-01-28,165.56,166.15,165.56,166.0
989,2019-01-28,165.895,166.19,165.95,165.92
988,2019-01-28,165.53,165.9,165.87,165.56
987,2019-01-28,165.36,165.55,165.52,165.36
986,2019-01-28,165.29,165.52,165.395,165.46
985,2019-01-28,165.35,165.72,165.51,165.72
984,2019-01-28,165.265,165.72,165.72,165.265
983,2019-01-28,165.205,165.735,165.275,165.735
982,2019-01-28,165.645,165.915,165.83,165.645
981,2019-01-28,165.5,165.68,165.68,165.52
980,2019-01-28,165.17,165.63,165.52,165.5379
979,2019-01-28,164.8,165.58,165.58,164.8
978,2019-01-28,164.87,165.36,164.87,165.27
977,2019-01-28,165.11,165.65,165.25,165.58
976,2019-01-28,165.39,165.58,165.55,165.51
975,2019-01-28,165.31,165.715,165.5,165.715
974,2019-01-28,165.76,165.9,165.815,165.89
973,2019-01-28,165.55,165.88,165.88,165.63
972,2019-01-28,165.51,165.9,165.59,165.9
971,2019-01-28,165.39,165.81,165.81,165.43
970,2019-01-28,164.97,165.41,165.41,164.9823
969,2019-01-28,164.7,165.05,165.01,165.0
968,2019-01-28,164.9,165.44,164.9,165.41
967,2019-01-28,165.15,165.45,165.44,165.16
966,2019-01-28,164.73,165.3,165.04,165.11
