,Date,Low,High,Close,Open
1097,2019-01-30,1.17,1.18,1.18,1.17
1096,2019-01-30,1.16,1.18,1.18,1.165
1095,2019-01-30,1.16,1.17,1.1646,1.16
1094,2019-01-30,1.16,1.1664,1.165,1.16
1093,2019-01-30,1.16,1.1654,1.1654,1.16
1092,2019-01-30,1.165,1.175,1.165,1.175
1091,2019-01-30,1.17,1.175,1.175,1.17
1090,2019-01-30,1.16,1.175,1.175,1.16
1089,2019-01-30,1.16,1.17,1.17,1.16
1088,2019-01-30,1.15,1.17,1.15,1.16
1087,2019-01-30,1.1799,1.1799,1.1799,1.1799
1086,2019-01-30,1.17,1.1822,1.1786,1.1822
1085,2019-01-30,1.18,1.195,1.18,1.195
1084,2019-01-30,1.19,1.194,1.1925,1.19
1083,2019-01-30,1.19,1.2,1.19,1.19
1082,2019-01-29,1.19,1.195,1.19,1.195
1081,2019-01-29,1.19,1.205,1.19,1.195
1080,2019-01-29,1.195,1.2,1.195,1.195
1079,2019-01-29,1.18,1.195,1.19,1.18
1078,2019-01-29,1.18,1.205,1.18,1.205
1077,2019-01-29,1.175,1.2,1.2,1.18
1076,2019-01-29,1.17,1.18,1.18,1.175
1075,2019-01-29,1.17,1.175,1.175,1.175
1074,2019-01-29,1.17,1.175,1.175,1.175
1073,2019-01-29,1.175,1.18,1.18,1.175
1072,2019-01-29,1.17,1.18,1.17,1.175
1071,2019-01-29,1.175,1.175,1.175,1.175
1070,2019-01-29,1.175,1.18,1.175,1.18
1069,2019-01-29,1.17,1.1786,1.175,1.175
1068,2019-01-29,1.17,1.175,1.175,1.175
1067,2019-01-29,1.17,1.175,1.175,1.175
1066,2019-01-29,1.17,1.175,1.175,1.175
1065,2019-01-29,1.17,1.175,1.175,1.175
1064,2019-01-29,1.175,1.1759,1.1759,1.175
1063,2019-01-29,1.17,1.18,1.175,1.17
1062,2019-01-29,1.17,1.175,1.175,1.17
1061,2019-01-29,1.17,1.175,1.17,1.17
1060,2019-01-29,1.17,1.175,1.17,1.17
1059,2019-01-29,1.17,1.1786,1.175,1.17
1058,2019-01-29,1.17,1.175,1.17,1.175
1057,2019-01-29,1.17,1.18,1.175,1.17
1056,2019-01-29,1.17,1.175,1.175,1.17
1055,2019-01-29,1.17,1.1781,1.1781,1.17
1054,2019-01-29,1.17,1.179,1.17,1.17
1053,2019-01-29,1.17,1.18,1.17,1.17
1052,2019-01-29,1.17,1.18,1.175,1.17
1051,2019-01-29,1.175,1.185,1.175,1.185
1050,2019-01-29,1.18,1.1899,1.18,1.1899
1049,2019-01-29,1.18,1.19,1.18,1.19
1048,2019-01-29,1.19,1.195,1.19,1.19
1047,2019-01-29,1.19,1.1974,1.19,1.195
1046,2019-01-29,1.19,1.19,1.19,1.19
1045,2019-01-29,1.19,1.195,1.195,1.195
1044,2019-01-29,1.19,1.1986,1.19,1.19
1043,2019-01-29,1.19,1.195,1.19,1.195
1042,2019-01-29,1.19,1.195,1.19,1.19
1041,2019-01-29,1.199,1.2,1.2,1.2
1040,2019-01-29,1.195,1.21,1.1976,1.21
1039,2019-01-29,1.21,1.21,1.21,1.21
1038,2019-01-29,1.2039,1.21,1.2098,1.2039
1037,2019-01-29,1.2023,1.205,1.205,1.2023
1036,2019-01-29,1.19,1.2,1.2,1.19
1035,2019-01-29,1.19,1.2,1.19,1.19
1034,2019-01-29,1.19,1.21,1.19,1.21
1033,2019-01-29,1.2,1.21,1.2,1.2
1032,2019-01-29,1.2,1.21,1.21,1.2
1031,2019-01-29,1.2,1.205,1.205,1.2
1030,2019-01-29,1.205,1.21,1.205,1.21
1029,2019-01-29,1.205,1.21,1.2073,1.21
1028,2019-01-29,1.205,1.21,1.21,1.205
1027,2019-01-29,1.2,1.2086,1.205,1.205
1026,2019-01-29,1.19,1.21,1.2,1.205
1025,2019-01-29,1.2,1.21,1.2,1.21
1024,2019-01-29,1.2,1.2,1.2,1.2
1023,2019-01-29,1.2,1.206,1.2,1.205
1022,2019-01-29,1.2,1.208,1.2,1.208
1021,2019-01-29,1.2,1.22,1.2,1.22
1020,2019-01-29,1.2194,1.22,1.2194,1.22
1019,2019-01-29,1.215,1.23,1.22,1.23
1018,2019-01-29,1.23,1.235,1.23,1.235
1017,2019-01-29,1.23,1.23,1.23,1.23
1016,2019-01-29,1.23,1.235,1.23,1.235
1015,2019-01-29,1.2314,1.24,1.235,1.24
1014,2019-01-29,1.23,1.24,1.24,1.234
1013,2019-01-29,1.23,1.24,1.23,1.24
1012,2019-01-29,1.235,1.24,1.24,1.235
1011,2019-01-29,1.23,1.235,1.235,1.23
1010,2019-01-29,1.235,1.239,1.239,1.235
1009,2019-01-29,1.23,1.24,1.24,1.235
1008,2019-01-29,1.23,1.24,1.23,1.24
1007,2019-01-29,1.24,1.245,1.24,1.245
1006,2019-01-29,1.2186,1.25,1.245,1.2186
1005,2019-01-29,1.21,1.24,1.2177,1.24
1004,2019-01-28,1.25,1.26,1.255,1.25
1003,2019-01-28,1.245,1.27,1.245,1.27
1002,2019-01-28,1.26,1.265,1.26,1.265
1001,2019-01-28,1.26,1.29,1.26,1.29
1000,2019-01-28,1.23,1.3,1.295,1.23
999,2019-01-28,1.24,1.24,1.24,1.24
998,2019-01-28,1.23,1.24,1.235,1.23
997,2019-01-28,1.23,1.235,1.2325,1.23
996,2019-01-28,1.23,1.235,1.235,1.23
995,2019-01-28,1.23,1.235,1.235,1.235
994,2019-01-28,1.23,1.2349,1.2349,1.23
993,2019-01-28,1.23,1.235,1.23,1.23
992,2019-01-28,1.23,1.2351,1.23,1.235
991,2019-01-28,1.23,1.235,1.23,1.23
990,2019-01-28,1.23,1.2301,1.23,1.2301
989,2019-01-28,1.23,1.23,1.23,1.23
988,2019-01-28,1.23,1.23,1.23,1.23
987,2019-01-28,1.23,1.24,1.23,1.23
986,2019-01-28,1.235,1.235,1.235,1.235
985,2019-01-28,1.23,1.23,1.23,1.23
984,2019-01-28,1.23,1.235,1.23,1.235
983,2019-01-28,1.23,1.23,1.23,1.23
982,2019-01-28,1.23,1.23,1.23,1.23
981,2019-01-28,1.23,1.23,1.23,1.23
980,2019-01-28,1.23,1.24,1.23,1.23
979,2019-01-28,1.23,1.23,1.23,1.23
978,2019-01-28,1.23,1.23,1.23,1.23
977,2019-01-28,1.23,1.2364,1.23,1.2364
976,2019-01-28,1.2301,1.235,1.235,1.233
975,2019-01-28,1.23,1.23,1.23,1.23
974,2019-01-28,1.23,1.235,1.235,1.2333
973,2019-01-28,1.23,1.235,1.235,1.23
972,2019-01-28,1.23,1.2385,1.2337,1.2385
971,2019-01-28,1.23,1.235,1.235,1.235
970,2019-01-28,1.23,1.23,1.23,1.23
969,2019-01-28,1.235,1.235,1.235,1.235
968,2019-01-28,1.23,1.235,1.235,1.23
967,2019-01-28,1.23,1.235,1.23,1.235
966,2019-01-28,1.23,1.235,1.235,1.235
965,2019-01-28,1.23,1.24,1.23,1.24
964,2019-01-28,1.24,1.245,1.245,1.245
963,2019-01-28,1.25,1.25,1.25,1.25
962,2019-01-28,1.24,1.245,1.24,1.245
961,2019-01-28,1.25,1.25,1.25,1.25
960,2019-01-28,1.245,1.25,1.245,1.245
959,2019-01-28,1.24,1.24,1.24,1.24
958,2019-01-28,1.245,1.245,1.245,1.245
957,2019-01-28,1.245,1.26,1.245,1.245
956,2019-01-28,1.23,1.25,1.25,1.235
955,2019-01-28,1.235,1.24,1.235,1.24
954,2019-01-28,1.245,1.245,1.245,1.245
953,2019-01-28,1.245,1.25,1.245,1.25
952,2019-01-28,1.25,1.2591,1.2591,1.255
951,2019-01-28,1.25,1.255,1.255,1.25
950,2019-01-28,1.255,1.255,1.255,1.255
949,2019-01-28,1.25,1.255,1.25,1.255
948,2019-01-28,1.25,1.25,1.25,1.25
947,2019-01-28,1.25,1.25,1.25,1.25
946,2019-01-28,1.25,1.26,1.25,1.25
945,2019-01-28,1.255,1.255,1.255,1.255
944,2019-01-28,1.255,1.2557,1.2557,1.255
943,2019-01-28,1.255,1.255,1.255,1.255
942,2019-01-28,1.25,1.2584,1.25,1.2572
941,2019-01-28,1.255,1.255,1.255,1.255
940,2019-01-28,1.25,1.2573,1.25,1.2541
939,2019-01-28,1.255,1.255,1.255,1.255
938,2019-01-28,1.245,1.255,1.25,1.25
937,2019-01-28,1.255,1.26,1.26,1.255
936,2019-01-28,1.24,1.25,1.25,1.2473
935,2019-01-28,1.2301,1.25,1.25,1.2301
934,2019-01-28,1.22,1.2367,1.2367,1.22
933,2019-01-28,1.23,1.235,1.23,1.235
932,2019-01-28,1.23,1.25,1.23,1.25
931,2019-01-28,1.2486,1.25,1.2486,1.25
930,2019-01-28,1.245,1.2491,1.245,1.245
929,2019-01-28,1.24,1.2501,1.24,1.25
928,2019-01-28,1.26,1.26,1.26,1.26
927,2019-01-28,1.2516,1.2642,1.2642,1.2516
926,2019-01-25,1.265,1.29,1.285,1.27
925,2019-01-25,1.26,1.285,1.26,1.28
924,2019-01-25,1.28,1.28,1.28,1.28
923,2019-01-25,1.28,1.29,1.29,1.28
922,2019-01-25,1.28,1.285,1.28,1.285
921,2019-01-25,1.28,1.285,1.285,1.28
920,2019-01-25,1.28,1.29,1.28,1.29
919,2019-01-25,1.29,1.3,1.3,1.295
918,2019-01-25,1.29,1.295,1.29,1.29
917,2019-01-25,1.29,1.29,1.29,1.29
916,2019-01-25,1.29,1.29,1.29,1.29
915,2019-01-25,1.2935,1.3,1.295,1.295
914,2019-01-25,1.29,1.295,1.295,1.29
913,2019-01-25,1.29,1.3,1.29,1.2965
912,2019-01-25,1.29,1.3,1.295,1.295
911,2019-01-25,1.29,1.3,1.29,1.29
910,2019-01-25,1.29,1.295,1.295,1.295
909,2019-01-25,1.29,1.295,1.295,1.295
908,2019-01-25,1.29,1.295,1.295,1.29
907,2019-01-25,1.29,1.295,1.295,1.29
906,2019-01-25,1.29,1.295,1.29,1.295
905,2019-01-25,1.29,1.3,1.3,1.29
904,2019-01-25,1.29,1.295,1.29,1.29
903,2019-01-25,1.29,1.295,1.2902,1.295
902,2019-01-25,1.285,1.295,1.295,1.285
901,2019-01-25,1.275,1.285,1.285,1.275
900,2019-01-25,1.275,1.275,1.275,1.275
899,2019-01-25,1.27,1.275,1.27,1.275
898,2019-01-25,1.265,1.275,1.275,1.265
897,2019-01-25,1.26,1.27,1.27,1.26
896,2019-01-25,1.26,1.265,1.26,1.26
895,2019-01-25,1.26,1.26,1.26,1.26
894,2019-01-25,1.26,1.265,1.26,1.26
893,2019-01-25,1.26,1.2666,1.26,1.2666
892,2019-01-25,1.26,1.27,1.27,1.26
891,2019-01-25,1.255,1.265,1.26,1.26
890,2019-01-25,1.26,1.27,1.265,1.26
889,2019-01-25,1.25,1.27,1.26,1.255
888,2019-01-25,1.25,1.26,1.25,1.26
887,2019-01-25,1.26,1.27,1.26,1.26
886,2019-01-25,1.26,1.265,1.26,1.265
885,2019-01-25,1.2614,1.265,1.265,1.265
884,2019-01-25,1.25,1.27,1.27,1.25
883,2019-01-25,1.25,1.255,1.255,1.25
882,2019-01-25,1.25,1.26,1.26,1.25
881,2019-01-25,1.25,1.26,1.25,1.25
880,2019-01-25,1.25,1.25,1.25,1.25
879,2019-01-25,1.25,1.25,1.25,1.25
878,2019-01-25,1.245,1.26,1.255,1.245
877,2019-01-25,1.24,1.245,1.242,1.245
876,2019-01-25,1.24,1.245,1.245,1.245
875,2019-01-25,1.24,1.245,1.24,1.245
874,2019-01-25,1.24,1.2477,1.245,1.2477
873,2019-01-25,1.24,1.245,1.24,1.245
872,2019-01-25,1.24,1.24,1.24,1.24
871,2019-01-25,1.24,1.245,1.24,1.245
870,2019-01-25,1.24,1.25,1.24,1.24
869,2019-01-25,1.24,1.24,1.24,1.24
868,2019-01-25,1.24,1.24,1.24,1.24
867,2019-01-25,1.24,1.245,1.24,1.245
866,2019-01-25,1.245,1.2486,1.245,1.2486
865,2019-01-25,1.22,1.24,1.24,1.22
864,2019-01-25,1.215,1.23,1.22,1.215
863,2019-01-25,1.21,1.22,1.21,1.22
862,2019-01-25,1.21,1.215,1.215,1.21
861,2019-01-25,1.21,1.215,1.21,1.21
860,2019-01-25,1.21,1.22,1.215,1.215
859,2019-01-25,1.21,1.21,1.21,1.21
858,2019-01-25,1.21,1.215,1.21,1.21
857,2019-01-25,1.21,1.21,1.21,1.21
856,2019-01-25,1.2,1.22,1.215,1.21
855,2019-01-25,1.21,1.2159,1.21,1.2159
854,2019-01-25,1.21,1.2201,1.21,1.2201
853,2019-01-25,1.22,1.225,1.22,1.225
852,2019-01-25,1.215,1.23,1.23,1.215
851,2019-01-25,1.21,1.22,1.21,1.22
850,2019-01-25,1.23,1.24,1.23,1.235
849,2019-01-25,1.23,1.28,1.235,1.28
848,2019-01-24,1.27,1.275,1.275,1.275
847,2019-01-24,1.275,1.275,1.275,1.275
846,2019-01-24,1.275,1.275,1.275,1.275
845,2019-01-24,1.275,1.28,1.275,1.275
844,2019-01-24,1.275,1.275,1.275,1.275
843,2019-01-24,1.2718,1.275,1.2718,1.275
842,2019-01-24,1.2701,1.275,1.275,1.2701
841,2019-01-24,1.275,1.2754,1.275,1.2754
840,2019-01-24,1.28,1.28,1.28,1.28
839,2019-01-24,1.2701,1.275,1.275,1.275
838,2019-01-24,1.275,1.28,1.275,1.275
837,2019-01-24,1.275,1.2764,1.275,1.275
836,2019-01-24,1.2701,1.2747,1.2701,1.2736
835,2019-01-24,1.2715,1.2799,1.275,1.2715
834,2019-01-24,1.275,1.275,1.275,1.275
833,2019-01-24,1.2764,1.28,1.2764,1.28
832,2019-01-24,1.2726,1.275,1.2726,1.275
831,2019-01-24,1.27,1.28,1.27,1.275
830,2019-01-24,1.275,1.275,1.275,1.275
829,2019-01-24,1.2701,1.2701,1.2701,1.2701
828,2019-01-24,1.27,1.271,1.27,1.271
827,2019-01-24,1.275,1.2799,1.275,1.2799
826,2019-01-24,1.275,1.275,1.275,1.275
825,2019-01-24,1.275,1.2761,1.275,1.2761
824,2019-01-24,1.275,1.275,1.275,1.275
823,2019-01-24,1.275,1.2799,1.2799,1.275
822,2019-01-24,1.275,1.2799,1.275,1.2799
821,2019-01-24,1.275,1.275,1.275,1.275
820,2019-01-24,1.2715,1.275,1.275,1.2715
819,2019-01-24,1.2735,1.2736,1.2735,1.2736
818,2019-01-24,1.2715,1.275,1.2715,1.275
817,2019-01-24,1.275,1.2788,1.2788,1.275
816,2019-01-24,1.2799,1.2799,1.2799,1.2799
815,2019-01-24,1.2745,1.278,1.2745,1.278
814,2019-01-24,1.275,1.275,1.275,1.275
813,2019-01-24,1.27,1.28,1.28,1.27
812,2019-01-24,1.275,1.275,1.275,1.275
811,2019-01-24,1.27,1.275,1.275,1.27
810,2019-01-24,1.2788,1.2799,1.2788,1.2799
809,2019-01-24,1.27,1.2701,1.2701,1.27
808,2019-01-24,1.27,1.275,1.275,1.275
807,2019-01-24,1.27,1.275,1.275,1.27
806,2019-01-24,1.27,1.2799,1.27,1.275
805,2019-01-24,1.275,1.2778,1.2778,1.275
804,2019-01-24,1.275,1.2789,1.275,1.2789
803,2019-01-24,1.2747,1.275,1.275,1.2747
802,2019-01-24,1.275,1.275,1.275,1.275
801,2019-01-24,1.27,1.2799,1.27,1.275
800,2019-01-24,1.28,1.28,1.28,1.28
799,2019-01-24,1.275,1.275,1.275,1.275
798,2019-01-24,1.275,1.275,1.275,1.275
797,2019-01-24,1.275,1.275,1.275,1.275
796,2019-01-24,1.2727,1.275,1.275,1.275
795,2019-01-24,1.2701,1.275,1.275,1.275
794,2019-01-24,1.2733,1.2799,1.2799,1.2733
793,2019-01-24,1.27,1.2755,1.27,1.2755
792,2019-01-24,1.2701,1.28,1.28,1.2701
791,2019-01-24,1.275,1.28,1.28,1.275
790,2019-01-24,1.275,1.28,1.275,1.2799
