,Date,Low,High,Close,Open
1104,2019-01-30,18.36,18.42,18.4,18.36
1103,2019-01-30,18.3,18.37,18.36,18.34
1102,2019-01-30,18.31,18.36,18.335,18.31
1101,2019-01-30,18.26,18.3,18.29,18.29
1100,2019-01-30,18.2,18.3,18.29,18.2
1099,2019-01-30,18.16,18.2,18.1919,18.16
1098,2019-01-30,18.185,18.22,18.185,18.2
1097,2019-01-30,18.2,18.285,18.2,18.285
1096,2019-01-30,18.24,18.285,18.28,18.24
1095,2019-01-30,18.23,18.29,18.25,18.28
1094,2019-01-30,18.24,18.43,18.24,18.43
1093,2019-01-30,18.36,18.41,18.4,18.37
1092,2019-01-30,18.36,18.47,18.37,18.45
1091,2019-01-29,18.13,18.185,18.13,18.14
1090,2019-01-29,18.13,18.165,18.135,18.165
1089,2019-01-29,18.16,18.225,18.165,18.22
1088,2019-01-29,18.21,18.23,18.23,18.21
1087,2019-01-29,18.18,18.21,18.21,18.2
1086,2019-01-29,18.2,18.22,18.205,18.2
1085,2019-01-29,18.18,18.205,18.195,18.2
1084,2019-01-29,18.19,18.22,18.2,18.19
1083,2019-01-29,18.17,18.19,18.19,18.17
1082,2019-01-29,18.16,18.17,18.16,18.16
1081,2019-01-29,18.12,18.155,18.155,18.12
1080,2019-01-29,18.11,18.125,18.125,18.11
1079,2019-01-29,18.11,18.145,18.11,18.145
1078,2019-01-29,18.1,18.14,18.14,18.11
1077,2019-01-29,18.105,18.135,18.11,18.13
1076,2019-01-29,18.125,18.145,18.13,18.14
1075,2019-01-29,18.14,18.19,18.14,18.185
1074,2019-01-29,18.17,18.195,18.185,18.18
1073,2019-01-29,18.1,18.18,18.18,18.11
1072,2019-01-29,18.09,18.105,18.105,18.095
1071,2019-01-29,18.09,18.13,18.095,18.13
1070,2019-01-29,18.11,18.1345,18.12,18.12
1069,2019-01-29,18.13,18.16,18.13,18.15
1068,2019-01-29,18.15,18.16,18.155,18.15
1067,2019-01-29,18.12,18.16,18.16,18.12
1066,2019-01-29,18.12,18.14,18.13,18.125
1065,2019-01-29,18.12,18.125,18.12,18.125
1064,2019-01-29,18.1,18.125,18.125,18.11
1063,2019-01-29,18.105,18.115,18.11,18.105
1062,2019-01-29,18.115,18.14,18.115,18.14
1061,2019-01-29,18.13,18.15,18.14,18.13
1060,2019-01-29,18.13,18.165,18.135,18.13
1059,2019-01-29,18.12,18.13,18.13,18.12
1058,2019-01-29,18.11,18.14,18.12,18.13
1057,2019-01-29,18.1,18.13,18.13,18.105
1056,2019-01-29,18.09,18.1,18.1,18.09
1055,2019-01-29,18.075,18.105,18.09,18.075
1054,2019-01-29,18.06,18.075,18.07,18.06
1053,2019-01-29,18.04,18.075,18.055,18.04
1052,2019-01-29,18.035,18.045,18.04,18.04
1051,2019-01-29,18.035,18.05,18.04,18.05
1050,2019-01-29,18.03,18.055,18.05,18.04
1049,2019-01-29,18.03,18.07,18.03,18.07
1048,2019-01-29,18.045,18.09,18.075,18.045
1047,2019-01-29,18.035,18.05,18.05,18.04
1046,2019-01-29,17.93,18.03,18.03,17.93
1045,2019-01-29,17.905,17.935,17.935,17.915
1044,2019-01-29,17.905,17.945,17.91,17.94
1043,2019-01-29,17.94,17.98,17.94,17.96
1042,2019-01-29,17.955,17.975,17.96,17.975
1041,2019-01-29,17.96,18.0,17.97,17.995
1040,2019-01-29,17.985,18.035,17.985,18.035
1039,2019-01-29,18.0,18.04,18.035,18.0
1038,2019-01-29,17.98,18.015,18.015,17.98
1037,2019-01-29,17.97,18.025,17.97,17.97
1036,2019-01-29,17.96,18.02,17.96,18.01
1035,2019-01-29,17.99,18.01,18.0,17.995
1034,2019-01-29,17.99,18.03,17.99,18.03
1033,2019-01-29,17.99,18.025,18.02,18.005
1032,2019-01-29,17.975,18.02,18.0,17.995
1031,2019-01-29,17.985,18.03,18.015,18.03
1030,2019-01-29,18.035,18.07,18.035,18.07
1029,2019-01-29,18.04,18.08,18.05,18.075
1028,2019-01-29,18.0775,18.12,18.0775,18.1
1027,2019-01-29,18.09,18.16,18.1,18.155
1026,2019-01-29,18.14,18.205,18.14,18.205
1025,2019-01-29,18.17,18.21,18.2,18.19
1024,2019-01-29,18.17,18.22,18.185,18.17
1023,2019-01-29,18.145,18.18,18.17,18.18
1022,2019-01-29,18.15,18.215,18.2,18.175
1021,2019-01-29,18.17,18.25,18.17,18.25
1020,2019-01-29,18.195,18.27,18.255,18.24
1019,2019-01-29,18.215,18.28,18.215,18.28
1018,2019-01-29,18.24,18.27,18.26,18.27
1017,2019-01-29,18.21,18.29,18.27,18.21
1016,2019-01-29,18.22,18.3,18.23,18.3
1015,2019-01-29,18.23,18.39,18.32,18.38
