,Date,Low,High,Close,Open
1105,2019-01-30,333.08,334.14,333.46,333.615
1104,2019-01-30,332.885,333.86,333.58,332.92
1103,2019-01-30,332.69,333.88,332.85,332.77
1102,2019-01-30,332.25,332.87,332.62,332.25
1101,2019-01-30,331.45,332.96,332.21,332.96
1100,2019-01-30,332.0,333.18,332.97,332.2157
1099,2019-01-30,331.98,333.0,332.3,332.785
1098,2019-01-30,332.66,334.454,332.66,334.39
1097,2019-01-30,334.2,335.58,334.4,335.185
1096,2019-01-30,334.6,335.85,335.17,335.0617
1095,2019-01-30,334.48,336.71,334.72,336.4
1094,2019-01-30,335.4849,336.825,336.23,335.86
1093,2019-01-30,333.47,335.8,335.7,334.2
1092,2019-01-30,332.31,334.9,334.27,332.94
1091,2019-01-29,328.794,329.2,328.87,328.87
1090,2019-01-29,328.48,328.9,328.7,328.85
1089,2019-01-29,328.6839,329.36,328.8,329.24
1088,2019-01-29,328.76,329.25,329.17,328.91
1087,2019-01-29,328.42,328.85,328.83,328.71
1086,2019-01-29,328.68,329.84,328.7,329.75
1085,2019-01-29,329.6,329.81,329.72,329.78
1084,2019-01-29,329.3001,329.78,329.78,329.54
1083,2019-01-29,329.3,329.5409,329.45,329.35
1082,2019-01-29,329.163,329.54,329.28,329.54
1081,2019-01-29,328.9872,329.63,329.4,328.9872
1080,2019-01-29,328.3,328.988,328.9201,328.41
1079,2019-01-29,328.43,329.13,328.5995,329.06
1078,2019-01-29,328.58,329.06,329.06,328.8406
1077,2019-01-29,328.43,329.0699,328.887,329.04
1076,2019-01-29,328.77,329.16,328.97,329.16
1075,2019-01-29,329.17,329.65,329.41,329.585
1074,2019-01-29,329.12,329.82,329.575,329.3
1073,2019-01-29,329.24,330.13,329.49,329.99
1072,2019-01-29,329.84,330.31,330.0,330.31
1071,2019-01-29,330.0,330.375,330.28,330.35
1070,2019-01-29,330.2115,330.92,330.39,330.85
1069,2019-01-29,330.7,331.2,330.785,330.7
1068,2019-01-29,329.99,330.66,330.58,330.1152
1067,2019-01-29,329.96,330.15,330.0685,330.04
1066,2019-01-29,329.92,330.36,329.92,330.06
1065,2019-01-29,329.8,330.3,330.07,330.17
1064,2019-01-29,329.82,330.66,330.195,330.03
1063,2019-01-29,329.5649,330.04,330.04,329.585
1062,2019-01-29,329.5,329.7664,329.65,329.7531
1061,2019-01-29,329.35,329.72,329.72,329.58
1060,2019-01-29,329.45,329.96,329.7284,329.828
1059,2019-01-29,329.56,329.97,329.7627,329.56
1058,2019-01-29,329.4623,330.22,329.51,330.22
1057,2019-01-29,329.72,330.05,330.0,329.72
1056,2019-01-29,329.5,329.9,329.7028,329.9
1055,2019-01-29,329.82,330.3612,330.05,330.18
1054,2019-01-29,329.74,330.18,329.99,330.0254
1053,2019-01-29,329.5,330.15,329.8021,329.605
1052,2019-01-29,329.52,330.35,329.71,330.26
1051,2019-01-29,329.94,330.38,330.26,330.29
1050,2019-01-29,329.8037,330.88,330.24,330.8
1049,2019-01-29,330.8,331.1395,330.94,331.05
1048,2019-01-29,330.81,331.35,331.15,331.065
1047,2019-01-29,330.71,331.398,331.08,331.398
1046,2019-01-29,330.22,331.7,331.4382,330.22
1045,2019-01-29,329.64,330.5,330.23,329.64
1044,2019-01-29,329.35,329.9,329.73,329.71
1043,2019-01-29,329.2017,330.3,329.65,329.48
1042,2019-01-29,329.35,329.8122,329.55,329.8122
1041,2019-01-29,329.61,330.52,329.7,330.52
1040,2019-01-29,329.95,330.57,330.3232,330.25
1039,2019-01-29,330.0484,330.98,330.3201,330.3162
1038,2019-01-29,329.12,330.26,330.26,329.12
1037,2019-01-29,328.42,329.26,328.85,328.6
1036,2019-01-29,328.45,329.54,328.6,329.2
1035,2019-01-29,329.09,330.0929,329.3187,329.9699
1034,2019-01-29,329.57,330.4,329.82,330.2281
1033,2019-01-29,330.0,331.25,330.0,330.075
1032,2019-01-29,328.75,330.38,330.18,328.96
1031,2019-01-29,328.1925,329.317,329.01,329.317
1030,2019-01-29,329.0,330.06,329.29,330.06
1029,2019-01-29,329.27,331.54,330.06,331.54
1028,2019-01-29,331.31,332.47,331.3224,332.1
1027,2019-01-29,332.0776,333.09,332.24,332.69
1026,2019-01-29,332.75,334.7,332.75,334.7
1025,2019-01-29,333.6,334.6,334.6,334.0
1024,2019-01-29,333.57,334.2732,333.99,334.05
1023,2019-01-29,333.61,334.2,334.1891,333.7
1022,2019-01-29,333.649,334.58,333.649,334.32
1021,2019-01-29,334.25,335.97,334.59,335.78
1020,2019-01-29,334.89,336.155,335.64,334.89
1019,2019-01-29,334.2972,335.44,334.6505,334.44
1018,2019-01-29,334.08,334.71,334.5264,334.285
1017,2019-01-29,333.77,336.0,334.38,333.9344
1016,2019-01-29,333.5,337.0,334.06,337.0
1015,2019-01-29,337.0,338.04,337.4425,337.89
1014,2019-01-29,335.45,338.19,337.82,335.94
1013,2019-01-28,334.61,335.7,335.65,334.61
1012,2019-01-28,334.45,334.8984,334.73,334.8984
1011,2019-01-28,334.6955,335.88,334.77,335.45
1010,2019-01-28,335.1856,336.03,335.36,335.96
1009,2019-01-28,335.55,336.28,336.0,335.5646
1008,2019-01-28,335.1,335.6293,335.6293,335.44
1007,2019-01-28,335.2,336.0,335.4514,335.75
1006,2019-01-28,334.99,335.85,335.77,334.99
1005,2019-01-28,334.52,334.97,334.88,334.89
1004,2019-01-28,334.3117,334.91,334.87,334.44
1003,2019-01-28,334.06,334.84,334.36,334.73
1002,2019-01-28,334.34,334.91,334.73,334.73
1001,2019-01-28,334.53,334.8345,334.67,334.53
1000,2019-01-28,333.6,334.5131,334.45,333.6
999,2019-01-28,332.87,333.54,333.54,332.96
998,2019-01-28,332.5,333.0,332.77,333.0
997,2019-01-28,332.7,333.2,333.1,332.84
996,2019-01-28,332.86,333.1113,332.9974,332.9
995,2019-01-28,332.6,332.9,332.8266,332.6
994,2019-01-28,332.48,333.16,332.66,332.8
993,2019-01-28,332.7992,333.15,332.8949,332.8
