,Date,Low,High,Close,Open
1108,2019-01-30,2.22,2.23,2.2233,2.22
1107,2019-01-30,2.2137,2.23,2.23,2.22
1106,2019-01-30,2.2,2.22,2.22,2.2
1105,2019-01-30,2.2,2.21,2.2,2.205
1104,2019-01-30,2.2,2.21,2.205,2.21
1103,2019-01-30,2.1922,2.2008,2.2008,2.1922
1102,2019-01-30,2.19,2.2,2.195,2.19
1101,2019-01-30,2.19,2.2,2.19,2.19
1100,2019-01-30,2.195,2.2,2.195,2.2
1099,2019-01-30,2.19,2.2,2.19,2.2
1098,2019-01-30,2.1891,2.2,2.1999,2.19
1097,2019-01-30,2.18,2.1978,2.1922,2.18
1096,2019-01-30,2.1729,2.1884,2.1729,2.1884
1095,2019-01-30,2.18,2.1869,2.18,2.1869
1094,2019-01-30,2.18,2.2022,2.18,2.2
1093,2019-01-30,2.19,2.2022,2.2022,2.2
1092,2019-01-30,2.205,2.22,2.2135,2.2056
1091,2019-01-29,2.18,2.19,2.18,2.18
1090,2019-01-29,2.18,2.195,2.18,2.185
1089,2019-01-29,2.185,2.19,2.19,2.19
1088,2019-01-29,2.185,2.2,2.19,2.19
1087,2019-01-29,2.19,2.2,2.195,2.19
1086,2019-01-29,2.19,2.2,2.19,2.2
1085,2019-01-29,2.19,2.2,2.19,2.2
1084,2019-01-29,2.19,2.195,2.19,2.19
1083,2019-01-29,2.19,2.2,2.19,2.2
1082,2019-01-29,2.19,2.2,2.1901,2.1922
1081,2019-01-29,2.18,2.195,2.19,2.1801
1080,2019-01-29,2.185,2.19,2.1878,2.19
1079,2019-01-29,2.18,2.19,2.19,2.19
1078,2019-01-29,2.185,2.19,2.1891,2.19
1077,2019-01-29,2.17,2.19,2.19,2.17
1076,2019-01-29,2.17,2.18,2.17,2.1799
1075,2019-01-29,2.17,2.18,2.175,2.17
1074,2019-01-29,2.17,2.18,2.18,2.175
1073,2019-01-29,2.17,2.1807,2.1782,2.18
1072,2019-01-29,2.17,2.18,2.18,2.17
1071,2019-01-29,2.17,2.179,2.175,2.175
