,Date,Low,High,Close,Open
1106,2019-01-30,134.16,134.64,134.5712,134.16
1105,2019-01-30,133.88,134.7536,134.125,134.66
1104,2019-01-30,133.78,134.44,134.3711,133.78
1103,2019-01-30,133.145,133.84,133.76,133.145
1102,2019-01-30,133.07,133.6299,133.15,133.325
1101,2019-01-30,132.1812,133.31,133.31,132.6
1100,2019-01-30,131.8352,132.7,132.5665,131.84
1099,2019-01-30,131.485,132.03,131.89,131.7632
1098,2019-01-30,131.79,132.4936,131.79,132.23
1097,2019-01-30,131.97,133.15,132.22,133.08
1096,2019-01-30,132.33,133.5,133.1784,132.7
1095,2019-01-30,132.54,134.44,132.65,134.1
1094,2019-01-30,133.31,134.5,134.1,134.145
1093,2019-01-30,133.88,135.12,134.05,134.98
1092,2019-01-30,134.0,135.25,134.9913,134.65
1091,2019-01-29,131.12,131.6,131.6,131.19
1090,2019-01-29,131.01,131.4,131.17,131.3
1089,2019-01-29,131.29,131.98,131.35,131.98
1088,2019-01-29,131.71,131.955,131.955,131.78
1087,2019-01-29,131.72,132.015,131.785,132.0
1086,2019-01-29,131.981,132.49,131.981,132.29
1085,2019-01-29,132.1,132.2906,132.27,132.27
1084,2019-01-29,132.03,132.29,132.29,132.03
1083,2019-01-29,131.85,132.17,132.0,132.155
1082,2019-01-29,132.13,132.32,132.17,132.23
1081,2019-01-29,132.11,132.36,132.21,132.21
1080,2019-01-29,132.003,132.28,132.24,132.1336
1079,2019-01-29,131.89,132.1854,132.1,131.89
1078,2019-01-29,131.6887,131.885,131.885,131.6887
1077,2019-01-29,131.68,132.29,131.68,132.08
1076,2019-01-29,132.0,132.2799,132.08,132.19
1075,2019-01-29,131.86,132.35,132.2378,131.9
1074,2019-01-29,131.605,132.0,131.9115,131.73
1073,2019-01-29,131.5694,131.8054,131.7337,131.6
1072,2019-01-29,131.52,132.0099,131.61,132.0
1071,2019-01-29,131.99,132.26,132.03,132.24
1070,2019-01-29,132.2301,132.45,132.2301,132.36
1069,2019-01-29,132.24,132.53,132.34,132.24
1068,2019-01-29,131.99,132.35,132.25,132.06
1067,2019-01-29,132.01,132.29,132.05,132.01
1066,2019-01-29,131.98,132.368,132.06,132.33
1065,2019-01-29,132.055,132.4125,132.34,132.32
1064,2019-01-29,131.7389,132.3997,132.29,131.7389
1063,2019-01-29,131.5,131.76,131.72,131.67
1062,2019-01-29,131.5778,131.8,131.688,131.65
1061,2019-01-29,131.35,131.7,131.65,131.532
1060,2019-01-29,131.5,131.78,131.56,131.665
1059,2019-01-29,131.58,132.04,131.68,131.86
1058,2019-01-29,131.84,132.26,131.86,132.15
1057,2019-01-29,131.84,132.3,132.1307,132.142
1056,2019-01-29,131.91,132.24,132.15,132.21
1055,2019-01-29,132.1248,132.7995,132.23,132.65
1054,2019-01-29,132.4,132.71,132.64,132.4
1053,2019-01-29,131.92,132.42,132.365,132.035
1052,2019-01-29,131.79,132.26,132.0101,131.96
1051,2019-01-29,131.81,132.09,131.94,131.88
1050,2019-01-29,131.68,132.16,131.85,132.11
1049,2019-01-29,132.0199,132.4901,132.17,132.4901
1048,2019-01-29,132.45,132.82,132.5,132.7766
1047,2019-01-29,132.56,133.0993,132.7614,133.0236
1046,2019-01-29,132.9701,133.26,133.0,133.17
1045,2019-01-29,133.15,133.41,133.17,133.17
1044,2019-01-29,132.81,133.2185,133.18,133.015
1043,2019-01-29,133.0,133.46,133.0,133.35
1042,2019-01-29,132.97,133.51,133.3536,133.406
1041,2019-01-29,133.3,133.6048,133.4,133.6015
1040,2019-01-29,133.4142,133.98,133.56,133.96
1039,2019-01-29,133.98,134.35,133.98,134.25
1038,2019-01-29,133.91,134.28,134.26,133.95
1037,2019-01-29,133.5201,133.98,133.82,133.62
1036,2019-01-29,133.61,134.02,133.61,133.79
1035,2019-01-29,133.76,134.25,133.76,134.055
1034,2019-01-29,133.834,134.2,134.06,134.1201
1033,2019-01-29,133.29,134.1528,134.1528,133.48
1032,2019-01-29,133.24,133.8294,133.46,133.331
1031,2019-01-29,133.22,133.9996,133.37,133.9783
1030,2019-01-29,133.69,134.92,134.0436,134.8608
1029,2019-01-29,134.7,135.42,134.87,135.28
1028,2019-01-29,135.0,135.47,135.27,135.47
1027,2019-01-29,135.3969,136.11,135.3969,135.8499
1026,2019-01-29,135.7359,136.8,135.79,136.65
1025,2019-01-29,135.75,136.76,136.5486,135.75
1024,2019-01-29,135.05,135.94,135.735,135.08
1023,2019-01-29,134.46,135.25,135.14,135.03
1022,2019-01-29,134.9385,135.3,135.025,135.01
1021,2019-01-29,134.8901,135.55,135.07,135.15
1020,2019-01-29,134.86,135.6,135.19,134.95
1019,2019-01-29,134.96,136.24,135.0,136.0857
1018,2019-01-29,135.5,136.28,136.07,135.8407
1017,2019-01-29,135.0,136.5,135.7867,135.03
1016,2019-01-29,135.0,136.13,135.08,135.6
1015,2019-01-29,134.83,137.51,135.66,137.51
1014,2019-01-29,135.23,138.1,137.6159,136.1727
1013,2019-01-28,137.8,138.15,137.94,137.8
1012,2019-01-28,137.0,137.79,137.76,137.295
1011,2019-01-28,137.31,137.78,137.31,137.45
1010,2019-01-28,137.32,138.0,137.415,137.93
1009,2019-01-28,137.88,138.13,137.9349,138.13
1008,2019-01-28,137.77,138.2236,138.1335,138.02
1007,2019-01-28,137.76,138.27,138.0208,138.27
1006,2019-01-28,137.8835,138.4528,138.265,137.92
1005,2019-01-28,137.68,137.97,137.935,137.75
1004,2019-01-28,137.0001,137.75,137.73,137.1
1003,2019-01-28,136.76,137.16,137.13,137.02
1002,2019-01-28,136.931,137.25,137.01,136.95
1001,2019-01-28,136.85,137.38,136.98,137.31
1000,2019-01-28,137.11,137.45,137.2665,137.11
999,2019-01-28,136.59,137.1323,137.11,136.59
998,2019-01-28,136.3588,136.68,136.55,136.65
997,2019-01-28,136.58,137.03,136.66,137.01
996,2019-01-28,136.6001,137.2474,137.05,136.7801
995,2019-01-28,136.1893,136.84,136.8,136.25
994,2019-01-28,136.0922,136.5,136.275,136.0922
993,2019-01-28,135.13,136.15,136.08,135.21
992,2019-01-28,135.2441,135.48,135.26,135.45
991,2019-01-28,135.22,135.53,135.47,135.22
990,2019-01-28,135.14,135.55,135.225,135.46
989,2019-01-28,135.2,135.54,135.45,135.51
988,2019-01-28,135.34,135.55,135.52,135.53
987,2019-01-28,135.1772,135.67,135.4601,135.21
986,2019-01-28,135.06,135.715,135.27,135.6496
985,2019-01-28,135.52,135.98,135.65,135.82
984,2019-01-28,135.75,136.48,135.81,136.2499
983,2019-01-28,135.95,136.5,136.25,136.31
982,2019-01-28,136.19,136.59,136.31,136.37
981,2019-01-28,135.53,136.4,136.3248,135.7299
980,2019-01-28,135.37,136.14,135.77,136.08
979,2019-01-28,135.92,136.38,136.0577,135.96
978,2019-01-28,135.77,136.4314,135.965,136.39
977,2019-01-28,136.19,136.96,136.39,136.75
976,2019-01-28,136.7,137.8,136.76,137.63
975,2019-01-28,137.47,138.11,137.59,137.93
974,2019-01-28,137.905,138.66,137.905,138.5001
973,2019-01-28,137.92,138.57,138.5134,138.57
972,2019-01-28,138.19,138.786,138.63,138.535
971,2019-01-28,138.4401,138.93,138.51,138.7987
970,2019-01-28,137.7601,138.85,138.7484,137.85
969,2019-01-28,137.314,138.13,137.814,137.51
968,2019-01-28,137.33,137.72,137.51,137.597
967,2019-01-28,137.12,137.71,137.5884,137.2
966,2019-01-28,136.85,137.6,137.2427,137.05
965,2019-01-28,137.0,137.82,137.08,137.7401
964,2019-01-28,137.35,137.93,137.7576,137.41
963,2019-01-28,136.5425,137.43,137.3691,136.87
962,2019-01-28,136.6601,137.49,136.74,136.88
961,2019-01-28,136.8501,137.76,136.89,137.7304
960,2019-01-28,137.67,138.5,137.785,138.3
959,2019-01-28,138.02,138.8938,138.2,138.89
958,2019-01-28,138.7637,139.93,138.88,139.53
957,2019-01-28,139.03,140.3253,139.54,140.3253
956,2019-01-28,140.15,140.96,140.36,140.32
955,2019-01-28,139.71,140.7188,140.4,139.72
954,2019-01-28,138.92,139.81,139.75,139.59
953,2019-01-28,139.605,141.4,139.61,141.0
952,2019-01-28,139.915,141.3,140.96,140.42
951,2019-01-28,140.4,141.5951,140.4518,140.945
950,2019-01-28,139.49,141.04,140.9223,139.53
949,2019-01-28,139.32,140.28,139.49,139.8
948,2019-01-28,138.23,139.86,139.81,138.285
947,2019-01-28,137.665,138.36,138.36,138.15
946,2019-01-28,137.2502,138.67,138.1,137.62
945,2019-01-28,136.5631,137.67,137.6,136.59
944,2019-01-28,135.93,136.93,136.61,136.17
943,2019-01-28,134.63,136.465,136.14,134.8601
942,2019-01-28,134.7,136.04,135.01,135.91
941,2019-01-28,134.16,136.085,135.8267,134.337
940,2019-01-28,132.4,134.96,134.345,132.81
939,2019-01-28,131.41,133.055,132.84,131.93
938,2019-01-28,131.0,132.42,131.8712,132.4
937,2019-01-28,131.01,133.45,132.36,133.45
936,2019-01-28,131.72,137.94,133.5432,136.25
935,2019-01-25,159.83,160.2,160.14,159.89
934,2019-01-25,159.75,160.0,159.87,159.97
933,2019-01-25,159.81,160.19,159.99,160.19
932,2019-01-25,159.9508,160.3102,160.1399,160.02
931,2019-01-25,159.6,160.01,160.01,159.77
930,2019-01-25,159.57,160.0,159.74,159.92
929,2019-01-25,159.68,160.2,159.88,160.045
928,2019-01-25,159.92,160.15,160.06,160.12
927,2019-01-25,159.825,160.25,160.1,159.86
926,2019-01-25,159.61,159.93,159.83,159.61
925,2019-01-25,159.52,160.3,159.6163,160.3
924,2019-01-25,160.02,160.32,160.32,160.21
923,2019-01-25,160.12,160.49,160.187,160.27
922,2019-01-25,159.75,160.47,160.3528,160.02
921,2019-01-25,160.0,160.2445,160.0,160.11
920,2019-01-25,159.7,160.22,160.1617,159.81
919,2019-01-25,159.25,159.81,159.81,159.461
918,2019-01-25,159.0939,159.55,159.5023,159.28
917,2019-01-25,159.1331,160.0609,159.32,160.0609
916,2019-01-25,159.78,160.3,160.1,160.3
915,2019-01-25,160.06,160.65,160.21,160.5
914,2019-01-25,160.37,160.7364,160.55,160.71
913,2019-01-25,159.98,160.87,160.7652,160.108
912,2019-01-25,159.91,160.26,160.08,160.1987
911,2019-01-25,160.07,160.37,160.14,160.37
910,2019-01-25,160.2,160.64,160.42,160.29
909,2019-01-25,160.1315,160.38,160.29,160.1383
908,2019-01-25,159.9067,160.35,160.0974,160.27
907,2019-01-25,159.84,160.269,160.2217,159.84
906,2019-01-25,159.74,160.72,159.8,160.44
905,2019-01-25,159.87,160.55,160.45,159.927
904,2019-01-25,159.49,160.08,159.94,159.58
903,2019-01-25,159.27,159.9,159.62,159.44
902,2019-01-25,159.21,159.66,159.46,159.66
901,2019-01-25,159.32,159.67,159.6684,159.51
900,2019-01-25,159.46,159.88,159.5,159.4838
899,2019-01-25,158.7709,159.47,159.46,159.03
898,2019-01-25,158.23,159.12,159.05,158.4304
897,2019-01-25,157.96,158.5756,158.435,158.56
896,2019-01-25,158.49,159.19,158.61,159.19
895,2019-01-25,158.45,159.19,159.16,158.4889
894,2019-01-25,158.16,158.83,158.53,158.78
893,2019-01-25,158.2728,159.0,158.82,158.31
892,2019-01-25,157.91,158.5,158.2972,158.15
891,2019-01-25,156.91,158.3,158.19,156.975
890,2019-01-25,156.07,157.16,156.96,156.09
889,2019-01-25,155.68,156.2426,156.12,155.75
888,2019-01-25,155.44,156.0,155.796,156.0
887,2019-01-25,155.8394,156.32,155.99,156.32
886,2019-01-25,155.49,156.35,156.3,155.68
885,2019-01-25,155.27,155.85,155.62,155.64
884,2019-01-25,154.97,155.79,155.59,155.13
883,2019-01-25,154.5,155.17,155.17,154.52
882,2019-01-25,154.29,154.64,154.59,154.33
881,2019-01-25,153.85,154.34,154.34,154.0437
880,2019-01-25,153.8028,154.06,154.06,153.88
879,2019-01-25,153.46,153.9,153.88,153.78
878,2019-01-25,153.71,154.23,153.85,154.2
877,2019-01-25,154.08,154.25,154.1771,154.09
876,2019-01-25,153.89,154.21,154.0805,153.89
875,2019-01-25,153.6992,154.06,153.88,153.91
874,2019-01-25,153.6,154.12,153.96,154.12
873,2019-01-25,154.035,154.76,154.15,154.76
872,2019-01-25,153.85,154.8,154.79,154.0129
871,2019-01-25,153.9,154.31,154.0,154.105
870,2019-01-25,153.55,154.4,154.1066,153.55
869,2019-01-25,153.27,153.89,153.49,153.34
868,2019-01-25,152.7,153.385,153.33,153.27
867,2019-01-25,153.0559,154.53,153.4,154.53
866,2019-01-25,154.2,154.95,154.5504,154.61
865,2019-01-25,154.53,154.8946,154.6601,154.791
