,Date,Low,High,Close,Open
402,2019-01-30,0.3625,0.3625,0.3625,0.3625
401,2019-01-30,0.3681,0.37,0.3681,0.37
400,2019-01-30,0.365,0.365,0.365,0.365
399,2019-01-30,0.36,0.36,0.36,0.36
398,2019-01-30,0.3568,0.3568,0.3568,0.3568
397,2019-01-30,0.3501,0.3501,0.3501,0.3501
396,2019-01-30,0.36,0.36,0.36,0.36
395,2019-01-30,0.3541,0.3541,0.3541,0.3541
394,2019-01-29,0.355,0.355,0.355,0.355
393,2019-01-29,0.3599,0.3599,0.3599,0.3599
392,2019-01-29,0.3599,0.3599,0.3599,0.3599
391,2019-01-29,0.3565,0.3565,0.3565,0.3565
390,2019-01-29,0.3525,0.3525,0.3525,0.3525
389,2019-01-29,0.3501,0.3575,0.3501,0.3575
388,2019-01-29,0.36,0.36,0.36,0.36
387,2019-01-29,0.36,0.36,0.36,0.36
386,2019-01-29,0.36,0.36,0.36,0.36
385,2019-01-29,0.3509,0.3563,0.3563,0.3509
384,2019-01-29,0.36,0.36,0.36,0.36
383,2019-01-29,0.3588,0.36,0.36,0.3588
382,2019-01-29,0.3502,0.3502,0.3502,0.3502
381,2019-01-29,0.3502,0.3519,0.3519,0.3502
380,2019-01-29,0.355,0.355,0.355,0.355
379,2019-01-29,0.36,0.36,0.36,0.36
378,2019-01-28,0.36,0.36,0.36,0.36
377,2019-01-28,0.3513,0.36,0.3513,0.36
376,2019-01-28,0.36,0.36,0.36,0.36
375,2019-01-28,0.355,0.3575,0.355,0.3575
374,2019-01-28,0.36,0.36,0.36,0.36
373,2019-01-28,0.36,0.36,0.36,0.36
372,2019-01-28,0.36,0.36,0.36,0.36
371,2019-01-28,0.3558,0.3558,0.3558,0.3558
370,2019-01-28,0.355,0.356,0.356,0.355
369,2019-01-28,0.355,0.3607,0.355,0.3607
368,2019-01-28,0.3553,0.3553,0.3553,0.3553
367,2019-01-28,0.352,0.352,0.352,0.352
366,2019-01-28,0.35,0.3665,0.3665,0.35
365,2019-01-28,0.35,0.35,0.35,0.35
364,2019-01-28,0.355,0.355,0.355,0.355
363,2019-01-28,0.3665,0.3665,0.3665,0.3665
362,2019-01-28,0.36,0.3634,0.36,0.3634
361,2019-01-28,0.3565,0.3565,0.3565,0.3565
360,2019-01-28,0.355,0.355,0.355,0.355
359,2019-01-28,0.35,0.35,0.35,0.35
358,2019-01-28,0.3609,0.3609,0.3609,0.3609
357,2019-01-28,0.367,0.367,0.367,0.367
356,2019-01-28,0.367,0.367,0.367,0.367
355,2019-01-28,0.3611,0.3611,0.3611,0.3611
354,2019-01-25,0.36,0.3625,0.36,0.3625
353,2019-01-25,0.3601,0.3601,0.3601,0.3601
352,2019-01-25,0.365,0.37,0.365,0.368
351,2019-01-25,0.3606,0.3606,0.3606,0.3606
350,2019-01-25,0.368,0.368,0.368,0.368
349,2019-01-25,0.3649,0.3649,0.3649,0.3649
348,2019-01-25,0.3605,0.37,0.368,0.37
347,2019-01-25,0.37,0.3701,0.3701,0.37
346,2019-01-25,0.3791,0.3791,0.3791,0.3791
345,2019-01-25,0.3779,0.3779,0.3779,0.3779
344,2019-01-25,0.3756,0.3785,0.3785,0.3762
343,2019-01-25,0.3774,0.3774,0.3774,0.3774
342,2019-01-25,0.375,0.375,0.375,0.375
341,2019-01-25,0.3757,0.376,0.3757,0.376
340,2019-01-25,0.375,0.376,0.376,0.375
339,2019-01-25,0.375,0.375,0.375,0.375
338,2019-01-25,0.3749,0.375,0.375,0.3749
337,2019-01-25,0.375,0.375,0.375,0.375
336,2019-01-25,0.375,0.375,0.375,0.375
335,2019-01-25,0.37,0.375,0.3749,0.37
334,2019-01-25,0.365,0.3675,0.3669,0.3675
333,2019-01-25,0.37,0.37,0.37,0.37
332,2019-01-25,0.37,0.37,0.37,0.37
331,2019-01-25,0.37,0.37,0.37,0.37
330,2019-01-25,0.37,0.37,0.37,0.37
329,2019-01-25,0.3711,0.3731,0.3711,0.3731
328,2019-01-25,0.375,0.3795,0.375,0.3795
327,2019-01-25,0.37,0.375,0.375,0.37
326,2019-01-25,0.37,0.3707,0.3702,0.37
325,2019-01-25,0.3652,0.3674,0.3674,0.3652
324,2019-01-25,0.36,0.36,0.36,0.36
323,2019-01-25,0.3633,0.3695,0.3695,0.3695
322,2019-01-25,0.3695,0.3695,0.3695,0.3695
321,2019-01-25,0.358,0.36,0.36,0.358
320,2019-01-25,0.357,0.357,0.357,0.357
319,2019-01-25,0.358,0.358,0.358,0.358
318,2019-01-25,0.358,0.358,0.358,0.358
317,2019-01-25,0.355,0.355,0.355,0.355
316,2019-01-25,0.35,0.36,0.36,0.35
315,2019-01-25,0.3512,0.3512,0.3512,0.3512
314,2019-01-25,0.3512,0.361,0.3512,0.361
313,2019-01-25,0.361,0.366,0.361,0.3626
312,2019-01-25,0.3626,0.365,0.3626,0.3626
311,2019-01-25,0.359,0.36,0.36,0.359
310,2019-01-25,0.3502,0.355,0.355,0.3502
309,2019-01-25,0.3518,0.3518,0.3518,0.3518
308,2019-01-25,0.35,0.35,0.35,0.35
307,2019-01-25,0.3507,0.3507,0.3507,0.3507
306,2019-01-25,0.3511,0.3511,0.3511,0.3511
305,2019-01-24,0.3447,0.345,0.345,0.3447
304,2019-01-24,0.3447,0.3449,0.3449,0.3447
303,2019-01-24,0.343,0.343,0.343,0.343
302,2019-01-24,0.3432,0.3432,0.3432,0.3432
301,2019-01-24,0.3432,0.3432,0.3432,0.3432
300,2019-01-24,0.3449,0.3449,0.3449,0.3449
299,2019-01-24,0.345,0.345,0.345,0.345
