,Date,Low,High,Close,Open
1109,2019-01-30,1.39,1.395,1.39,1.395
1108,2019-01-30,1.4,1.41,1.4028,1.41
1107,2019-01-30,1.4,1.4096,1.4033,1.4096
1106,2019-01-30,1.395,1.3999,1.3987,1.3971
1105,2019-01-30,1.3887,1.4,1.39,1.3887
1104,2019-01-30,1.38,1.39,1.3889,1.38
1103,2019-01-30,1.37,1.38,1.38,1.375
1102,2019-01-30,1.37,1.37,1.37,1.37
1101,2019-01-30,1.37,1.38,1.37,1.37
1100,2019-01-30,1.37,1.38,1.375,1.37
1099,2019-01-30,1.38,1.39,1.38,1.38
1098,2019-01-30,1.38,1.385,1.385,1.385
1097,2019-01-30,1.38,1.4,1.38,1.4
1096,2019-01-30,1.4002,1.41,1.4002,1.41
1095,2019-01-30,1.4,1.4015,1.4,1.4015
1094,2019-01-30,1.41,1.41,1.41,1.41
1093,2019-01-30,1.41,1.42,1.41,1.41
1092,2019-01-30,1.4102,1.42,1.4102,1.42
1091,2019-01-29,1.39,1.4,1.39,1.4
1090,2019-01-29,1.39,1.4,1.4,1.4
1089,2019-01-29,1.39,1.4,1.4,1.39
1088,2019-01-29,1.39,1.395,1.395,1.39
1087,2019-01-29,1.39,1.39,1.39,1.39
1086,2019-01-29,1.395,1.4,1.395,1.4
1085,2019-01-29,1.39,1.395,1.395,1.395
1084,2019-01-29,1.3905,1.399,1.399,1.3905
1083,2019-01-29,1.39,1.395,1.395,1.39
1082,2019-01-29,1.39,1.4,1.39,1.39
1081,2019-01-29,1.39,1.39,1.39,1.39
1080,2019-01-29,1.39,1.4,1.39,1.39
1079,2019-01-29,1.39,1.4,1.39,1.4
1078,2019-01-29,1.39,1.4,1.39,1.391
1077,2019-01-29,1.39,1.4,1.4,1.4
1076,2019-01-29,1.39,1.4,1.39,1.395
1075,2019-01-29,1.395,1.4,1.395,1.4
1074,2019-01-29,1.39,1.395,1.395,1.391
1073,2019-01-29,1.39,1.4,1.39,1.3913
1072,2019-01-29,1.39,1.39,1.39,1.39
1071,2019-01-29,1.39,1.4,1.39,1.395
1070,2019-01-29,1.39,1.4,1.4,1.39
