,Date,Low,High,Close,Open
1105,2019-01-30,49.77,49.85,49.8,49.79
1104,2019-01-30,49.68,49.82,49.78,49.68
1103,2019-01-30,49.5,49.71,49.67,49.51
1102,2019-01-30,49.465,49.53,49.52,49.53
1101,2019-01-30,49.47,49.71,49.52,49.71
1100,2019-01-30,49.63,49.78,49.74,49.64
1099,2019-01-30,49.529,49.7,49.65,49.7
1098,2019-01-30,49.68,49.8,49.7,49.78
1097,2019-01-30,49.74,49.87,49.8,49.84
1096,2019-01-30,49.82,49.94,49.82,49.86
1095,2019-01-30,49.8375,50.13,49.8375,49.96
1094,2019-01-30,49.92,50.3,49.95,50.26
1093,2019-01-30,50.08,50.37,50.26,50.09
1092,2019-01-30,49.79,50.13,50.09,49.8
1091,2019-01-29,49.37,49.49,49.39,49.455
1090,2019-01-29,49.34,49.46,49.45,49.4157
1089,2019-01-29,49.415,49.49,49.415,49.45
1088,2019-01-29,49.435,49.49,49.45,49.49
1087,2019-01-29,49.47,49.52,49.49,49.52
1086,2019-01-29,49.51,49.58,49.515,49.54
1085,2019-01-29,49.46,49.54,49.54,49.52
1084,2019-01-29,49.44,49.6,49.5174,49.44
1083,2019-01-29,49.4,49.44,49.44,49.405
1082,2019-01-29,49.395,49.4489,49.405,49.425
1081,2019-01-29,49.39,49.47,49.42,49.44
1080,2019-01-29,49.43,49.55,49.43,49.545
1079,2019-01-29,49.48,49.6,49.54,49.55
1078,2019-01-29,49.5,49.605,49.555,49.57
1077,2019-01-29,49.55,49.66,49.575,49.61
1076,2019-01-29,49.55,49.64,49.6068,49.56
1075,2019-01-29,49.49,49.565,49.55,49.505
1074,2019-01-29,49.485,49.575,49.5007,49.575
1073,2019-01-29,49.55,49.595,49.575,49.55
1072,2019-01-29,49.495,49.56,49.56,49.56
1071,2019-01-29,49.49,49.565,49.555,49.54
1070,2019-01-29,49.47,49.62,49.535,49.62
1069,2019-01-29,49.61,49.63,49.625,49.62
1068,2019-01-29,49.595,49.68,49.61,49.68
1067,2019-01-29,49.52,49.685,49.6838,49.52
1066,2019-01-29,49.5,49.57,49.53,49.5
1065,2019-01-29,49.51,49.62,49.51,49.56
1064,2019-01-29,49.48,49.58,49.55,49.5
1063,2019-01-29,49.475,49.5,49.5,49.475
1062,2019-01-29,49.48,49.63,49.48,49.63
1061,2019-01-29,49.62,49.77,49.63,49.76
1060,2019-01-29,49.66,49.79,49.78,49.675
1059,2019-01-29,49.63,49.735,49.69,49.6599
1058,2019-01-29,49.605,49.67,49.66,49.63
1057,2019-01-29,49.62,49.73,49.635,49.71
1056,2019-01-29,49.705,49.74,49.72,49.74
1055,2019-01-29,49.7,49.79,49.74,49.74
1054,2019-01-29,49.7131,49.7652,49.7337,49.74
1053,2019-01-29,49.73,49.76,49.74,49.735
1052,2019-01-29,49.71,49.765,49.73,49.725
1051,2019-01-29,49.7,49.76,49.73,49.7329
1050,2019-01-29,49.71,49.83,49.73,49.81
1049,2019-01-29,49.77,49.821,49.8,49.821
1048,2019-01-29,49.83,49.9,49.83,49.87
1047,2019-01-29,49.84,49.9,49.86,49.865
1046,2019-01-29,49.805,49.9,49.88,49.825
1045,2019-01-29,49.82,49.87,49.825,49.85
1044,2019-01-29,49.78,49.865,49.85,49.86
1043,2019-01-29,49.86,50.01,49.86,49.99
1042,2019-01-29,49.97,50.025,49.99,49.99
1041,2019-01-29,49.97,50.02,49.975,50.0
1040,2019-01-29,49.965,50.03,50.0,50.03
1039,2019-01-29,50.0,50.06,50.0261,50.04
1038,2019-01-29,50.02,50.09,50.055,50.06
1037,2019-01-29,49.99,50.14,50.055,49.995
1036,2019-01-29,49.99,50.04,50.0,50.0
1035,2019-01-29,49.96,50.015,49.98,49.98
1034,2019-01-29,49.96,50.115,49.985,50.1
1033,2019-01-29,50.0,50.15,50.095,50.01
1032,2019-01-29,49.99,50.08,50.02,50.0
1031,2019-01-29,49.89,50.14,50.0,50.14
1030,2019-01-29,50.08,50.2,50.14,50.17
1029,2019-01-29,50.13,50.245,50.19,50.225
1028,2019-01-29,50.21,50.38,50.22,50.38
1027,2019-01-29,50.37,50.58,50.37,50.58
1026,2019-01-29,50.56,50.72,50.57,50.68
1025,2019-01-29,50.63,50.675,50.67,50.63
1024,2019-01-29,50.63,50.75,50.64,50.73
1023,2019-01-29,50.69,50.76,50.725,50.74
1022,2019-01-29,50.72,50.76,50.74,50.755
1021,2019-01-29,50.73,50.83,50.74,50.76
1020,2019-01-29,50.57,50.76,50.76,50.59
1019,2019-01-29,50.58,50.69,50.58,50.67
1018,2019-01-29,50.545,50.665,50.665,50.56
1017,2019-01-29,50.52,50.68,50.54,50.58
1016,2019-01-29,50.38,50.57,50.56,50.39
1015,2019-01-29,50.29,50.44,50.4,50.33
1014,2019-01-29,50.22,50.595,50.36,50.5
1013,2019-01-28,50.52,50.67,50.67,50.64
1012,2019-01-28,50.59,50.68,50.645,50.65
1011,2019-01-28,50.61,50.73,50.655,50.725
1010,2019-01-28,50.67,50.74,50.72,50.7
1009,2019-01-28,50.66,50.715,50.705,50.66
1008,2019-01-28,50.585,50.66,50.66,50.6
1007,2019-01-28,50.58,50.62,50.59,50.62
1006,2019-01-28,50.55,50.62,50.62,50.58
1005,2019-01-28,50.53,50.58,50.58,50.54
1004,2019-01-28,50.48,50.545,50.545,50.5
1003,2019-01-28,50.48,50.57,50.5,50.57
1002,2019-01-28,50.56,50.63,50.57,50.59
1001,2019-01-28,50.59,50.7,50.59,50.69
1000,2019-01-28,50.67,50.77,50.6881,50.71
999,2019-01-28,50.64,50.71,50.71,50.64
998,2019-01-28,50.59,50.67,50.63,50.61
997,2019-01-28,50.57,50.645,50.62,50.64
996,2019-01-28,50.55,50.6478,50.6478,50.5601
995,2019-01-28,50.49,50.57,50.565,50.5
994,2019-01-28,50.48,50.56,50.5,50.48
993,2019-01-28,50.46,50.55,50.48,50.55
992,2019-01-28,50.55,50.63,50.55,50.61
991,2019-01-28,50.6,50.65,50.62,50.65
990,2019-01-28,50.65,50.71,50.66,50.65
989,2019-01-28,50.54,50.66,50.64,50.54
988,2019-01-28,50.51,50.54,50.54,50.52
987,2019-01-28,50.38,50.52,50.52,50.38
986,2019-01-28,50.33,50.3801,50.3801,50.335
985,2019-01-28,50.35,50.44,50.35,50.435
984,2019-01-28,50.37,50.44,50.44,50.37
983,2019-01-28,50.36,50.41,50.37,50.36
982,2019-01-28,50.345,50.42,50.36,50.395
981,2019-01-28,50.36,50.42,50.3951,50.38
980,2019-01-28,50.37,50.44,50.39,50.42
979,2019-01-28,50.35,50.42,50.4,50.39
978,2019-01-28,50.37,50.4001,50.3976,50.37
977,2019-01-28,50.37,50.47,50.38,50.455
976,2019-01-28,50.42,50.455,50.455,50.43
975,2019-01-28,50.42,50.455,50.43,50.44
974,2019-01-28,50.4,50.485,50.44,50.4747
973,2019-01-28,50.4,50.5,50.48,50.45
972,2019-01-28,50.45,50.535,50.45,50.52
971,2019-01-28,50.51,50.57,50.52,50.55
970,2019-01-28,50.52,50.62,50.55,50.56
969,2019-01-28,50.53,50.6201,50.565,50.53
968,2019-01-28,50.5001,50.56,50.525,50.5219
967,2019-01-28,50.4432,50.5244,50.52,50.4432
966,2019-01-28,50.3,50.435,50.435,50.3
965,2019-01-28,50.28,50.37,50.31,50.37
964,2019-01-28,50.375,50.49,50.375,50.49
963,2019-01-28,50.37,50.51,50.49,50.39
962,2019-01-28,50.39,50.47,50.4,50.46
961,2019-01-28,50.46,50.62,50.47,50.62
960,2019-01-28,50.62,50.76,50.62,50.705
959,2019-01-28,50.66,50.745,50.695,50.69
958,2019-01-28,50.65,50.76,50.68,50.73
957,2019-01-28,50.73,51.04,50.73,51.04
956,2019-01-28,50.9,51.04,51.04,50.91
955,2019-01-28,50.88,50.93,50.93,50.92
954,2019-01-28,50.9,51.0,50.92,50.96
953,2019-01-28,50.99,51.19,50.99,51.19
