,Date,Low,High,Close,Open
1105,2019-01-30,67.665,67.77,67.7416,67.69
1104,2019-01-30,67.6367,67.73,67.685,67.69
1103,2019-01-30,67.55,67.73,67.69,67.62
1102,2019-01-30,67.59,67.68,67.62,67.6
1101,2019-01-30,67.59,67.68,67.61,67.66
1100,2019-01-30,67.59,67.7,67.66,67.59
1099,2019-01-30,67.64,67.76,67.64,67.74
1098,2019-01-30,67.7,67.81,67.72,67.74
1097,2019-01-30,67.69,67.9,67.75,67.796
1096,2019-01-30,67.79,67.93,67.8,67.79
1095,2019-01-30,67.735,67.9,67.83,67.7642
1094,2019-01-30,67.695,67.95,67.795,67.755
1093,2019-01-30,67.65,67.81,67.74,67.78
1092,2019-01-30,67.05,67.85,67.8,67.1206
1091,2019-01-29,66.87,67.05,67.035,66.87
1090,2019-01-29,66.78,66.86,66.86,66.82
1089,2019-01-29,66.82,66.95,66.82,66.95
1088,2019-01-29,66.94,67.02,66.94,66.95
1087,2019-01-29,66.92,67.05,66.95,67.05
1086,2019-01-29,67.05,67.13,67.05,67.09
1085,2019-01-29,67.07,67.15,67.09,67.1
1084,2019-01-29,67.08,67.11,67.1,67.11
1083,2019-01-29,67.03,67.11,67.11,67.03
1082,2019-01-29,67.0268,67.05,67.03,67.05
1081,2019-01-29,66.97,67.04,67.04,66.985
1080,2019-01-29,66.91,66.99,66.9735,66.93
1079,2019-01-29,66.9137,66.99,66.935,66.98
1078,2019-01-29,66.97,67.03,66.99,67.0
1077,2019-01-29,66.97,67.05,66.99,67.03
1076,2019-01-29,67.0,67.1,67.03,67.1
1075,2019-01-29,67.065,67.11,67.1,67.11
1074,2019-01-29,67.1,67.15,67.11,67.14
1073,2019-01-29,67.06,67.14,67.14,67.08
1072,2019-01-29,67.05,67.13,67.07,67.13
1071,2019-01-29,67.09,67.16,67.13,67.14
1070,2019-01-29,67.05,67.15,67.14,67.05
1069,2019-01-29,66.975,67.04,67.04,67.005
1068,2019-01-29,67.0,67.09,67.0,67.09
1067,2019-01-29,67.1,67.16,67.1,67.11
1066,2019-01-29,67.0934,67.15,67.1,67.1
1065,2019-01-29,67.05,67.11,67.11,67.055
1064,2019-01-29,66.99,67.09,67.06,67.0
1063,2019-01-29,66.98,67.03,67.0,67.0244
1062,2019-01-29,67.031,67.08,67.035,67.06
1061,2019-01-29,67.02,67.05,67.05,67.03
1060,2019-01-29,66.97,67.057,67.03,67.04
1059,2019-01-29,66.98,67.05,67.04,66.98
1058,2019-01-29,66.98,67.04,66.98,67.03
1057,2019-01-29,66.97,67.0299,67.0299,66.97
1056,2019-01-29,66.88,66.97,66.97,66.92
1055,2019-01-29,66.91,66.98,66.91,66.97
1054,2019-01-29,66.945,67.014,66.97,66.98
1053,2019-01-29,66.9,66.99,66.99,66.92
1052,2019-01-29,66.9,66.94,66.93,66.92
1051,2019-01-29,66.87,66.95,66.91,66.89
1050,2019-01-29,66.84,66.94,66.91,66.93
