,Date,Low,High,Close,Open
1105,2019-01-30,5.885,5.91,5.89,5.9001
1104,2019-01-30,5.9,5.92,5.905,5.91
1103,2019-01-30,5.91,5.93,5.9166,5.93
1102,2019-01-30,5.92,5.93,5.925,5.925
1101,2019-01-30,5.9,5.925,5.92,5.92
1100,2019-01-30,5.9,5.93,5.93,5.9
1099,2019-01-30,5.88,5.91,5.9085,5.88
1098,2019-01-30,5.8758,5.89,5.885,5.885
1097,2019-01-30,5.88,5.9,5.88,5.89
1096,2019-01-30,5.84,5.895,5.89,5.84
1095,2019-01-30,5.83,5.86,5.84,5.86
1094,2019-01-30,5.84,5.865,5.86,5.85
1093,2019-01-30,5.81,5.87,5.86,5.82
1092,2019-01-30,5.77,5.92,5.83,5.9
1091,2019-01-29,5.74,5.8,5.78,5.8
1090,2019-01-29,5.7901,5.81,5.8,5.795
1089,2019-01-29,5.79,5.82,5.8,5.815
1088,2019-01-29,5.795,5.815,5.81,5.795
1087,2019-01-29,5.79,5.8,5.8,5.795
1086,2019-01-29,5.79,5.8,5.8,5.79
1085,2019-01-29,5.79,5.8,5.8,5.8
1084,2019-01-29,5.78,5.8,5.795,5.8
1083,2019-01-29,5.79,5.8,5.795,5.8
1082,2019-01-29,5.78,5.8,5.795,5.79
1081,2019-01-29,5.77,5.79,5.79,5.77
1080,2019-01-29,5.765,5.78,5.77,5.78
1079,2019-01-29,5.75,5.78,5.78,5.75
1078,2019-01-29,5.755,5.76,5.76,5.755
1077,2019-01-29,5.755,5.77,5.755,5.765
1076,2019-01-29,5.76,5.77,5.76,5.77
1075,2019-01-29,5.75,5.77,5.77,5.755
1074,2019-01-29,5.74,5.76,5.755,5.76
1073,2019-01-29,5.755,5.77,5.76,5.77
1072,2019-01-29,5.765,5.785,5.765,5.775
1071,2019-01-29,5.765,5.78,5.775,5.765
1070,2019-01-29,5.75,5.765,5.765,5.75
1069,2019-01-29,5.74,5.75,5.75,5.745
1068,2019-01-29,5.74,5.75,5.745,5.74
1067,2019-01-29,5.735,5.74,5.74,5.74
1066,2019-01-29,5.735,5.74,5.74,5.74
1065,2019-01-29,5.735,5.745,5.74,5.74
1064,2019-01-29,5.73,5.745,5.74,5.735
1063,2019-01-29,5.735,5.74,5.74,5.74
1062,2019-01-29,5.735,5.74,5.74,5.74
1061,2019-01-29,5.73,5.74,5.74,5.735
1060,2019-01-29,5.735,5.74,5.74,5.74
1059,2019-01-29,5.73,5.74,5.74,5.73
1058,2019-01-29,5.735,5.745,5.74,5.735
1057,2019-01-29,5.73,5.74,5.735,5.735
1056,2019-01-29,5.735,5.74,5.735,5.74
1055,2019-01-29,5.74,5.75,5.75,5.75
1054,2019-01-29,5.73,5.745,5.74,5.74
1053,2019-01-29,5.74,5.76,5.74,5.76
1052,2019-01-29,5.755,5.76,5.755,5.76
1051,2019-01-29,5.7401,5.75,5.745,5.7401
1050,2019-01-29,5.74,5.765,5.745,5.765
1049,2019-01-29,5.765,5.775,5.765,5.77
1048,2019-01-29,5.77,5.78,5.775,5.775
1047,2019-01-29,5.77,5.78,5.775,5.78
1046,2019-01-29,5.76,5.78,5.78,5.76
1045,2019-01-29,5.755,5.77,5.765,5.755
1044,2019-01-29,5.755,5.76,5.755,5.76
1043,2019-01-29,5.745,5.76,5.76,5.745
1042,2019-01-29,5.73,5.745,5.74,5.745
1041,2019-01-29,5.74,5.755,5.745,5.755
1040,2019-01-29,5.75,5.77,5.755,5.765
1039,2019-01-29,5.755,5.765,5.765,5.76
1038,2019-01-29,5.745,5.76,5.7501,5.75
1037,2019-01-29,5.74,5.745,5.745,5.745
1036,2019-01-29,5.74,5.75,5.75,5.745
1035,2019-01-29,5.74,5.75,5.745,5.745
1034,2019-01-29,5.735,5.75,5.75,5.735
1033,2019-01-29,5.725,5.74,5.74,5.73
1032,2019-01-29,5.725,5.73,5.725,5.7278
1031,2019-01-29,5.7201,5.725,5.7201,5.725
1030,2019-01-29,5.72,5.7254,5.725,5.72
1029,2019-01-29,5.72,5.745,5.72,5.74
1028,2019-01-29,5.74,5.75,5.74,5.75
1027,2019-01-29,5.75,5.76,5.75,5.755
1026,2019-01-29,5.7599,5.77,5.76,5.77
1025,2019-01-29,5.7501,5.765,5.76,5.76
1024,2019-01-29,5.73,5.75,5.75,5.735
1023,2019-01-29,5.73,5.74,5.735,5.73
1022,2019-01-29,5.73,5.735,5.73,5.73
1021,2019-01-29,5.73,5.745,5.73,5.74
1020,2019-01-29,5.73,5.7501,5.74,5.73
1019,2019-01-29,5.705,5.74,5.73,5.705
1018,2019-01-29,5.69,5.71,5.71,5.695
1017,2019-01-29,5.68,5.7,5.695,5.68
1016,2019-01-29,5.67,5.6881,5.6881,5.6867
1015,2019-01-29,5.685,5.71,5.69,5.71
1014,2019-01-29,5.71,5.74,5.715,5.74
1013,2019-01-28,5.74,5.76,5.75,5.745
1012,2019-01-28,5.73,5.75,5.74,5.75
1011,2019-01-28,5.73,5.75,5.745,5.74
