,Date,Low,High,Close,Open
1108,2019-01-30,36.58,36.635,36.6,36.6
1107,2019-01-30,36.55,36.63,36.61,36.55
1106,2019-01-30,36.53,36.59,36.59,36.55
1105,2019-01-30,36.44,36.55,36.55,36.46
1104,2019-01-30,36.36,36.42,36.42,36.37
1103,2019-01-30,36.33,36.38,36.33,36.36
1102,2019-01-30,36.35,36.395,36.38,36.35
1101,2019-01-30,36.31,36.365,36.35,36.34
1100,2019-01-30,36.26,36.43,36.35,36.26
1099,2019-01-30,36.25,36.33,36.27,36.26
1098,2019-01-30,36.27,36.38,36.315,36.36
1097,2019-01-30,36.31,36.46,36.35,36.46
1096,2019-01-30,36.475,36.62,36.51,36.56
1095,2019-01-30,36.545,36.69,36.545,36.69
1094,2019-01-30,36.52,36.675,36.65,36.56
1093,2019-01-30,36.49,36.645,36.645,36.49
1092,2019-01-30,36.47,36.62,36.48,36.47
1091,2019-01-29,35.86,35.91,35.89,35.88
1090,2019-01-29,35.8,35.87,35.87,35.84
1089,2019-01-29,35.83,35.9,35.855,35.85
1088,2019-01-29,35.86,35.93,35.86,35.92
1087,2019-01-29,35.9,35.97,35.92,35.96
1086,2019-01-29,35.965,36.0,35.965,36.0
1085,2019-01-29,35.96,36.01,35.995,36.01
1084,2019-01-29,35.9498,36.015,36.01,35.98
1083,2019-01-29,35.925,35.99,35.97,35.99
1082,2019-01-29,35.955,35.99,35.99,35.97
1081,2019-01-29,35.95,36.01,35.98,35.995
1080,2019-01-29,35.95,36.01,36.0,35.97
1079,2019-01-29,36.02,36.07,36.02,36.07
1078,2019-01-29,36.06,36.09,36.09,36.07
1077,2019-01-29,36.02,36.075,36.075,36.05
1076,2019-01-29,36.02,36.06,36.05,36.04
1075,2019-01-29,36.04,36.12,36.0436,36.1146
1074,2019-01-29,36.05,36.08,36.08,36.05
1073,2019-01-29,35.975,36.09,36.04,36.02
1072,2019-01-29,35.96,36.27,36.03,36.27
1071,2019-01-29,36.245,36.3,36.265,36.26
1070,2019-01-29,36.255,36.31,36.29,36.3
1069,2019-01-29,36.26,36.31,36.3,36.31
1068,2019-01-29,36.3,36.33,36.3,36.31
1067,2019-01-29,36.26,36.32,36.32,36.26
1066,2019-01-29,36.26,36.32,36.26,36.305
1065,2019-01-29,36.2449,36.31,36.31,36.27
1064,2019-01-29,36.235,36.275,36.27,36.275
1063,2019-01-29,36.28,36.445,36.28,36.37
1062,2019-01-29,36.36,36.44,36.38,36.405
1061,2019-01-29,36.34,36.39,36.39,36.35
1060,2019-01-29,36.3,36.37,36.34,36.325
1059,2019-01-29,36.21,36.32,36.31,36.21
1058,2019-01-29,36.15,36.23,36.23,36.19
1057,2019-01-29,36.15,36.19,36.1735,36.17
1056,2019-01-29,36.12,36.19,36.19,36.145
1055,2019-01-29,36.15,36.19,36.155,36.16
1054,2019-01-29,36.11,36.17,36.17,36.11
1053,2019-01-29,36.109,36.16,36.11,36.145
1052,2019-01-29,36.13,36.18,36.14,36.15
1051,2019-01-29,36.14,36.18,36.15,36.16
1050,2019-01-29,36.13,36.16,36.16,36.15
1049,2019-01-29,36.145,36.2,36.15,36.18
1048,2019-01-29,36.155,36.23,36.17,36.18
1047,2019-01-29,36.12,36.21,36.2,36.12
1046,2019-01-29,36.005,36.11,36.11,36.025
1045,2019-01-29,35.99,36.03,36.025,36.0
1044,2019-01-29,35.97,36.01,35.99,35.99
1043,2019-01-29,35.985,36.06,36.01,36.0
1042,2019-01-29,35.95,36.01,36.0,35.97
1041,2019-01-29,35.94,35.98,35.96,35.95
1040,2019-01-29,35.89,35.93,35.93,35.91
1039,2019-01-29,35.88,35.95,35.94,35.88
1038,2019-01-29,35.88,35.93,35.88,35.93
1037,2019-01-29,35.87,35.92,35.885,35.89
1036,2019-01-29,35.82,35.88,35.87,35.85
1035,2019-01-29,35.775,35.83,35.805,35.83
1034,2019-01-29,35.75,35.9,35.8,35.9
1033,2019-01-29,35.92,36.0,35.93,35.98
1032,2019-01-29,35.96,36.02,35.99,36.01
1031,2019-01-29,35.92,36.015,36.015,35.98
1030,2019-01-29,35.895,36.02,35.96,36.02
1029,2019-01-29,36.0,36.15,36.0033,36.15
1028,2019-01-29,36.065,36.11,36.11,36.08
1027,2019-01-29,36.055,36.1,36.055,36.1
1026,2019-01-29,36.07,36.1,36.095,36.0999
1025,2019-01-29,35.97,36.07,36.07,35.97
1024,2019-01-29,35.945,36.03,35.95,36.03
1023,2019-01-29,35.965,36.04,36.04,36.02
1022,2019-01-29,35.9,36.07,36.05,35.9
1021,2019-01-29,35.93,36.065,35.945,36.065
1020,2019-01-29,35.86,36.085,36.085,36.02
1019,2019-01-29,35.94,36.15,35.94,36.13
1018,2019-01-29,36.055,36.28,36.07,36.195
1017,2019-01-29,36.13,36.21,36.21,36.19
1016,2019-01-29,36.055,36.235,36.2219,36.055
1015,2019-01-29,36.07,36.2,36.08,36.2
1014,2019-01-29,35.99,36.19,36.19,36.1
1013,2019-01-28,35.47,35.57,35.55,35.48
1012,2019-01-28,35.4,35.47,35.47,35.43
1011,2019-01-28,35.44,35.51,35.44,35.49
1010,2019-01-28,35.43,35.53,35.5,35.43
1009,2019-01-28,35.38,35.45,35.44,35.38
1008,2019-01-28,35.37,35.4,35.39,35.39
1007,2019-01-28,35.375,35.41,35.4,35.41
1006,2019-01-28,35.4,35.42,35.41,35.41
1005,2019-01-28,35.37,35.4,35.4,35.37
1004,2019-01-28,35.34,35.39,35.39,35.36
1003,2019-01-28,35.33,35.38,35.335,35.38
1002,2019-01-28,35.38,35.42,35.38,35.41
1001,2019-01-28,35.34,35.39,35.39,35.34
1000,2019-01-28,35.32,35.39,35.33,35.36
999,2019-01-28,35.29,35.345,35.34,35.31
998,2019-01-28,35.28,35.31,35.31,35.31
997,2019-01-28,35.275,35.32,35.32,35.28
996,2019-01-28,35.26,35.305,35.28,35.26
995,2019-01-28,35.23,35.25,35.25,35.24
994,2019-01-28,35.24,35.29,35.26,35.25
993,2019-01-28,35.25,35.27,35.26,35.27
992,2019-01-28,35.25,35.33,35.26,35.33
991,2019-01-28,35.28,35.32,35.32,35.29
990,2019-01-28,35.33,35.41,35.33,35.4
989,2019-01-28,35.39,35.41,35.4,35.3913
988,2019-01-28,35.355,35.455,35.37,35.43
987,2019-01-28,35.36,35.43,35.42,35.36
986,2019-01-28,35.325,35.36,35.35,35.325
985,2019-01-28,35.28,35.37,35.31,35.37
984,2019-01-28,35.3,35.36,35.36,35.3
983,2019-01-28,35.26,35.29,35.29,35.29
982,2019-01-28,35.27,35.29,35.285,35.28
981,2019-01-28,35.2,35.27,35.27,35.23
980,2019-01-28,35.2,35.23,35.225,35.22
979,2019-01-28,35.14,35.24,35.24,35.18
978,2019-01-28,35.1,35.19,35.19,35.16
977,2019-01-28,35.11,35.21,35.18,35.21
976,2019-01-28,35.24,35.29,35.24,35.27
975,2019-01-28,35.2,35.26,35.26,35.24
974,2019-01-28,35.25,35.3,35.25,35.29
973,2019-01-28,35.3,35.33,35.31,35.33
972,2019-01-28,35.28,35.35,35.35,35.32
971,2019-01-28,35.27,35.35,35.31,35.33
970,2019-01-28,35.25,35.32,35.32,35.25
969,2019-01-28,35.22,35.3,35.27,35.22
968,2019-01-28,35.14,35.23,35.22,35.14
967,2019-01-28,35.11,35.15,35.12,35.14
966,2019-01-28,35.11,35.21,35.13,35.16
965,2019-01-28,35.12,35.19,35.19,35.15
964,2019-01-28,35.14,35.23,35.14,35.18
963,2019-01-28,35.17,35.28,35.23,35.2
962,2019-01-28,35.24,35.37,35.24,35.37
961,2019-01-28,35.355,35.45,35.37,35.45
960,2019-01-28,35.46,35.58,35.46,35.57
959,2019-01-28,35.53,35.59,35.53,35.56
958,2019-01-28,35.545,35.6,35.57,35.545
957,2019-01-28,35.52,35.55,35.545,35.54
956,2019-01-28,35.415,35.5,35.5,35.415
955,2019-01-28,35.36,35.43,35.43,35.39
954,2019-01-28,35.36,35.41,35.41,35.36
953,2019-01-28,35.26,35.37,35.37,35.26
952,2019-01-28,35.13,35.25,35.25,35.2
951,2019-01-28,35.19,35.23,35.22,35.19
