,Date,Low,High,Close,Open
1105,2019-01-30,20.48,20.52,20.51,20.49
1104,2019-01-30,20.445,20.495,20.49,20.445
1103,2019-01-30,20.41,20.45,20.44,20.43
1102,2019-01-30,20.42,20.455,20.42,20.42
1101,2019-01-30,20.385,20.43,20.41,20.43
1100,2019-01-30,20.4,20.44,20.44,20.41
1099,2019-01-30,20.37,20.41,20.41,20.37
1098,2019-01-30,20.39,20.47,20.39,20.455
1097,2019-01-30,20.4436,20.47,20.45,20.46
1096,2019-01-30,20.42,20.4799,20.47,20.46
1095,2019-01-30,20.48,20.54,20.48,20.5
1094,2019-01-30,20.44,20.58,20.45,20.58
1093,2019-01-30,20.53,20.57,20.545,20.54
1092,2019-01-30,20.47,20.54,20.525,20.5
1091,2019-01-29,20.38,20.43,20.41,20.38
1090,2019-01-29,20.37,20.39,20.38,20.39
1089,2019-01-29,20.39,20.42,20.395,20.42
1088,2019-01-29,20.405,20.43,20.42,20.42
1087,2019-01-29,20.41,20.435,20.42,20.435
1086,2019-01-29,20.41,20.45,20.44,20.41
1085,2019-01-29,20.38,20.4,20.4,20.39
1084,2019-01-29,20.35,20.39,20.39,20.36
1083,2019-01-29,20.35,20.38,20.35,20.38
1082,2019-01-29,20.38,20.42,20.38,20.42
1081,2019-01-29,20.42,20.47,20.4274,20.4399
1080,2019-01-29,20.41,20.44,20.44,20.425
1079,2019-01-29,20.43,20.445,20.43,20.445
1078,2019-01-29,20.44,20.45,20.44,20.44
1077,2019-01-29,20.43,20.4436,20.44,20.44
1076,2019-01-29,20.45,20.48,20.45,20.47
1075,2019-01-29,20.46,20.48,20.48,20.48
1074,2019-01-29,20.46,20.48,20.48,20.46
1073,2019-01-29,20.47,20.485,20.47,20.485
1072,2019-01-29,20.48,20.51,20.48,20.5024
1071,2019-01-29,20.5,20.5269,20.51,20.5269
1070,2019-01-29,20.51,20.53,20.525,20.53
1069,2019-01-29,20.53,20.54,20.54,20.535
1068,2019-01-29,20.54,20.55,20.54,20.545
1067,2019-01-29,20.54,20.56,20.55,20.54
1066,2019-01-29,20.54,20.56,20.545,20.545
1065,2019-01-29,20.545,20.575,20.55,20.545
1064,2019-01-29,20.51,20.55,20.545,20.515
1063,2019-01-29,20.51,20.525,20.515,20.52
1062,2019-01-29,20.52,20.55,20.52,20.54
1061,2019-01-29,20.52,20.535,20.53,20.535
1060,2019-01-29,20.53,20.54,20.535,20.54
1059,2019-01-29,20.51,20.54,20.535,20.51
1058,2019-01-29,20.5,20.52,20.515,20.51
1057,2019-01-29,20.49,20.5,20.5,20.49
1056,2019-01-29,20.48,20.52,20.49,20.52
1055,2019-01-29,20.52,20.55,20.52,20.55
1054,2019-01-29,20.515,20.55,20.55,20.52
1053,2019-01-29,20.51,20.54,20.51,20.54
1052,2019-01-29,20.53,20.55,20.54,20.55
1051,2019-01-29,20.52,20.55,20.54,20.52
1050,2019-01-29,20.5,20.515,20.515,20.5
1049,2019-01-29,20.505,20.56,20.51,20.52
1048,2019-01-29,20.49,20.53,20.52,20.49
1047,2019-01-29,20.47,20.505,20.49,20.505
1046,2019-01-29,20.46,20.51,20.5,20.46
1045,2019-01-29,20.4346,20.46,20.46,20.4346
1044,2019-01-29,20.43,20.46,20.43,20.45
1043,2019-01-29,20.45,20.48,20.46,20.46
1042,2019-01-29,20.455,20.48,20.455,20.48
1041,2019-01-29,20.4653,20.5,20.47,20.5
1040,2019-01-29,20.485,20.5,20.5,20.5
1039,2019-01-29,20.47,20.51,20.51,20.47
1038,2019-01-29,20.43,20.47,20.47,20.43
1037,2019-01-29,20.41,20.445,20.42,20.41
1036,2019-01-29,20.42,20.47,20.42,20.47
1035,2019-01-29,20.47,20.4847,20.475,20.4847
1034,2019-01-29,20.46,20.515,20.465,20.51
1033,2019-01-29,20.44,20.5,20.5,20.455
1032,2019-01-29,20.46,20.475,20.46,20.47
1031,2019-01-29,20.461,20.535,20.49,20.53
1030,2019-01-29,20.51,20.54,20.54,20.52
1029,2019-01-29,20.53,20.58,20.54,20.57
1028,2019-01-29,20.535,20.57,20.56,20.535
1027,2019-01-29,20.54,20.58,20.56,20.54
1026,2019-01-29,20.53,20.615,20.54,20.54
1025,2019-01-29,20.48,20.53,20.51,20.5
1024,2019-01-29,20.5,20.57,20.52,20.5585
1023,2019-01-29,20.53,20.6,20.56,20.6
1022,2019-01-29,20.585,20.62,20.59,20.62
1021,2019-01-29,20.63,20.7,20.63,20.7
1020,2019-01-29,20.655,20.705,20.7,20.66
1019,2019-01-29,20.61,20.665,20.64,20.61
1018,2019-01-29,20.51,20.56,20.56,20.56
1017,2019-01-29,20.55,20.69,20.57,20.59
1016,2019-01-29,20.53,20.6,20.59,20.53
1015,2019-01-29,20.53,20.67,20.545,20.67
1014,2019-01-29,20.7,20.92,20.7,20.86
1013,2019-01-28,20.72,20.85,20.84,20.72
1012,2019-01-28,20.69,20.72,20.715,20.7
1011,2019-01-28,20.7,20.745,20.7,20.74
1010,2019-01-28,20.66,20.76,20.75,20.66
1009,2019-01-28,20.67,20.69,20.67,20.67
