TSLA,Tesla Inc ,2015-02-12,US STOCKS-Wall St ends sharply higher on tech  Ukraine deal ,* Indexes up: Dow 0.5 pct  S&P 0.8 pct  Nasdaq 0.9 pct   (Updates to close),topStory
TSLA,Tesla Inc ,2015-02-12,Tesla years away from its goal of reaching Apple's market cap ,NEW YORK How far does electric car maker Tesla Motors Inc  have to go to reach its goal of matching Apple Inc's  current market value? It would take 26 years  based on rough calculations by Reuters  unless it starts selling a lot more cars. | Video ,normal
TSLA,Tesla Inc ,2015-02-12,Tesla years away from its goal of reaching Apple's market cap ,NEW YORK  Feb 12 How far does electric car maker Tesla Motors Inc have to go to reach its goal of matching Apple Inc's current market value? It would take 26 years  based on rough calculations by Reuters  unless it starts selling a lot more cars.,normal
TSLA,Tesla Inc ,2015-02-12,US STOCKS-Tech rally  Ukraine deal boost Wall Street ,* Indexes up: Dow 0.5 pct  S&P 0.8 pct  Nasdaq 0.9 pct   (Updates to afternoon trading),normal
TSLA,Tesla Inc ,2015-02-12,US STOCKS-Wall St climbs on Ukraine deal  Swedish stimulus ,* Indexes up: Dow 0.24 pct  S&P 0.55 pct  Nasdaq 0.68 pct   (Updates to late morning),normal
TSLA,Tesla Inc ,2015-02-12,US STOCKS-Wall St rises after Ukraine deal  Swedish stimulus ,* Indexes up: Dow 0.21 pct  S&P 0.46 pct  Nasdaq 0.65 pct   (Updates to market open  adds data),normal
TSLA,Tesla Inc ,2015-02-12,CORRECTED-US STOCKS-Wall St to open up after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stocks were poised to open higher on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank  although soft economic data may keep gains in check.,normal
TSLA,Tesla Inc ,2015-02-12,CORRECTED-US STOCKS-Wall St to open up after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stocks were poised to open higher on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank  although soft economic data may keep gains in check.,normal
TSLA,Tesla Inc ,2015-02-12,US STOCKS-Futures gain after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stock index futures advanced on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank.,normal
TSLA,Tesla Inc ,2015-02-12,Tesla CEO Musk says market value could rival Apple by 2025 ,DETROIT Tesla Motors Inc missed fourth-quarter sales targets and analysts' profit expectations  but Chief Executive Officer Elon Musk on Wednesday said by 2025 Tesla's growth trajectory could take its market value to $700 billion  matching that of Apple Inc. | Video ,normal
QCOM,QUALCOMM Incorporated,2015-02-12,South Korea antitrust body investigating Qualcomm: source ,SEOUL South Korea's Fair Trade Commission is investigating Qualcomm Inc  a person familiar with the matter told Reuters on Thursday  adding to antitrust woes for the U.S. chipmaker following a record fine it agreed to pay in China.,topStory
QCOM,QUALCOMM Incorporated,2015-02-12,UPDATE 2-South Korea antitrust body investigating Qualcomm -source ,* S.Korea fined Qualcomm more than $200 mln in 2009   (Updates with regulator declining comment  background),normal
QCOM,QUALCOMM Incorporated,2015-02-12,S.Korea Fair Trade Commission investigating Qualcomm - source ,SEOUL  Feb 12 South Korea's Fair Trade Commission is investigating U.S.-based chipmaker Qualcomm Inc   a person familiar with the matter told Reuters on Thursday.,normal
