MSFT,Microsoft Corporation,2015-03-02,Bill Gates tops Forbes rich list  Michael Jordan joins ,Bill Gates stands atop Forbes magazine's annual list of the world's richest people  as Facebook Inc's Mark Zuckerberg joined the top 20 and basketball star Michael Jordan plowed new air by making the list for the first time.,topStory
INTC,Intel Corporation,2015-03-02,Intel launches chip for new push into low-price smartphones ,SAN FRANCISCO Intel Corp is shipping new mobile chips that represent the semiconductor company's biggest hope for making progress in smartphones this year.,topStory
INTC,Intel Corporation,2015-03-02,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacenters  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
INTC,Intel Corporation,2015-03-02,Intel launches chip for new push into low-price smartphones ,SAN FRANCISCO  March 2 Intel Corp is shipping new mobile chips that represent the semiconductor company's biggest hope for making progress in smartphones this year.,normal
INTC,Intel Corporation,2015-03-02,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA  March 2 Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacentres  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
INTC,Intel Corporation,2015-03-02,BRIEF-Ericsson  Intel CEOs say in partnership to develop cloud based software and hardware products ,* Ericsson  Intel CEOs say in partnership to develop cloud based software and hardware products  Further company coverage:,normal
INTC,Intel Corporation,2015-03-02,'Jihadi John' part of network linked to failed London bombers: court papers ,LONDON Islamist militant Mohammed Emwazi  identified as 'Jihadi John ' was a  member of a network in contact with one of the men convicted of trying to bomb the British capital's underground railway in 2005  according to the government.,normal
QCOM,QUALCOMM Incorporated,2015-03-02,Honeywell  OneWeb partner to offer satellite internet to aircraft ,NEW YORK Honeywell International Inc said on Monday it has teamed up with satellite internet startup OneWeb Ltd to expand the high-speed data services it offers to aircraft.,topStory
QCOM,QUALCOMM Incorporated,2015-03-02,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters March 02  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  now click on Related Co Data  now click on Co Events.                ,normal
QCOM,QUALCOMM Incorporated,2015-03-02,Qualcomm seeks to pave road to marriage of cars and smartphones ,DETROIT Qualcomm Inc  a maker of smartphone chips and software  unveiled on Monday fourth-generation LTE modems that will enable cars to stay better-connected wirelessly to cloud-based services via the Web.,normal
QCOM,QUALCOMM Incorporated,2015-03-02,Qualcomm seeks to pave road to marriage of cars and smartphones ,DETROIT  March 2 Qualcomm Inc  a maker of smartphone chips and software  unveiled on Monday fourth-generation LTE modems that will enable cars to stay better-connected wirelessly to cloud-based services via the Web.,normal
CSCO,Cisco Systems Inc,2015-03-02,US STOCKS-Wall St advances after data and deals; Nasdaq hits 5 000 ,* Markit manufacturing hits 4-month high  ISM hits 13-month low,normal
CSCO,Cisco Systems Inc,2015-03-02,UPDATE 3-HP to buy Wi-Fi gear maker Aruba Networks for $2.7 bln ,* Aruba shares fall 1.45 pct; HP marginally down   (Adds analysts' comments  details),normal
CSCO,Cisco Systems Inc,2015-03-02,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacenters  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
CSCO,Cisco Systems Inc,2015-03-02,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA  March 2 Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacentres  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
