MSFT,Microsoft Corporation,2015-03-19,Microsoft  Oracle object to RadioShack sale to shield licenses ,Microsoft Corp and Oracle America Inc have objected to RadioShack's sale of its stores  citing concerns about licensed products used by the bankrupt electronics retailer.,topStory
TSLA,Tesla Inc ,2015-03-19,Tesla to offer hands-free steering on Model S in three months ,Tesla Motors Inc will soon offer upgrades including hands-free steering on its Model S sedan  Chief Executive Officer Elon Musk said on Thursday  but the news did not help the electric carmaker's volatile shares which fell more than 2 percent. | Video ,topStory
TSLA,Tesla Inc ,2015-03-19,UPDATE 2-Tesla to offer hands-free steering on Model S in 3 months ,March 19 Tesla Motors Inc will soon offer upgrades including hands-free steering on its Model S sedan  Chief Executive Officer Elon Musk said on Thursday  but the news did not help the electric carmaker's volatile shares which fell more than 2 percent.,normal
TSLA,Tesla Inc ,2015-03-19,Branson says Virgin working on electric cars: Bloomberg TV ,DETROIT Billionaire entrepreneur Richard Branson's Virgin Group may take on Tesla Motors Inc and other companies in developing electric cars  Bloomberg reported on Thursday.,normal
TSLA,Tesla Inc ,2015-03-19,UPDATE 1-Branson says Virgin working on electric cars -Bloomberg TV ,DETROIT  March 19 Billionaire entrepreneur Richard Branson's Virgin Group may take on Tesla Motors Inc  and other companies in developing electric cars  Bloomberg reported on Thursday.,normal
TSLA,Tesla Inc ,2015-03-19,Branson says Virgin working on electric cars -Bloomberg TV ,DETROIT  March 19 Billionaire entrepreneur Richard Branson's Virgin Group may take on Tesla Motors Inc  and other companies in developing electric cars  Bloomberg reported on Thursday.,normal
TSLA,Tesla Inc ,2015-03-19,Tesla to roll out automatic steering on Model S in three months ,March 19 Tesla Motors Inc plans to offer automatic steering on its Model S sedan in about three months  Chief Executive Elon Musk said Thursday.,normal
INTC,Intel Corporation,2015-03-19,Tag Heuer  Intel challenge Apple with Android smartwatch ,BASEL  Switzerland Tag Heuer  French luxury group LVMH's  biggest watch maker  said it will launch a smartwatch later this year using Google Inc's  Android operating system in a venture with Intel Corp  to compete head-on with the Apple Watch.,topStory
INTC,Intel Corporation,2015-03-19,UPDATE 2-Tag Heuer  Intel challenge Apple with Android smartwatch ,BASEL  Switzerland  March 19 Tag Heuer  French luxury group LVMH's biggest watch maker  said it will launch a smartwatch later this year using Google Inc's  Android operating system in a venture with Intel Corp  to compete head-on with the Apple Watch.,normal
INTC,Intel Corporation,2015-03-19,CORRECTED-Tag Heuer unveils smartwatch venture with Intel  Google ,BASEL  Switzerland  March 19 Tag Heuer  French luxury group LVMH's biggest watch maker  announced a partnership with Google Inc and Intel Corp to create a luxury smartwatch to compete head-on with Apple Inc .,normal
INTC,Intel Corporation,2015-03-19,UPDATE 1-Chip designer ARM sees 20 pct market share in servers by 2020 ,* Chips would be priced less than leader Intel's   (Adds details  quotes),normal
