MSFT,Microsoft Corporation,2015-07-16,Lines go silent in Finnish town of Salo as Microsoft shuts Nokia phone unit ,HELSINKI When U.S. software giant Microsoft bought Nokia's struggling mobile phone business last year  the inhabitants of Salo – a town of 54 000 in southern Finland – thought the move would revive the local economy.,topStory
INTC,Intel Corporation,2015-07-16,Wall St. rises; eBay  Netflix push Nasdaq to record high ,Wall Street ended stronger on Thursday  with the Nasdaq up more than 1 percent at a record high after earnings reports from eBay  and Netflix  boosted optimism. | Video ,topStory
INTC,Intel Corporation,2015-07-16,Intel's cost cuts could give rivals higher ground: analysts ,Intel Corp's move to delay the launch of its next generation chip technology to 2017 may see the company lose ground to rivals Taiwan Semiconductor Manufacturing Co  and Samsung Electronics Co Ltd.,normal
INTC,Intel Corporation,2015-07-16,US STOCKS-Wall St set to open up on strong quarterly reports ,* Futures up: Dow 44 pts  S&P 8 pts  Nasdaq 18 pts   (Adds details  comment  updates prices),normal
INTC,Intel Corporation,2015-07-16,US STOCKS-Futures rise after Greek vote; Intel  Netflix results ,July 16 U.S. stock index futures rose on Thursday as investors welcomed Greek parliamentary approval of a bailout plan and on strong results from Netflix and Intel overnight.,normal
QCOM,QUALCOMM Incorporated,2015-07-16,Qualcomm faces EU antitrust probes over tactics to block rivals ,BRUSSELS/FRANKFURT European Union antitrust regulators are investigating whether one of the world's biggest chipmakers  Qualcomm  uses illegal tactics to shut out rivals  six years after slapping a record 1 billion euro ($1.09 billion) fine on Intel for a similar offense.,topStory
QCOM,QUALCOMM Incorporated,2015-07-16,UPDATE 2-Qualcomm faces EU antitrust probes over tactics to block rivals ,* Qualcomm says EU concerns not merited   (Adds details  background  comments),normal
QCOM,QUALCOMM Incorporated,2015-07-16,BRIEF-Wuhan Tianyu Information Industry plans cooperation with Qualcomm ,Further company coverage:    (Reporting by Hong Kong and Singapore newsrooms),normal
QCOM,QUALCOMM Incorporated,2015-07-16,EU opens twin Qualcomm antitrust investigations ,BRUSSELS The European Commission has opened two investigations into possible abuse of market dominance by chipmaker Qualcomm Inc  it said on Thursday  the latest in a string of antitrust and tax inquiries into major U.S. corporations.,normal
QCOM,QUALCOMM Incorporated,2015-07-16,RPT-EU opens two antritust investigations against Qualcomm ,BRUSSELS  July 16 The European Commission said on Thursday it had opened two antitrust investigations into Qualcomm's possible abuse of its market dominance of semiconductors used in consumer electronic devices.,normal
QCOM,QUALCOMM Incorporated,2015-07-16,EU opens two antritust investigations against Qualcomm ,BRUSSELS  July 16 The European Commission said on Thursday it had opened two antitrust investigations into Qualcomm's possible abuse of its market dominance of semiconductors used in consumer electronic devices.,normal
CSCO,Cisco Systems Inc,2015-07-16,BRIEF-Amper to finalize debt restructuring with Cisco shortly ,* Says to sign an agreement of payments with Cisco on its end today,topStory
