MSFT,Microsoft Corporation,2015-07-23,France's Technicolor to buy Cisco's set-top box business ,PARIS French media and entertainment technology group Technicolor will buy Cisco System's home video equipment business for 550 million euros ($602 million)  it said on Thursday  sending its shares to a five-year high.,topStory
INTC,Intel Corporation,2015-07-23,Qualcomm's potential break-up could lead to courtship with Intel ,Wall Street says Intel Corp is the best suitor for Qualcomm Inc's chip unit  if the maker of Snapdragon mobile processors decides to break itself up.,topStory
INTC,Intel Corporation,2015-07-23,Qualcomm's potential break-up could lead to courtship with Intel ,Wall Street says Intel Corp is the best suitor for Qualcomm Inc's chip unit  if the maker of Snapdragon mobile processors decides to break itself up.,normal
QCOM,QUALCOMM Incorporated,2015-07-23,Qualcomm's potential break-up could lead to courtship with Intel ,Wall Street says Intel Corp is the best suitor for Qualcomm Inc's chip unit  if the maker of Snapdragon mobile processors decides to break itself up.,topStory
QCOM,QUALCOMM Incorporated,2015-07-23,Qualcomm's potential break-up could lead to courtship with Intel ,Wall Street says Intel Corp is the best suitor for Qualcomm Inc's chip unit  if the maker of Snapdragon mobile processors decides to break itself up.,normal
CSCO,Cisco Systems Inc,2015-07-23,France's Technicolor to buy Cisco's set-top box business ,PARIS French media and entertainment technology group Technicolor  will buy Cisco System's  home video equipment business for 550 million euros ($602 million)  it said on Thursday  sending its shares to a five-year high.,topStory
CSCO,Cisco Systems Inc,2015-07-23,France's Technicolor to buy Cisco's set-top box business ,PARIS French media and entertainment technology group Technicolor will buy Cisco System's home video equipment business for 550 million euros ($602 million)  it said on Thursday  sending its shares to a five-year high.,normal
CSCO,Cisco Systems Inc,2015-07-23,UPDATE 2-France's Technicolor to buy Cisco's set-top box business ,PARIS  July 23 French media and entertainment technology group Technicolor will buy Cisco System's  home video equipment business for 550 million euros ($602 million)  it said on Thursday  sending its shares to a five-year high.,normal
CSCO,Cisco Systems Inc,2015-07-23,BRIEF-Technicolor ceo eyes no massive restructuring from Cisco unit deal ,July 23 Technicolor CEO Frederic Rose tells a conference call:,normal
CSCO,Cisco Systems Inc,2015-07-23,French Technicolor to buy Cisco connected devices unit for $602 mln ,PARIS  July 23 French media and entertainment technology group Technicolor said on Thursday it has signed an exclusive deal with Cisco to buy its customer premises equipment business for 550 million euros ($601.65 million) in cash and stock.,normal
CSCO,Cisco Systems Inc,2015-07-23,BRIEF-Technicolor to acquire Cisco connected devices division ,* Transaction value is 550 million euros ($601.8 million) in a cash and stock transaction,normal
