MSFT,Microsoft Corporation,06282016,UPDATE 4-Morgan Stanley profit jumps on bond-trading comeback ,Oct 19 Morgan Stanley reported a better-than-expected profit on Wednesday  boosted by a surge in bond trading that helped all Wall Street banks last quarter.,normal
INTC,Intel Corporation,06282016,GLOBAL MARKETS-U.S. oil rises after surprise inventory drop; stocks up ,* Saudi Arabia sets record with mammoth $17.5 billion bond issue   (Updates to U.S. market close),topStory
INTC,Intel Corporation,06282016,US STOCKS-Oil  earnings lift Wall St but Intel drags ,* U.S. crude touches 15-month highs on surprise stockpile drop,normal
INTC,Intel Corporation,06282016,GLOBAL MARKETS-Oil rises after surprise drop in U.S. inventories; stocks tick up ,* Bank  energy stocks lead Wall St higher; Intel slumps   (Updates prices  adds comment),normal
INTC,Intel Corporation,06282016,US STOCKS-Wall St climbs on oil  earnings; Intel curbs advance ,* Indexes up: Dow 0.39 pct  S&P 0.33 pct  Nasdaq 0.11 pct   (Adds Beige Book  changes byline),normal
INTC,Intel Corporation,06282016,US STOCKS-Wall St up on oil  upbeat earnings; Intel limits gains ,* Indexes up: Dow 0.41 pct  S&P 0.29 pct  Nasdaq 0.04 pct   (Updates to early afternoon),normal
INTC,Intel Corporation,06282016,GLOBAL MARKETS-Oil jumps after U.S. data; stocks edge up ,* Energy stocks lead Wall St higher  Intel slumps   (Updates with U.S. market trading  changes throughout),normal
INTC,Intel Corporation,06282016,US STOCKS-Wall St flat as oil gains offset Intel's drag ,* Dow up 0.15 pct  S&P up 0.01 pct  Nasdaq down 0.15 pct   (Updates to open),normal
INTC,Intel Corporation,06282016,US STOCKS SNAPSHOT-Wall St opens little changed; Intel weighs ,Oct 19 U.S. stocks opened little changed on Wednesday  a day after the S&P 500 index posted its best advance in the month  but Intel had the Nasdaq slightly in the red.,normal
INTC,Intel Corporation,06282016,UPDATE 1-ASML Q3 results miss on profit  but sales up on orders of newest machines ,* Sees Q4 revenue at 1.7-1.8 bln euros   (Adds details from earnings  CEO comment),normal
INTC,Intel Corporation,06282016,French and Benelux stocks-Factors to watch on Oct 19 ,PARIS  Oct 19 Below are company-related news and stories from French and Benelux media which could have an impact on the region's markets or individual stocks.,normal
QCOM,QUALCOMM Incorporated,06282016,BRIEF-Qualcomm appoints Alex Rogers as EVP and president of QTl ,* Qualcomm appoints Alex Rogers as EVP and president of QTl  Source text for Eikon:  Further company coverage:,topStory
