MSFT,Microsoft Corporation,2017-11-01,BRIEF-Microsoft and Attunity announce strategic partnership ,* With strategic partnership  co is working with Microsoft to offer new product  Attunity Replicate for Microsoft Migrations Source text for Eikon: Further company coverage:,topStory
TSLA,Tesla Inc ,2017-11-01,CORRECTED-UPDATE 1-Tesla reports biggest-ever quarterly loss  Model 3 delays ,Nov 1 Tesla Inc racked up a $619 million loss in the third quarter  its biggest-ever  driving its shares sharply lower as the electric-car maker spends to speed up production of its more affordable Model 3 sedan.,topStory
TSLA,Tesla Inc ,2017-11-01,BRIEF-Tesla posts qtrly net loss per share attributable to stockholders $3.70 ,* Tesla says about 100 000 Model S and X deliveries projected for 2017,normal
TSLA,Tesla Inc ,2017-11-01,Tesla reports biggest-ever quarterly loss ,Nov 1 Tesla Inc reported its biggest-ever quarterly loss on Wednesday as the electric-car maker spent more to speed up production of its more affordable Model 3 sedan.,normal
INTC,Intel Corporation,2017-11-01,BRIEF-Intel says ambassador Charlene Barshefsky informed co she will not stand for re-election to board - SEC filing ,* Intel says on Oct 30  ambassador Charlene Barshefsky informed co she will not stand for re-election to co's board at end of her term - SEC filing Source text: (http://bit.ly/2lCqz2i) Further company coverage:,topStory
QCOM,QUALCOMM Incorporated,2017-11-01,Demand for modem  IoT chips helps Qualcomm top estimates ,Qualcomm Inc's fourth-quarter profit and revenue beat market expectations as strength in its smartphone chips business was complemented by demand for chips used in automobiles and for the Internet of Things (IoT).,topStory
QCOM,QUALCOMM Incorporated,2017-11-01,UPDATE 2-Demand for modem  IoT chips helps Qualcomm top estimates ,Nov 1 Qualcomm Inc's fourth-quarter profit and revenue beat market expectations as strength in its smartphone chips business was complemented by demand for chips used in automobiles and for the Internet of Things (IoT).,normal
QCOM,QUALCOMM Incorporated,2017-11-01,Qualcomm  JMC seek to exit Alphabet-backed New York WiFi project -sources ,SAN FRANCISCO  Nov 1 Chipmaker Qualcomm Inc and private equity firm JMC Capital Partners are looking to sell their stakes in a joint venture that operates more than 1 300 free WiFi kiosks fashioned from old phone booths around New York City  according to people familiar with the matter.,normal
QCOM,QUALCOMM Incorporated,2017-11-01,Demand for modem  IoT chips helps Qualcomm top estimates ,Qualcomm Inc's fourth-quarter profit and revenue beat market expectations as strength in its smartphone chips business was complemented by demand for chips used in automobiles and for the Internet of Things (IoT).,topStory
QCOM,QUALCOMM Incorporated,2017-11-01,UPDATE 2-Demand for modem  IoT chips helps Qualcomm top estimates ,Nov 1 Qualcomm Inc's fourth-quarter profit and revenue beat market expectations as strength in its smartphone chips business was complemented by demand for chips used in automobiles and for the Internet of Things (IoT).,normal
QCOM,QUALCOMM Incorporated,2017-11-01,Qualcomm  JMC seek to exit Alphabet-backed New York WiFi project -sources ,SAN FRANCISCO  Nov 1 Chipmaker Qualcomm Inc and private equity firm JMC Capital Partners are looking to sell their stakes in a joint venture that operates more than 1 300 free WiFi kiosks fashioned from old phone booths around New York City  according to people familiar with the matter.,normal
QCOM,QUALCOMM Incorporated,2017-11-01,Demand for modem  IoT chips helps Qualcomm top estimates ,Qualcomm Inc's fourth-quarter profit and revenue beat market expectations as strength in its smartphone chips business was complemented by demand for chips used in automobiles and for the Internet of Things (IoT).,topStory
QCOM,QUALCOMM Incorporated,2017-11-01,UPDATE 2-Demand for modem  IoT chips helps Qualcomm top estimates ,Nov 1 Qualcomm Inc's fourth-quarter profit and revenue beat market expectations as strength in its smartphone chips business was complemented by demand for chips used in automobiles and for the Internet of Things (IoT).,normal
QCOM,QUALCOMM Incorporated,2017-11-01,Qualcomm  JMC seek to exit Alphabet-backed New York WiFi project -sources ,SAN FRANCISCO  Nov 1 Chipmaker Qualcomm Inc and private equity firm JMC Capital Partners are looking to sell their stakes in a joint venture that operates more than 1 300 free WiFi kiosks fashioned from old phone booths around New York City  according to people familiar with the matter.,normal
QCOM,QUALCOMM Incorporated,2017-11-01,Demand for modem  IoT chips helps Qualcomm top estimates ,Qualcomm Inc's fourth-quarter profit and revenue beat market expectations as strength in its smartphone chips business was complemented by demand for chips used in automobiles and for the Internet of Things (IoT).,topStory
QCOM,QUALCOMM Incorporated,2017-11-01,UPDATE 2-Demand for modem  IoT chips helps Qualcomm top estimates ,Nov 1 Qualcomm Inc's fourth-quarter profit and revenue beat market expectations as strength in its smartphone chips business was complemented by demand for chips used in automobiles and for the Internet of Things (IoT).,normal
QCOM,QUALCOMM Incorporated,2017-11-01,Qualcomm  JMC seek to exit Alphabet-backed New York WiFi project -sources ,SAN FRANCISCO  Nov 1 Chipmaker Qualcomm Inc and private equity firm JMC Capital Partners are looking to sell their stakes in a joint venture that operates more than 1 300 free WiFi kiosks fashioned from old phone booths around New York City  according to people familiar with the matter.,normal
