MSFT,Microsoft Corporation,12312017,Microsoft seeks to block class cert in sex bias case ,Microsoft Corp has asked a federal judge in Seattle to reject a bid by two former employees to certify a class of 8 600 women in a lawsuit claiming the company discriminates against female engineers and IT workers.,topStory
NVDA,NVIDIA Corporation,12312017,Nvidia partners with Uber  Volkswagen in self-driving technology ,LAS VEGAS Nvidia Corp will partner with Uber Technologies Inc [UBER.UL] and Volkswagen AG  as the graphics chipmaker's artificial intelligence platforms make further gains in the autonomous vehicle industry. | Video ,topStory
NVDA,NVIDIA Corporation,12312017,UPDATE 1-Nvidia partners with Uber  Volkswagen in self-driving technology ,LAS VEGAS  Jan 7 Nvidia Corp will partner with Uber Technologies Inc and Volkswagen AG as the graphics chipmaker's artificial intelligence platforms make further gains in the autonomous vehicle industry.,normal
NVDA,NVIDIA Corporation,12312017,Nvidia partners with Uber  Volkswagen in self-driving technology ,LAS VEGAS  Jan 7 Nvidia Corp will partner with Uber Technologies Inc and Volkswagen AG as the graphics chipmaker's artificial intelligence platforms make further gains in the autonomous vehicle industry.,normal
NVDA,NVIDIA Corporation,12312017,Nvidia partners with Uber  Volkswagen in self-driving technology ,LAS VEGAS Nvidia Corp will partner with Uber Technologies Inc [UBER.UL] and Volkswagen AG  as the graphics chipmaker's artificial intelligence platforms make further gains in the autonomous vehicle industry. | Video ,topStory
NVDA,NVIDIA Corporation,12312017,UPDATE 1-Nvidia partners with Uber  Volkswagen in self-driving technology ,LAS VEGAS  Jan 7 Nvidia Corp will partner with Uber Technologies Inc and Volkswagen AG as the graphics chipmaker's artificial intelligence platforms make further gains in the autonomous vehicle industry.,normal
NVDA,NVIDIA Corporation,12312017,Nvidia partners with Uber  Volkswagen in self-driving technology ,LAS VEGAS  Jan 7 Nvidia Corp will partner with Uber Technologies Inc and Volkswagen AG as the graphics chipmaker's artificial intelligence platforms make further gains in the autonomous vehicle industry.,normal
NVDA,NVIDIA Corporation,12312017,Nvidia partners with Uber  Volkswagen in self-driving technology ,LAS VEGAS Nvidia Corp will partner with Uber Technologies Inc [UBER.UL] and Volkswagen AG  as the graphics chipmaker's artificial intelligence platforms make further gains in the autonomous vehicle industry. | Video ,topStory
NVDA,NVIDIA Corporation,12312017,UPDATE 1-Nvidia partners with Uber  Volkswagen in self-driving technology ,LAS VEGAS  Jan 7 Nvidia Corp will partner with Uber Technologies Inc and Volkswagen AG as the graphics chipmaker's artificial intelligence platforms make further gains in the autonomous vehicle industry.,normal
NVDA,NVIDIA Corporation,12312017,Nvidia partners with Uber  Volkswagen in self-driving technology ,LAS VEGAS  Jan 7 Nvidia Corp will partner with Uber Technologies Inc and Volkswagen AG as the graphics chipmaker's artificial intelligence platforms make further gains in the autonomous vehicle industry.,normal
NVDA,NVIDIA Corporation,12312017,Nvidia partners with Uber  Volkswagen in self-driving technology ,LAS VEGAS Nvidia Corp will partner with Uber Technologies Inc [UBER.UL] and Volkswagen AG  as the graphics chipmaker's artificial intelligence platforms make further gains in the autonomous vehicle industry. | Video ,topStory
NVDA,NVIDIA Corporation,12312017,UPDATE 1-Nvidia partners with Uber  Volkswagen in self-driving technology ,LAS VEGAS  Jan 7 Nvidia Corp will partner with Uber Technologies Inc and Volkswagen AG as the graphics chipmaker's artificial intelligence platforms make further gains in the autonomous vehicle industry.,normal
NVDA,NVIDIA Corporation,12312017,Nvidia partners with Uber  Volkswagen in self-driving technology ,LAS VEGAS  Jan 7 Nvidia Corp will partner with Uber Technologies Inc and Volkswagen AG as the graphics chipmaker's artificial intelligence platforms make further gains in the autonomous vehicle industry.,normal
INTC,Intel Corporation,12312017,BRIEF-Micron And Intel Announce Update To Nand Memory Joint Development Program ,* MICRON AND INTEL ANNOUNCE UPDATE TO NAND MEMORY JOINT DEVELOPMENT PROGRAM,topStory
INTC,Intel Corporation,12312017,BRIEF-Luxoft And Intel Collaborate To Create Fully Integrated Digital Cockpit Computer Reference Platform ,* LUXOFT AND INTEL COLLABORATE TO CREATE FULLY INTEGRATED DIGITAL COCKPIT COMPUTER REFERENCE PLATFORM,normal
