TSLA,Tesla Inc ,12312017,Global carmakers to invest at least $90 billion in electric vehicles ,DETROIT Ford Motor Co's plan to double its electrified vehicle spending is part of an investment tsunami in batteries and electric cars by global automakers that now totals $90 billion and is still growing  a Reuters analysis shows. | Video ,normal
NVDA,NVIDIA Corporation,12312017,Chinese carmaker Chery to use Nvidia's self-driving technology ,Nvidia Corp said on Tuesday China's Chery Automobile Co [CHERY.UL] would use its self-driving technology that it has developed with Baidu and ZF Friedrichshafen AG [ZFF.UL].,topStory
NVDA,NVIDIA Corporation,12312017,Chinese carmaker Chery to use Nvidia's self-driving technology ,Jan 16 Nvidia Corp said on Tuesday China's Chery Automobile Co would use its self-driving technology that it has developed with Baidu and ZF Friedrichshafen AG.,normal
INTC,Intel Corporation,12312017,U.S. lawmaker asks Intel  others for briefing on chip flaws ,WASHINGTON  Jan 16 A Democratic U.S. lawmaker asked Intel Corp and two other microchip makers on Tuesday to provide a briefing on the recently detected Spectre and Meltdown security flaws that could allow hackers to steal information from most computers and devices.,topStory
QCOM,QUALCOMM Incorporated,12312017,Qualcomm raises profit forecast  may buy back stock if bid for NXP fails ,Qualcomm Inc   the U.S. chipmaker fending off a hostile bid by Broadcom Ltd   raised its profit forecast on Tuesday and said it might use funds to buy back stock if its $38 billion bid to acquire NXP Semiconductors NV  fails.,topStory
QCOM,QUALCOMM Incorporated,12312017,UPDATE 3-Qualcomm raises profit forecast  may buy back stock if bid for NXP fails ,Jan 16 Qualcomm Inc  the U.S. chipmaker fending off a hostile bid by Broadcom Ltd  raised its profit forecast on Tuesday and said it might use funds to buy back stock if its $38 billion bid to acquire NXP Semiconductors NV fails.,normal
QCOM,QUALCOMM Incorporated,12312017,Qualcomm raises profit forecast  may buy back stock if bid for NXP fails ,Qualcomm Inc   the U.S. chipmaker fending off a hostile bid by Broadcom Ltd   raised its profit forecast on Tuesday and said it might use funds to buy back stock if its $38 billion bid to acquire NXP Semiconductors NV  fails.,topStory
QCOM,QUALCOMM Incorporated,12312017,UPDATE 3-Qualcomm raises profit forecast  may buy back stock if bid for NXP fails ,Jan 16 Qualcomm Inc  the U.S. chipmaker fending off a hostile bid by Broadcom Ltd  raised its profit forecast on Tuesday and said it might use funds to buy back stock if its $38 billion bid to acquire NXP Semiconductors NV fails.,normal
QCOM,QUALCOMM Incorporated,12312017,Qualcomm raises profit forecast  may buy back stock if bid for NXP fails ,Qualcomm Inc   the U.S. chipmaker fending off a hostile bid by Broadcom Ltd   raised its profit forecast on Tuesday and said it might use funds to buy back stock if its $38 billion bid to acquire NXP Semiconductors NV  fails.,topStory
QCOM,QUALCOMM Incorporated,12312017,UPDATE 3-Qualcomm raises profit forecast  may buy back stock if bid for NXP fails ,Jan 16 Qualcomm Inc  the U.S. chipmaker fending off a hostile bid by Broadcom Ltd  raised its profit forecast on Tuesday and said it might use funds to buy back stock if its $38 billion bid to acquire NXP Semiconductors NV fails.,normal
QCOM,QUALCOMM Incorporated,12312017,Qualcomm raises profit forecast  may buy back stock if bid for NXP fails ,Qualcomm Inc   the U.S. chipmaker fending off a hostile bid by Broadcom Ltd   raised its profit forecast on Tuesday and said it might use funds to buy back stock if its $38 billion bid to acquire NXP Semiconductors NV  fails.,topStory
QCOM,QUALCOMM Incorporated,12312017,UPDATE 3-Qualcomm raises profit forecast  may buy back stock if bid for NXP fails ,Jan 16 Qualcomm Inc  the U.S. chipmaker fending off a hostile bid by Broadcom Ltd  raised its profit forecast on Tuesday and said it might use funds to buy back stock if its $38 billion bid to acquire NXP Semiconductors NV fails.,normal
