TSLA,Tesla Inc ,12312017,Tesla denies further Model 3 production issues ,Tesla Inc  is on track to achieve its production targets for the Model 3  the electric car-maker said on Thursday  squashing a report of further delays and quality issues for its latest and most-affordable sedan.,topStory
TSLA,Tesla Inc ,12312017,Tesla denies further Model 3 production issues ,Jan 25 Tesla Inc is on track to achieve its production targets for the Model 3  the electric car-maker said on Thursday  squashing a report of further delays and quality issues for its latest and most-affordable sedan.,normal
TSLA,Tesla Inc ,12312017,BRIEF-Tesla Says On Track With Previous Projections For Achieving Increased Model 3 Production- Techcrunch ,* TESLA SAYS ON TRACK WITH PREVIOUS PROJECTIONS FOR ACHIEVING INCREASED MODEL 3 PRODUCTION RATES PROVIDED EARLIER THIS MONTH- TECHCRUNCH  CITING STATEMENT,normal
TSLA,Tesla Inc ,12312017,BRIEF-Tesla Employees Say To Expect More Model 3 Delays- CNBC ,* TESLA EMPLOYEES SAY TO EXPECT MORE MODEL 3 DELAYS  CITING INEXPERIENCED WORKERS  MANUAL ASSEMBLY OF BATTERIES- CNBC Source http://cnb.cx/2BsclUB,normal
TSLA,Tesla Inc ,12312017,UPDATE 1-VW's Scania backs Northvolt's $5 bln Swedish battery plant ,* Scania signs deal to buy future Northvolt truck batteries (Adds Northvolt and Scania CEO's comments  background),normal
INTC,Intel Corporation,12312017,UPDATE 4-Intel data center sales surge  warns of potential security flaw fallout ,Jan 25 Intel Corp on Thursday gave a bullish forecast and blew past Wall Street expectations for the fourth quarter on the strength of data center sales  the business it sees as key to its transformation from a PC supplier.,topStory
INTC,Intel Corporation,12312017,BRIEF-Intel CFO Says Does Not See Meaningful Impact On Future Results From Security Vulnerabilities ,* INTEL CFO SAYS COMPANY DOES NOT SEE 'MEANINGFUL IMPACT' ON FUTURE RESULTS FROM SECURITY VULNERABILITIES Further company coverage:,normal
INTC,Intel Corporation,12312017,BRIEF-Intel Warns Publicity Over Spectre  Meltdown May Prompt Third Parties To Uncover Other Vulnerabilities ,* QUARTERLY NET REVENUE $17 053 MILLION VERSUS $16 374 MILLION LAST YEAR,normal
INTC,Intel Corporation,12312017,UPDATE 4-Intel data center sales surge  warns of potential security flaw fallout ,Jan 25 Intel Corp on Thursday gave a bullish forecast and blew past Wall Street expectations for the fourth quarter on the strength of data center sales  the business it sees as key to its transformation from a PC supplier.,topStory
INTC,Intel Corporation,12312017,BRIEF-Intel CFO Says Does Not See Meaningful Impact On Future Results From Security Vulnerabilities ,* INTEL CFO SAYS COMPANY DOES NOT SEE 'MEANINGFUL IMPACT' ON FUTURE RESULTS FROM SECURITY VULNERABILITIES Further company coverage:,normal
INTC,Intel Corporation,12312017,BRIEF-Intel Warns Publicity Over Spectre  Meltdown May Prompt Third Parties To Uncover Other Vulnerabilities ,* QUARTERLY NET REVENUE $17 053 MILLION VERSUS $16 374 MILLION LAST YEAR,normal
INTC,Intel Corporation,12312017,UPDATE 4-Intel data center sales surge  warns of potential security flaw fallout ,Jan 25 Intel Corp on Thursday gave a bullish forecast and blew past Wall Street expectations for the fourth quarter on the strength of data center sales  the business it sees as key to its transformation from a PC supplier.,topStory
INTC,Intel Corporation,12312017,BRIEF-Intel CFO Says Does Not See Meaningful Impact On Future Results From Security Vulnerabilities ,* INTEL CFO SAYS COMPANY DOES NOT SEE 'MEANINGFUL IMPACT' ON FUTURE RESULTS FROM SECURITY VULNERABILITIES Further company coverage:,normal
INTC,Intel Corporation,12312017,BRIEF-Intel Warns Publicity Over Spectre  Meltdown May Prompt Third Parties To Uncover Other Vulnerabilities ,* QUARTERLY NET REVENUE $17 053 MILLION VERSUS $16 374 MILLION LAST YEAR,normal
INTC,Intel Corporation,12312017,UPDATE 4-Intel data center sales surge  warns of potential security flaw fallout ,Jan 25 Intel Corp on Thursday gave a bullish forecast and blew past Wall Street expectations for the fourth quarter on the strength of data center sales  the business it sees as key to its transformation from a PC supplier.,topStory
INTC,Intel Corporation,12312017,BRIEF-Intel CFO Says Does Not See Meaningful Impact On Future Results From Security Vulnerabilities ,* INTEL CFO SAYS COMPANY DOES NOT SEE 'MEANINGFUL IMPACT' ON FUTURE RESULTS FROM SECURITY VULNERABILITIES Further company coverage:,normal
INTC,Intel Corporation,12312017,BRIEF-Intel Warns Publicity Over Spectre  Meltdown May Prompt Third Parties To Uncover Other Vulnerabilities ,* QUARTERLY NET REVENUE $17 053 MILLION VERSUS $16 374 MILLION LAST YEAR,normal
QCOM,QUALCOMM Incorporated,12312017,BRIEF-NXP Semiconductors Announces Automatic Extension Of End Date Of Transaction With Qualcomm ,* NXP SEMICONDUCTORS ANNOUNCES AUTOMATIC EXTENSION OF END DATE OF TRANSACTION WITH QUALCOMM Source text for Eikon: Further company coverage:,topStory
