MSFT,Microsoft Corporation,12312017,Do-good meat: are investors only after their pound of flesh? ,LONDON  Jan 26 (Thomson Reuters Foundation) - What do Bill Gates  Richard Branson and Leonardo DiCaprio all have in common?,normal
INTC,Intel Corporation,12312017,Earnings lift Wall St. to record highs; dollar fall continues ,NEW YORK Strong earnings from Intel and other companies drove Wall Street indexes to record closing highs on Friday  while the U.S. dollar remained weak after recent comments by the U.S. Treasury secretary.,topStory
INTC,Intel Corporation,12312017,GLOBAL MARKETS-Earnings lift Wall St to record highs; dollar fall continues ,* S&P 500 posts biggest daily pct gain since March 1 (Updates with closing U.S. market levels),normal
INTC,Intel Corporation,12312017,Intel  healthcare shares boost lift Wall St. to record ,NEW YORK The latest round of strong earnings reports  including from Intel and AbbVie  along with continued weakness in the dollar lifted each of the major Wall Street indexes to closing records on Friday. | Video ,normal
INTC,Intel Corporation,12312017,US STOCKS-Intel  healthcare shares boost lift Wall St to record ,* Dow up 0.84 pct  S&P 500 up 1.18 pct  Nasdaq up 1.28 pct (Updates to market close),normal
INTC,Intel Corporation,12312017,US STOCKS SNAPSHOT-Wall St climbs to new highs on strong Intel  AbbVie earnings ,NEW YORK  Jan 26 The latest round of strong earnings reports  including from Intel and AbbVie   along with continued weakness in the dollar lifted each of the major Wall Street indexes to closing records on Friday.,normal
INTC,Intel Corporation,12312017,US STOCKS-Wall Street climbs on Intel  healthcare boost ,* Dow up 0.45 pct  S&P 500 up 0.75 pct  Nasdaq up 0.89 pct (Updates to mid-afternoon  changes byline),normal
INTC,Intel Corporation,12312017,US STOCKS-Intel lifts S&P  Dow to new highs; Starbucks weighs on Nasdaq ,* Indexes up: Dow 0.35 pct  S&P 0.56 pct  Nasdaq 0.62 pct (Updates to early afternoon),normal
INTC,Intel Corporation,12312017,Intel shares hit dotcom-era highs after bumper results ,Intel Corp's  shares rose 7 percent on Friday to their highest in almost two decades  after strong results offered the clearest sign yet that its years-long effort to shift away from a slowing PC business was paying off.,normal
INTC,Intel Corporation,12312017,CORRECTED-UPDATE 1-Intel shares hit dotcom-era highs after bumper results ,Jan 26 Intel Corp's shares rose 7 percent on Friday to their highest in almost two decades  after strong results offered the clearest sign yet that its years-long effort to shift away from a slowing PC business was paying off.,normal
INTC,Intel Corporation,12312017,CORRECTED-Intel shares hit dotcom-era highs on robust data center demand ,Jan 26 Intel Corp's shares rose 6 percent on Friday to levels last seen during the dotcom boom 17 years ago  after strong results offered the clearest sign yet that its years-long effort to shift away from a slowing PC business was paying off.,normal
