MSFT,Microsoft Corporation,12312017,U.S. tax overhaul may drain $2 trillion from foreign projects -UN ,GENEVA  Feb 5 U.S. President Donald Trump's tax reform could bring almost $2 trillion back to the United States as U.S. firms repatriate cash piles from foreign affiliates  a U.N. report said on Monday.,normal
TSLA,Tesla Inc ,12312017,UPDATE 2-Panasonic hikes outlook after Q3 earnings surge on automotive demand ,* Rechargeable battery business sees full year loss on Tesla delays (Adds details of rechargeable battery business forecast),topStory
TSLA,Tesla Inc ,12312017,February the real test for Australia's shaky power supply ,MELBOURNE  Feb 5 Australia's strained power supply grid has largely withstood soaring temperatures this summer  but a year after the nation's biggest city  Sydney  was hit by blackouts  the real test comes this month.,normal
NVDA,NVIDIA Corporation,12312017,BRIEF-Nvidia  Continental Partner To Create AI Self-Driving Vehicle Systems ,* NVIDIA - CO  CONTINENTAL PARTNERING TO CREATE AI SELF-DRIVING VEHICLE SYSTEMS BUILT ON NVIDIA DRIVE PLATFORM WITH PLANNED MARKET INTRODUCTION IN 2021 Source text for Eikon: Further company coverage:,topStory
NVDA,NVIDIA Corporation,12312017,Chipmaker Nvidia  auto supplier Continental in self-driving tie-up ,SAN FRANCISCO Nvidia Corp and German auto supplier Continental AG said on Monday they had teamed up to develop a self-driving system based on the U.S. chipmaker's artificial intelligence platform  underscoring the need for collaboration in the fast-moving industry.,normal
NVDA,NVIDIA Corporation,12312017,Chipmaker Nvidia  auto supplier Continental in self-driving tie-up ,SAN FRANCISCO  Feb 5 Nvidia Corp and German auto supplier Continental AG said on Monday they had teamed up to develop a self-driving system based on the U.S. chipmaker's artificial intelligence platform  underscoring the need for collaboration in the fast-moving industry.,normal
INTC,Intel Corporation,12312017,REFILE-US STOCKS-Wall St selloff ebbs as rise in bond yields pauses  tech stocks gain ,* Qualcomm falls on report of Apple dumping co in favor of Intel,normal
INTC,Intel Corporation,12312017,Qualcomm shares falls as report says Apple will dump chips ,Feb 5 Qualcomm Inc shares fell 2 percent on Monday after KGI Securities said Apple Inc might drop the chipmaker in favor of Intel Corp as the supplier for modem chips in its next generation of iPhones.,normal
QCOM,QUALCOMM Incorporated,12312017,UPDATE 6-Broadcom unveils $121 bln 'best and final' offer for Qualcomm ,Feb 5 Broadcom Ltd made a $121 billion "best and final offer" on Monday to acquire Qualcomm Inc   ratcheting up pressure on its U.S. semiconductor peer to engage in talks on what would be the biggest ever technology acquisition.,topStory
QCOM,QUALCOMM Incorporated,12312017,Qualcomm shares fall as reports say Apple may scrap its chips ,Qualcomm Inc's  shares fell 3 percent on Monday after two brokerages said Apple Inc  might drop the chipmaker in favor of Intel Corp  as the supplier for modem chips in its next generation of iPhones.,normal
QCOM,QUALCOMM Incorporated,12312017,UPDATE 2-Qualcomm shares fall as reports say Apple may scrap its chips ,Feb 5 Qualcomm Inc's shares fell 3 percent on Monday after two brokerages said Apple Inc might drop the chipmaker in favor of Intel Corp as the supplier for modem chips in its next generation of iPhones.,normal
QCOM,QUALCOMM Incorporated,12312017,Exclusive: Broadcom to raise Qualcomm bid in push for talks  sources say ,Broadcom Ltd  plans to unveil a new approximately $120 billion offer for Qualcomm Inc  on Monday  aiming to ratchet up pressure on its U.S. semiconductor peer to engage in negotiations  people familiar with the matter said on Sunday. | Video ,normal
QCOM,QUALCOMM Incorporated,12312017,Qualcomm shares falls as report says Apple will dump chips ,Feb 5 Qualcomm Inc shares fell 2 percent on Monday after KGI Securities said Apple Inc might drop the chipmaker in favor of Intel Corp as the supplier for modem chips in its next generation of iPhones.,normal
QCOM,QUALCOMM Incorporated,12312017,BRIEF-Qualcomm Confirms Receipt Of Revised Proposal From Broadcom ,* QUALCOMM CONFIRMS RECEIPT OF REVISED PROPOSAL FROM BROADCOM,normal
QCOM,QUALCOMM Incorporated,12312017,BRIEF-Broadcom Makes Offer For Qualcomm Of $82 Per Share ,* BROADCOM PRESENTS BEST AND FINAL OFFER FOR QUALCOMM OF $82.00 PER SHARE,normal
QCOM,QUALCOMM Incorporated,12312017,Broadcom raises offer to buy Qualcomm to $121 billion ,Feb 5 Chipmaker Broadcom Ltd on Monday raised its offer to buy Qualcomm Inc by 24 percent to more than $121 billion  sweetening the bid and putting more pressure on its rival to come to the table for negotiations.,normal
