MSFT,Microsoft Corporation,12312017,Companies clamp down on crypto ads as regulators play catch-up ,LONDON  March 27 A growing number of internet companies are banning cryptocurrency advertising  fearing reputational damage if their users are duped or left penniless  even as regulators struggle to get to grips with the fast-emerging industry.,normal
TSLA,Tesla Inc ,12312017,Tesla shares dive again  stung by fatal crash  credit downgrade ,NEW YORK Tesla Inc shares fell sharply again on Wednesday  reeling from a credit downgrade of the electric car maker by Moody's Investors Service  federal probes of a fatal crash and concerns about Model 3 production. | Video ,topStory
TSLA,Tesla Inc ,12312017,UPDATE 2-Tesla shares dive again  stung by fatal crash  credit downgrade ,NEW YORK  March 28 Tesla Inc shares fell sharply again on Wednesday  reeling from a credit downgrade of the electric car maker by Moody's Investors Service  federal probes of a fatal crash and concerns about Model 3 production.,normal
TSLA,Tesla Inc ,12312017,Tesla shareholder lawsuit against SolarCity deal set to proceed ,March 28 A class action lawsuit by Tesla Inc shareholders against the electric car maker's chief executive  Elon Musk  and the company's board over the SolarCity deal was set to proceed after a Delaware judge refused to dismiss it.,normal
TSLA,Tesla Inc ,12312017,Extreme bearish options on Tesla making money as stock dives ,NEW YORK The sharp slump in Tesla Inc's shares this month could unlock massive gains on equity option bets investors placed over the last several months that pay when the electric car maker's stock slides.,normal
TSLA,Tesla Inc ,12312017,U.S. opens probe into fatal Tesla crash  fire in California ,A fatal crash and vehicle fire of a Tesla Inc Model X near Mountain View  California  last week has prompted a federal field investigation  the U.S. National Transportation Safety Board said on Tuesday  sparking a big selloff in Tesla stock. | Video ,normal
TSLA,Tesla Inc ,12312017,CORRECTED-US STOCKS-Wall St wavers after strong rally  tech stocks struggle (March 27) ,March 27 The S&P 500 and the Dow rose on Tuesday  led by gains in industrial and consumer staple shares  while weakness in technology stocks dragged down the Nasdaq.,normal
TSLA,Tesla Inc ,12312017,Tesla shares fall sharply for second straight day ,NEW YORK  March 28 Tesla Inc shares fell more than 9 percent on Wednesday following a downgrade by Moody's Investors Service  a probe by the National Transportation Safety Board of a recent fatal crash and concerns about Model 3 production.,normal
TSLA,Tesla Inc ,12312017,UPDATE 6-U.S. opens probe into fatal Tesla crash  fire in California ,March 27 A fatal crash and vehicle fire of a Tesla Inc Model X near Mountain View  California  last week has prompted a federal field investigation  the U.S. National Transportation Safety Board said on Tuesday  sparking a big selloff in Tesla stock.,normal
NVDA,NVIDIA Corporation,12312017,BRIEF-Adobe And Nvidia Announce Partnership To Deliver New AI Services ,* ADOBE AND NVIDIA ANNOUNCE PARTNERSHIP TO DELIVER NEW AI SERVICES FOR CREATIVITY AND DIGITAL EXPERIENCES,topStory
NVDA,NVIDIA Corporation,12312017,China's Geely calls for caution in self-driving tech after fatal collision ,BEIJING The Chinese owner of Swedish car brand Volvo said on Wednesday that the autonomous driving industry should move forward prudently in the wake of a deadly accident in the United States this month that has rekindled a debate about safety.,normal
NVDA,NVIDIA Corporation,12312017,China's Geely calls for caution in self-driving tech after fatal collision ,BEIJING  March 28 The Chinese owner of Swedish car brand Volvo said on Wednesday that the autonomous driving industry should move forward prudently in the wake of a deadly accident in the United States this month that has rekindled a debate about safety.,normal
NVDA,NVIDIA Corporation,12312017,Nvidia halts self-driving tests in wake of Uber accident ,Chipmaker Nvidia Corp said on Tuesday it has suspended self-driving tests across the globe  a week after an Uber Technologies Inc autonomous vehicle struck and killed a woman crossing a street in Arizona.,normal
NVDA,NVIDIA Corporation,12312017,UPDATE 6-Nvidia halts self-driving tests in wake of Uber accident ,* Nvidia shares end down 7.8 pct (Adds Uber would not renew test permit in California),normal
INTC,Intel Corporation,12312017,US STOCKS SNAPSHOT-Nasdaq opens lower as tech stocks  Amazon drag ,March 28 The Nasdaq Composite index opened lower on Wednesday  pulled lower by Apple  Intel and Amazon  while the S&P 500 and the Dow rose on gains in financial and healthcare stocks.,topStory
QCOM,QUALCOMM Incorporated,12312017,NXP Semiconductors sells China JV stake as Qualcomm takeover awaits Beijing nod ,BEIJING U.S. chipmaker NXP Semiconductors NV   the target of a $44 billion takeover by Qualcomm Inc  that is awaiting approval by Chinese anti-monopoly regulators  has sold its stake in a Chinese chip-design joint venture.,topStory
QCOM,QUALCOMM Incorporated,12312017,UPDATE 1-NXP Semiconductors sells China JV stake as Qualcomm takeover awaits Beijing nod ,BEIJING  March 28 U.S. chipmaker NXP Semiconductors NV  the target of a $44 billion takeover by Qualcomm Inc that is awaiting approval by Chinese anti-monopoly regulators  has sold its stake in a Chinese chip-design joint venture.,normal
QCOM,QUALCOMM Incorporated,12312017,NXP Semiconductors sells China JV stake as Qualcomm takeover awaits Beijing nod ,BEIJING  March 28 U.S. chipmaker NXP Semiconductors NV  target of a $44 billion takeover by Qualcomm Inc that is awaiting approval by Chinese antimonopoly regulators  has sold its stake in a Chinese chip-design joint venture.,normal
