MSFT,Microsoft Corporation,12312017,Self-help guru must pay Microsoft  AT&T attorneys' fees for patent dispute – Fed. Circ. ,The legal woes of self-help guru and accused sex-trafficker Keith Raniere mounted on Wednesday as the federal court in charge of patent appeals held that he must pay AT&T and Microsoft nearly $450 000 for attorneys’ fees and costs they incurred after Raniere accused them of infringing several teleconferencing patents that he could not prove he owned.,topStory
TSLA,Tesla Inc ,12312017,California agency probing Tesla on occupational safety ,Tesla Inc is being probed by a California agency for occupational safety after a report that the electric carmaker failed to disclose serious injuries at a Fremont factory.,topStory
TSLA,Tesla Inc ,12312017,UPDATE 2-California agency probing Tesla on occupational safety ,April 18 Tesla Inc is being probed by a California agency for occupational safety after a report that the electric carmaker failed to disclose serious injuries at a Fremont factory.,normal
QCOM,QUALCOMM Incorporated,12312017,Qualcomm cutting 1 500 jobs at its California offices ,Chipmaker Qualcomm Inc  is cutting 1 500 jobs across multiple divisions at its offices in California  as part of its promise to investors to cut annual costs by $1 billion.,topStory
QCOM,QUALCOMM Incorporated,12312017,Qualcomm cutting 1 500 jobs at its California offices ,April 19 Chipmaker Qualcomm Inc is cutting 1 500 jobs across multiple divisions at its offices in California  as part of its promise to investors to cut annual costs by $1 billion.,normal
QCOM,QUALCOMM Incorporated,12312017,BRIEF-Qualcomm Inc To Reduce 1 231 Employees In San Diego ,* QUALCOMM IN NOTICE FILED WITH CALIFORNIA  EMPLOYMENT DEVELOPMENT DEPARTMENT - REDUCING 1 231 EMPLOYEES IN SAN DIEGO; EMPLOYMENT TERMINATIONS TO BEGIN ON/ABOUT JUNE 19,normal
QCOM,QUALCOMM Incorporated,12312017,TSMC's smartphone warning points squarely at Apple: analysts ,Shares in Apple Inc  and its suppliers fell on Thursday after a raft of analysts read a prediction of softer smartphone sales from Taiwan Semiconductor Manufacturing Co Ltd  as driven chiefly by concern about demand for iPhones.,normal
QCOM,QUALCOMM Incorporated,12312017,TSMC trims full-year revenue estimate on weaker smartphone demand ,TAIPEI Taiwan Semiconductor Manufacturing Co Ltd   the world's largest contract chipmaker  revised its full-year revenue target to the low end of its earlier forecast due to softer demand for smartphones and uncertainty in cryptocurrency mining market.,normal
QCOM,QUALCOMM Incorporated,12312017,BRIEF-Qualcomm Says Co's Unit  NXP To Amend Some Restrictions ,* QUALCOMM SAYS CO'S UNIT  NXP TO AMEND SOME RESTRICTIONS RELATED TO CONDUCT  OPERATIONS OF NXP PRIOR TO THE EARLIER OF TERMINATION OF PURCHASE AGREEMENT,normal
QCOM,QUALCOMM Incorporated,12312017,Qualcomm concessions insufficient to clinch NXP deal: commerce ministry ,BEIJING U.S. chipmaker Qualcomm  will have to do more to complete its proposed takeover of NXP Semiconductors   a commerce ministry spokesman said on Thursday.,normal
QCOM,QUALCOMM Incorporated,12312017,Qualcomm to refile China application to get NXP deal cleared ,Qualcomm  will refile a regulatory application with the Chinese government to clear its $44 billion takeover of NXP Semiconductors   the U.S. chipmaker said on Thursday.,normal
QCOM,QUALCOMM Incorporated,12312017,Qualcomm to refile China application to get NXP deal cleared ,April 19 Qualcomm will refile a regulatory application with the Chinese government to clear its $44 billion takeover of NXP Semiconductors  the U.S. chipmaker said on Thursday.,normal
QCOM,QUALCOMM Incorporated,12312017,BRIEF-Qualcomm And Nxp Agree  At Mofcom Request  To Withdraw And Refile Application For Chinese Regulatory Approval ,* QUALCOMM AND NXP AGREE  AT MOFCOM REQUEST  TO WITHDRAW AND REFILE APPLICATION FOR CHINESE REGULATORY APPROVAL,normal
